,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
0,0,medaka,100x,0,Not_App,Not_App,0,0.18379923432975176,1764677.476027314,2162063.0,0.9031108660394784,6272841,6945815,0.7957124720000647,0.8060660659034363,491993,498394.6788784242,618305,medaka_NC_022648.1
1,1,medaka,100x,0,Not_App,Not_App,1,0.1799837760389178,1761287.4269430656,2147869.0,0.9030989658402738,6271988,6944962,0.7954488480604233,0.8058610117245568,491830,498267.89285435213,618305,medaka_NC_022648.1
2,2,medaka,100x,0,Not_App,Not_App,2,0.1722624836903618,1755063.4441565543,2120314.0,0.9030720715076332,6270061,6943035,0.7949135135572251,0.8054372293726134,491499,498005.8661072338,618305,medaka_NC_022648.1
3,3,medaka,100x,0,Not_App,Not_App,3,0.15796062943383127,1742332.708866846,2069182.0,0.9029738300361664,6263031,6936005,0.7931405910361247,0.8040426676915199,490402,497142.7976043375,618304,medaka_NC_022648.1
4,4,medaka,100x,0,Not_App,Not_App,4,0.13648663283986218,1720802.5299697854,1992792.0,0.9027350008830788,6246000,6918974,0.7887172685956428,0.8007653413923629,487656,495105.2029294841,618290,medaka_NC_022648.1
5,5,medaka,100x,0,Not_App,Not_App,5,0.10594725766598367,1675470.0380305662,1874017.0,0.9020529790143674,6197822,6870796,0.7771701152995071,0.7924159467971343,480459,489884.21696513717,618216,medaka_NC_022648.1
6,6,medaka,100x,0,Not_App,Not_App,6,0.07648218155641673,1459705.7992071987,1580593.0,0.8979459037800448,5921313,6594287,0.7282128561184965,0.7531314246785101,449895,465289.86608635634,617807,medaka_NC_022648.1
7,7,medaka,100x,0,Not_App,Not_App,7,0.3927257129261449,52378.62180869415,86252.0,0.8548289989954124,3962759,4635733,0.06118936169171356,0.5108851824037931,37504,313130.2133433857,612917,medaka_NC_022648.1
8,8,medaka,100x,0,Not_App,Not_App,8,0.6996327624069303,6016.055401751593,20029.0,0.8513692228319829,3854850,4527824,0.012754396897596816,0.4958915418149647,7798,303186.60099104396,611397,medaka_NC_022648.1
9,9,medaka,100x,0,Not_App,Not_App,9,0.7825997964696267,2726.850752881472,12543.0,0.8511585751012515,3848442,4521416,0.008702822895345241,0.49490197536042496,5319,302474.68420275993,611181,medaka_NC_022648.1
10,10,medaka,100x,0,Not_App,Not_App,10,0.8085199324789923,1931.8424012194464,10089.0,0.8511281515374876,3847518,4520492,0.008358246077367775,0.4947192454780021,5108,302339.2566467078,611133,medaka_NC_022648.1
11,11,medaka,100x,0,Not_App,Not_App,0,0.18975288689750724,1805677.014151673,2228551.0,0.9083581984259588,6309288,6945815,0.8036616233088848,0.8121454001301921,496908,502153.5616274984,618305,medaka_NC_011742.1
12,12,medaka,100x,0,Not_App,Not_App,1,0.18614725182785968,1802707.438930988,2215029.0,0.9083473650229216,6308467,6944994,0.8033818261214126,0.8119532864321162,496735,502034.7767674096,618305,medaka_NC_011742.1
13,13,medaka,100x,0,Not_App,Not_App,2,0.17888616206992192,1797070.0389616585,2188576.0,0.9083218746538811,6306536,6943063,0.8028202955180623,0.8114921974423661,496387,501748.87164740474,618304,medaka_NC_011742.1
