,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,methylation_aware,local_assembly
0,0,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,0,0.0059564572281077,735080.2892266726,739485.0,0.9072446203666658,700675,772311,0.8386536668079695,0.901463331920032,247298,265818.99999991944,294875,no,yes
1,1,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,1,0.005924199706203,734624.0045687165,739002.0,0.9071495230194939,699884,771520,0.8370021195421788,0.9004287127311001,246811,265513.9166665832,294875,no,yes
2,2,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,2,0.0058761847545067,733907.9301097244,738246.0,0.9070709901046612,699232,770868,0.8353743111487919,0.8995130705098168,246331,265243.91666658217,294875,no,yes
3,3,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,3,0.005768880709049,732307.890531585,736557.0,0.9069246520523456,698020,769656,0.8327460788469692,0.8979626960573545,245556,264786.7499999124,294875,no,yes
4,4,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,4,0.0053924871492503,729140.8000258075,733094.0,0.9066302238314766,695593,767229,0.8268909899888766,0.8947594210366092,243827,263839.49999990704,294872,no,yes
5,5,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,5,0.0049461491084099,723794.2107077355,727392.0,0.9061253854328968,691467,763103,0.817534387802165,0.8894684247172655,241068,262279.3333332296,294872,no,yes
6,6,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,6,0.0044303186956835,715900.2198503956,719086.0,0.905272831857822,684599,756235,0.8009075247229269,0.8805626585451177,236162,259649.74999988172,294868,no,yes
7,7,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,7,0.0037360559238435,701582.0208497024,704213.0,0.9037066410371872,672299,743935,0.7714708216604147,0.8646255169430664,227462,254927.9166665277,294842,no,yes
8,8,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,8,0.0028059780165615,675850.2427873194,677752.0,0.9005638361960073,648786,720422,0.7132171352583586,0.8341161098742097,210245,245884.0833331591,294784,no,yes
9,9,pandora_OLD_BASECALL_nanopore_withdenovo,100x,0,0.0,1.0,9,0.0019663928995977,629285.1401169811,630525.0,0.8955041215744108,613903,685539,0.6201559594424009,0.7889615824877324,182755,232500.66666647483,294692,no,yes
