genomes	prop	species
10	0.27	E. coli
9	0.13	E. coli
8	0.05	E. coli
7	0.03	E. coli
6	0.02	E. coli
5	0.02	E. coli
4	0.02	E. coli
3	0.06	E. coli
2	0.12	E. coli
1	0.30	E. coli
10	0.16	K. pneumoniae
9	0.23	K. pneumoniae
8	0.11	K. pneumoniae
7	0.03	K. pneumoniae
6	0.02	K. pneumoniae
5	0.01	K. pneumoniae
4	0.02	K. pneumoniae
3	0.03	K. pneumoniae
2	0.06	K. pneumoniae
1	0.33	K. pneumoniae
10	0.43	P. aeruginosa
9	0.08	P. aeruginosa
8	0.02	P. aeruginosa
7	0.01	P. aeruginosa
6	0.01	P. aeruginosa
5	0.01	P. aeruginosa
4	0.02	P. aeruginosa
3	0.05	P. aeruginosa
2	0.07	P. aeruginosa
1	0.31	P. aeruginosa
10	0.19	S. enterica
9	0.15	S. enterica
8	0.08	S. enterica
7	0.04	S. enterica
6	0.02	S. enterica
5	0.02	S. enterica
4	0.02	S. enterica
3	0.03	S. enterica
2	0.06	S. enterica
1	0.42	S. enterica
10	0.47	S. aureus
9	0.04	S. aureus
8	0.02	S. aureus
7	0.03	S. aureus
6	0.03	S. aureus
5	0.02	S. aureus
4	0.04	S. aureus
3	0.08	S. aureus
2	0.11	S. aureus
1	0.17	S. aureus
10	0.55	S. pneumoniae
9	0.03	S. pneumoniae
8	0.02	S. pneumoniae
7	0.04	S. pneumoniae
6	0.03	S. pneumoniae
5	0.03	S. pneumoniae
4	0.04	S. pneumoniae
3	0.08	S. pneumoniae
2	0.07	S. pneumoniae
1	0.12	S. pneumoniae
