,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
0,0,pandora no denovo,100x,0,0.0,1.0,0,0.0059087704272498,3857627.6795571432,3880557.0,0.8938190838656083,6208302,6945815,0.7444157818552333,0.8497949421959974,460276,525432.4617344962,618305,pandora_illumina_nodenovo_global_genotyping
1,1,pandora no denovo,100x,0,0.0,1.0,1,0.005903728676744491,3857100.4914081306,3880007.0,0.8937897705294634,6206385,6943898,0.7441683311634226,0.8494682071001245,460123,525230.4397910425,618305,pandora_illumina_nodenovo_global_genotyping
2,2,pandora no denovo,100x,0,0.0,1.0,2,0.005896919341595419,3856687.518114524,3879565.0,0.8937732947457525,6205308,6942821,0.7438966205998657,0.8492857257272203,459955,525117.6106457689,618305,pandora_illumina_nodenovo_global_genotyping
3,3,pandora no denovo,100x,0,0.0,1.0,3,0.0058758217079579724,3854602.1770468894,3877385.0,0.8936844026307565,6199503,6937016,0.7427725798756277,0.8483390355220011,459260,524532.2673584309,618305,pandora_illumina_nodenovo_global_genotyping
4,4,pandora no denovo,100x,0,0.0,1.0,4,0.00584055760569635,3849380.390153532,3871995.0,0.8934799312506319,6186187,6923700,0.7407015654137211,0.8463255654649979,457978,523285.6361037047,618303,pandora_illumina_nodenovo_global_genotyping
5,5,pandora no denovo,100x,0,0.0,1.0,5,0.00568673707244549,3839372.625853317,3861331.0,0.8930706818606562,6159688,6897201,0.7358705092519962,0.8424657237327501,454988,520895.7145182357,618299,pandora_illumina_nodenovo_global_genotyping
6,6,pandora no denovo,100x,0,0.0,1.0,6,0.005597572430513287,3828308.140997809,3849858.0,0.8926911366332761,6135293,6872806,0.7312994704818712,0.8389976893793823,452161,518750.5933478933,618298,pandora_illumina_nodenovo_global_genotyping
7,7,pandora no denovo,100x,0,0.0,1.0,7,0.00548670744975166,3811032.61882352,3832058.0,0.8920510423440802,6094540,6832053,0.7229728636909133,0.8331771501498293,447004,515141.7674575374,618286,pandora_illumina_nodenovo_global_genotyping
8,8,pandora no denovo,100x,0,0.0,1.0,8,0.0053440399558361,3778090.257416192,3798389.0,0.8910280344832936,6030402,6767915,0.7073623224036645,0.8241672181953936,437331,509546.3276526113,618256,pandora_illumina_nodenovo_global_genotyping
9,9,pandora no denovo,100x,0,0.0,1.0,9,0.005168057534750914,3721405.650793571,3740738.0,0.8894602713728732,5934414,6671927,0.6803143033250341,0.8108892862922391,420522,501234.1836465354,618129,pandora_illumina_nodenovo_global_genotyping
10,10,pandora no denovo,100x,0,0.0,1.0,10,0.00494552421033745,3592089.9394955616,3609943.0,0.8869888538496664,5788507,6526020,0.6328020442411855,0.7907183819858867,391028,488609.400498921,617931,pandora_illumina_nodenovo_global_genotyping
11,11,samtools,100x,0,Not_App,Not_App,0,0.015777862188633418,1752730.3412343403,1780828.0,0.8915663604630992,6192655,6945815,0.7689603027631994,0.7853533896852215,475452,485587.927609321,618305,samtools_NC_022648.1
12,12,samtools,100x,0,Not_App,Not_App,1,0.015695445321856738,1751341.5963930706,1779268.0,0.8915566493256559,6192033,6945193,0.7686077259604888,0.7851699083816094,475234,485474.48020189104,618305,samtools_NC_022648.1
13,13,samtools,100x,0,Not_App,Not_App,2,0.015101026528186791,1749614.9173332413,1776441.0,0.8915408142560841,6191019,6944179,0.7680740087820735,0.7849004995596184,474904,485307.90338020993,618305,samtools_NC_022648.1
14,14,samtools,100x,0,Not_App,Not_App,3,0.01498808883338465,1748614.8149650213,1775222.0,0.8915318483698309,6190445,6943605,0.7676758854924793,0.7847277796648583,474654,485197.1861667819,618300,samtools_NC_022648.1
15,15,samtools,100x,0,Not_App,Not_App,4,0.009710044975085652,1744562.124488831,1761668.0,0.8914924840291563,6187926,6941086,0.7666210037538472,0.7841188678285017,474001,484819.91185949475,618299,samtools_NC_022648.1
16,16,samtools,100x,0,Not_App,Not_App,5,0.009561486993872048,1743526.3598784413,1760358.0,0.8914836352319423,6187360,6940520,0.7662247553368192,0.7839518783524662,473756,484716.6624334514,618299,samtools_NC_022648.1
17,17,samtools,100x,0,Not_App,Not_App,6,0.009383937443224966,1741961.6932117743,1758463.0,0.8914714227725279,6186579,6939739,0.76573270494163,0.7837463869210036,473451,484588.82354048255,618298,samtools_NC_022648.1
18,18,samtools,100x,0,Not_App,Not_App,7,0.009273124257582643,1741006.3201959012,1757302.0,0.891463180545572,6186052,6939212,0.7653216193616942,0.7835918040436313,473193,484489.327297549,618293,samtools_NC_022648.1
19,19,samtools,100x,0,Not_App,Not_App,8,0.009088747113107032,1739836.0323512894,1755794.0,0.8914518865055653,6185330,6938490,0.7648518254349489,0.783391073632265,472901,484363.65030716674,618291,samtools_NC_022648.1
20,20,samtools,100x,0,Not_App,Not_App,9,0.00896414555478997,1738906.196464471,1754635.0,0.8914429997915803,6184762,6937922,0.7645004771223859,0.7832352795296632,472683,484266.5409803954,618290,samtools_NC_022648.1
21,21,samtools,100x,0,Not_App,Not_App,10,0.008759066686469752,1737390.607178757,1752743.0,0.8914283836154827,6183828,6936988,0.7640100341426097,0.7830069152888447,472379,484124.5626470245,618289,samtools_NC_022648.1
22,22,snippy,100x,0,Not_App,Not_App,0,0.00011332811919961828,1252132.0821428574,1252274.0,0.86904171792655,6036203,6945815,0.7117183267157794,0.7272256218637437,440059,449647.23812646203,618305,snippy_NZ_LM995446.1
23,23,snippy,100x,0,Not_App,Not_App,1,0.00010982619693633566,1251851.498809524,1251989.0,0.8690354014409372,6035868,6945480,0.7115582115622548,0.7271560268420834,439960,449604.20717659435,618305,snippy_NZ_LM995446.1
24,24,snippy,100x,0,Not_App,Not_App,2,0.00010130826975063292,1250194.3321428571,1250321.0,0.8689966973085916,6033816,6943428,0.7108622942759548,0.7267369396031943,439529,449344.3567044134,618304,snippy_NZ_LM995446.1
25,25,snippy,100x,0,Not_App,Not_App,3,8.912036904484831e-05,1247278.8321428571,1247390.0,0.8689282300746087,6030189,6939801,0.7095938399134405,0.7260353623654168,438744,448909.8426566242,618303,snippy_NZ_LM995446.1
26,26,snippy,100x,0,Not_App,Not_App,4,6.762837585561066e-05,1243247.9154761906,1243332.0,0.8688251963053495,6024738,6934350,0.707782829287543,0.7250305088032948,437620,448284.18850155076,618297,snippy_NZ_LM995446.1
27,27,snippy,100x,0,Not_App,Not_App,5,4.9885048374886935e-05,1238285.225,1238347.0,0.8686877552658461,6017480,6927092,0.7054036131912209,0.7237486881488031,436144,447486.5763955234,618290,snippy_NZ_LM995446.1
28,28,snippy,100x,0,Not_App,Not_App,6,3.8234614574972354e-05,1232038.8916666668,1232086.0,0.8684990205503712,6007538,6917150,0.7023853424684121,0.7220255704890375,434268,446411.08161968016,618276,snippy_NZ_LM995446.1
29,29,snippy,100x,0,Not_App,Not_App,7,2.617793917991662e-05,1223962.9583333335,1223995.0,0.8682454027363052,5994223,6903835,0.6984503358603054,0.7198593021459108,431826,445062.3717226372,618263,snippy_NZ_LM995446.1
30,30,snippy,100x,0,Not_App,Not_App,8,1.5997456920380234e-05,1211110.625,1211130.0,0.8678120479532501,5971590,6881202,0.6931862479477868,0.716520408501846,428552,442977.99475013866,618235,snippy_NZ_LM995446.1
31,31,snippy,100x,0,Not_App,Not_App,9,1.0557225279650417e-05,1172170.625,1172183.0,0.8665111273746757,5904529,6814141,0.6805730119523072,0.7079778234754952,420735,437676.8463173155,618207,snippy_NZ_LM995446.1
32,32,snippy,100x,0,Not_App,Not_App,10,4.866389320179465e-06,1104509.625,1104515.0,0.8643394689980403,5795448,6705060,0.6604528740206522,0.6943845036381587,408253,429227.5314633951,618141,snippy_NZ_LM995446.1
33,33,snippy,100x,0,Not_App,Not_App,0,9.707850151641216e-05,1316455.188095238,1316583.0,0.8779310995181991,6097947,6945815,0.7227371604628784,0.7368536230957957,446872,455600.279428246,618305,snippy_CP010170.1
34,34,snippy,100x,0,Not_App,Not_App,1,9.011432944650012e-05,1316119.388095238,1316238.0,0.8779242626730167,6097558,6945426,0.7225657240358723,0.7367617748263049,446766,455543.4891839785,618305,snippy_CP010170.1
35,35,snippy,100x,0,Not_App,Not_App,2,7.878251812010184e-05,1314425.438095238,1314529.0,0.8778894338473193,6095577,6943445,0.7219539255770624,0.7363248730112452,446387,455272.61428234493,618304,snippy_CP010170.1
