,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
0,11,snippy,100x,5,Not_App,Not_App,0,0.00011693439676829788,1263269.263095238,1263417.0,0.8771671862841149,6092641,6945815,0.7192388869570843,0.7350716458005031,444709,454498.4739566801,618305,snippy_NC_007779.1
1,12,snippy,100x,5,Not_App,Not_App,1,0.0001134655286050279,1262973.679761905,1263117.0,0.8771609787337462,6092290,6945464,0.7190739198292105,0.7349968564014199,444607,454452.23129728,618305,snippy_NC_007779.1
2,13,snippy,100x,5,Not_App,Not_App,2,0.00010328631319733715,1261284.7130952382,1261415.0,0.8771243219452395,6090218,6943392,0.7183715453886761,0.7345726221561596,444172,454189.1905696421,618304,snippy_NC_007779.1
3,14,snippy,100x,5,Not_App,Not_App,3,9.12130694011859e-05,1258333.2130952382,1258448.0,0.8770598718801479,6086578,6939752,0.7170739912308367,0.7338618441033425,443369,453748.979794629,618303,snippy_NC_007779.1
4,15,snippy,100x,5,Not_App,Not_App,4,6.810007593316403e-05,1254213.5821428571,1254299.0,0.8769624311533927,6081082,6934256,0.7152501144272091,0.7328472554013837,442237,453117.2594729093,618297,snippy_NC_007779.1
5,16,snippy,100x,5,Not_App,Not_App,5,5.091888813890666e-05,1249145.3916666668,1249209.0,0.8768307404730756,6073668,6926842,0.7128069766840048,0.731529829269577,440720,452296.1150794282,618288,snippy_NC_007779.1
6,17,snippy,100x,5,Not_App,Not_App,6,3.8977124390715545e-05,1242774.5583333329,1242823.0,0.8766514384670424,6063599,6916773,0.7097096109491908,0.7297718356593451,438795,451198.951920446,618274,snippy_NC_007779.1
7,18,snippy,100x,5,Not_App,Not_App,7,2.757287676691256e-05,1234572.9583333335,1234607.0,0.8764103261652905,6050105,6903279,0.705701484812215,0.7275711182983933,436307,449828.1195991647,618260,snippy_NC_007779.1
8,19,snippy,100x,5,Not_App,Not_App,8,1.5860450952476235e-05,1221572.625,1221592.0,0.8760000633680496,6027265,6880439,0.7003401641134139,0.7241819823961055,432972,447711.7511587267,618231,snippy_NC_007779.1
9,20,snippy,100x,5,Not_App,Not_App,9,1.0465549946658824e-05,1182438.625,1182451.0,0.8747729897714949,5959845,6813019,0.6876484137922111,0.7155847269731943,425107,442377.34055373655,618204,snippy_NC_007779.1
10,21,snippy,100x,5,Not_App,Not_App,10,4.823708053880439e-06,1114282.625,1114288.0,0.8727216906034357,5850042,6703216,0.6673628457168002,0.7018970766509504,412521,433867.8513727119,618136,snippy_NC_007779.1
11,33,snippy,100x,5,Not_App,Not_App,0,0.00011654484435497105,1413076.294047619,1413241.0,0.8865370010574714,6157722,6945815,0.7335117781677327,0.7494998671038886,453534,463419.51532966975,618305,snippy_CP010230.1
12,34,snippy,100x,5,Not_App,Not_App,1,0.00011359963902901617,1412748.4940476192,1412909.0,0.886530923945384,6157350,6945443,0.7333726882363882,0.7494220363568064,453448,463371.3921895952,618305,snippy_CP010230.1
13,35,snippy,100x,5,Not_App,Not_App,2,9.669062725181644e-05,1410831.5726190475,1410968.0,0.8864925675808025,6155003,6943096,0.73260607628921,0.7489553085534064,452974,463082.81205511396,618305,snippy_CP010230.1
14,36,snippy,100x,5,Not_App,Not_App,3,8.01762959927732e-05,1407336.1559523812,1407449.0,0.8864215063458097,6150659,6938752,0.7314573413725287,0.7481488567458777,452263,462583.4307214032,618304,snippy_CP010230.1
15,37,snippy,100x,5,Not_App,Not_App,4,6.117560430851654e-05,1402609.1892857144,1402695.0,0.8863202738723415,6144480,6932573,0.7296153790168802,0.7470354057035155,451119,461889.7502402665,618297,snippy_CP010230.1
16,38,snippy,100x,5,Not_App,Not_App,5,4.817981185367693e-05,1397005.6892857142,1397073.0,0.8861950692467494,6136853,6924946,0.7272818432655015,0.7456743555061377,449674,461045.97996331187,618294,snippy_CP010230.1
17,39,snippy,100x,5,Not_App,Not_App,6,3.9739887981782296e-05,1390085.7559523808,1390141.0,0.8860265188464295,6126612,6914705,0.7242592352979232,0.7439790590435327,447795,459987.3726254354,618280,snippy_CP010230.1
18,40,snippy,100x,5,Not_App,Not_App,7,2.9259803262404738e-05,1381059.5892857143,1381100.0,0.8857960366626816,6112657,6900750,0.7204267508608935,0.7417353315136693,445406,458580.09391432063,618253,snippy_CP010230.1
19,41,snippy,100x,5,Not_App,Not_App,8,1.639408506637352e-05,1366977.5892857143,1367000.0,0.8854102265992547,6089423,6877516,0.7149301798195173,0.7383355084700719,441992,456461.899736961,618231,snippy_CP010230.1
20,42,snippy,100x,5,Not_App,Not_App,9,1.4665700286520254e-05,1323525.5892857143,1323545.0,0.8842552897755728,6020797,6808890,0.7021030853123731,0.7295268769861455,434031,450984.0315034343,618187,snippy_CP010230.1
