,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
0,11,medaka,100x,0,Not_App,Not_App,0,0.16191902128955404,1657357.9345015655,1977563.0,0.8909891783757558,6188646,6945815,0.7551014466970185,0.7608742466807733,466883,470452.3510939556,618305,medaka_CP010170.1
1,12,medaka,100x,0,Not_App,Not_App,1,0.15828252817066335,1654288.7927616388,1965373.0,0.8909779242855896,6187929,6945098,0.7549057503982662,0.7607164254767829,466762,470354.7694544223,618305,medaka_CP010170.1
2,13,medaka,100x,0,Not_App,Not_App,2,0.15080948920552814,1648716.1145651292,1941515.0,0.8909529749295351,6186340,6943509,0.7544864662043267,0.7603789991156753,466502,470145.37666921853,618304,medaka_CP010170.1
3,14,medaka,100x,0,Not_App,Not_App,3,0.13681416143559566,1636686.6685019669,1896100.0,0.8908540544218315,6180047,6937216,0.7529257452644654,0.7591507440348496,465537,469385.94163972366,618304,medaka_CP010170.1
4,15,medaka,100x,0,Not_App,Not_App,4,0.11511699866330034,1616581.2516629992,1826887.0,0.8906164992090607,6164981,6922150,0.7493017064724977,0.7564109839467603,463288,467683.6164973943,618293,medaka_CP010170.1
5,16,medaka,100x,0,Not_App,Not_App,5,0.08573819999682131,1568822.0501446545,1715944.0,0.8898353048945856,6115895,6873064,0.7382090542169162,0.7485666008209122,456335,462737.6727964592,618165,medaka_CP010170.1
6,17,medaka,100x,0,Not_App,Not_App,6,0.061634137608657436,1170761.5518711824,1247660.0,0.8816844683724261,5642405,6399574,0.6500415600660424,0.685868947745948,401192,423303.91130089643,617179,medaka_CP010170.1
7,18,medaka,100x,0,Not_App,Not_App,7,0.35771115721752345,36230.87133251672,56409.0,0.8480657894842453,4226363,4983532,0.04475028965778709,0.5107708767507897,27384,312555.511839234,611929,medaka_CP010170.1
8,19,medaka,100x,0,Not_App,Not_App,8,0.6325099271541397,5074.670415928485,13809.0,0.8459881650931269,4159135,4916304,0.007809366328042502,0.5017164727530663,4770,306450.93013993674,610805,medaka_CP010170.1
9,20,medaka,100x,0,Not_App,Not_App,9,0.6689413135645705,3319.525448888052,10027.0,0.84590297188245,4156417,4913586,0.006049559220664797,0.5013265618739954,3694,306121.5291911847,610623,medaka_CP010170.1
10,21,medaka,100x,0,Not_App,Not_App,10,0.6800572168532693,2651.0459011538105,8286.0,0.8458701294788703,4155370,4912539,0.005681753039467628,0.5011112439536455,3469,305953.97110714216,610551,medaka_CP010170.1
11,33,medaka,100x,0,Not_App,Not_App,0,0.18975288689750724,1805677.014151673,2228551.0,0.9083581984259588,6309288,6945815,0.8036616233088848,0.8121454001301921,496908,502153.5616274984,618305,medaka_NC_011742.1
12,34,medaka,100x,0,Not_App,Not_App,1,0.18614798667332969,1802707.438930988,2215031.0,0.9083473650229216,6308467,6944994,0.8033818261214126,0.8119532864321162,496735,502034.7767674096,618305,medaka_NC_011742.1
13,35,medaka,100x,0,Not_App,Not_App,2,0.1788866839739509,1797070.5389616585,2188578.0,0.9083218746538811,6306536,6943063,0.8028202955180623,0.8114921974423661,496387,501748.87164740474,618304,medaka_NC_011742.1
14,36,medaka,100x,0,Not_App,Not_App,3,0.16526779383114598,1785168.312899185,2138612.0,0.9082330559489344,6299816,6936343,0.8010884683810447,0.8101596089001086,495313,500921.6861829372,618300,medaka_NC_011742.1
15,37,medaka,100x,0,Not_App,Not_App,4,0.14462701979135315,1764264.9370429884,2062568.0,0.9080190144738548,6283675,6920202,0.7969625658070307,0.8070530323552206,492750,498988.78410974756,618285,medaka_NC_011742.1
16,38,medaka,100x,0,Not_App,Not_App,5,0.1146949518714614,1718844.5394829053,1941528.0,0.9074005026782886,6237452,6873979,0.7861280371911855,0.7991185317114775,485993,494023.86660788424,618211,medaka_NC_011742.1
17,39,medaka,100x,0,Not_App,Not_App,6,0.08447140510263329,1504771.038330666,1643609.0,0.9036928189966292,5972814,6609341,0.7432164911741139,0.7630646957636259,459148,471409.9230723317,617785,medaka_NC_011742.1
18,40,medaka,100x,0,Not_App,Not_App,7,0.3979261854544511,54428.676982546705,90402.0,0.8629043826091302,4006415,4642942,0.06337840467403266,0.523069965661495,38759,319882.9144303216,611549,medaka_NC_011742.1
19,41,medaka,100x,0,Not_App,Not_App,8,0.6704432393831672,6579.271168954449,19964.0,0.8595794621889894,3896478,4533005,0.0149523423806018,0.508011940623317,9119,309821.75023988297,609871,medaka_NC_011742.1
20,42,medaka,100x,0,Not_App,Not_App,9,0.7647469035663579,2785.6319148707566,11841.0,0.8593523411373085,3889158,4525685,0.00999079665529783,0.5068756495478393,6090,308971.62781403045,609561,medaka_NC_011742.1
21,43,medaka,100x,0,Not_App,Not_App,10,0.7956348457036879,1954.343970535632,9563.0,0.8593284383621707,3888389,4524916,0.009624361151445049,0.5067380812905369,5866,308854.3268561758,609495,medaka_NC_011742.1
22,44,medaka,100x,0,Not_App,Not_App,0,0.1949232627892784,1891900.5446059192,2349963.0,0.9167207879852832,6367373,6945815,0.7991994242323772,0.8100232634496459,494149,500841.4339072334,618305,medaka_NZ_CP015228.1
23,45,medaka,100x,0,Not_App,Not_App,1,0.1908038953278418,1888181.4274264325,2333404.0,0.916709048277022,6366394,6944836,0.7988581687031481,0.8097728010402316,493938,500686.57174718037,618305,medaka_NZ_CP015228.1
24,46,medaka,100x,0,Not_App,Not_App,2,0.181896537456152,1881024.3862539425,2299250.0,0.9166807946611594,6364039,6942481,0.7980896128765138,0.809191453402639,493462,500326.31240466534,618304,medaka_NZ_CP015228.1
25,47,medaka,100x,0,Not_App,Not_App,3,0.1649383534570028,1865134.404341534,2233529.0,0.9165850940426123,6356074,6934516,0.7959246386468727,0.8074957974152694,492121,499275.4590376585,618301,medaka_NZ_CP015228.1
26,48,medaka,100x,0,Not_App,Not_App,4,0.13734169214104452,1837135.248240897,2129621.0,0.916348198767932,6336436,6914878,0.7905292407024627,0.803527477474817,488770,496806.5758280848,618282,medaka_NZ_CP015228.1
27,49,medaka,100x,0,Not_App,Not_App,5,0.09971185128444404,1767458.2975924616,1963214.0,0.9155963152820716,6274837,6853279,0.7751068600772046,0.7927991180187344,479092,490027.5492491437,618098,medaka_NZ_CP015228.1
28,50,medaka,100x,0,Not_App,Not_App,6,0.06955976238474804,1206882.4061728818,1297109.0,0.9077238200904668,5690153,6268595,0.6552770206839301,0.7133898097651789,404148,439989.585680962,616759,medaka_NZ_CP015228.1
29,51,medaka,100x,0,Not_App,Not_App,7,0.38066767957977865,37159.93922521328,60000.0,0.8823000849111485,4336107,4914549,0.04574338747175904,0.5441432530861314,27880,331648.238893707,609487,medaka_NZ_CP015228.1
30,52,medaka,100x,0,Not_App,Not_App,8,0.6623946014674378,4937.14134814019,14624.0,0.8807942188569688,4274024,4852466,0.009264603590403885,0.5357331921698759,5634,325790.6045555371,608121,medaka_NZ_CP015228.1
31,53,medaka,100x,0,Not_App,Not_App,9,0.6927687527827167,3308.8805325301423,10770.0,0.8807495902610992,4272208,4850650,0.008286375015214165,0.5354484493061985,5038,325545.1608998784,607986,medaka_NZ_CP015228.1
32,54,medaka,100x,0,Not_App,Not_App,10,0.7005677466315774,2631.1112103483297,8787.0,0.8807225166711379,4271107,4849549,0.007913818174640251,0.5352036236994729,4811,325363.12773387844,607924,medaka_NZ_CP015228.1
33,66,medaka,100x,0,Not_App,Not_App,0,0.18132628103142576,1586696.9136182815,1938131.0,0.9034926786849348,6275493,6945815,0.7985266171226175,0.7948627532218222,493733,491467.61463081883,618305,medaka_NZ_CP011134.1
34,67,medaka,100x,0,Not_App,Not_App,1,0.17708641195510233,1582629.058355123,1923202.0,0.9034812979013956,6274674,6944996,0.7981740403199068,0.7946510635804217,493515,491336.72586709255,618305,medaka_NZ_CP011134.1
35,68,medaka,100x,0,Not_App,Not_App,2,0.16863659874109493,1575460.2490144654,1895032.0,0.9034591400584324,6273080,6943402,0.7975141718084117,0.7942470614833024,493107,491086.9293504333,618305,medaka_NZ_CP011134.1
36,69,medaka,100x,0,Not_App,Not_App,3,0.1531408658325507,1561100.127924276,1843400.0,0.9033756301531366,6267079,6937401,0.7956299530972021,0.7929416440480548,491938,490275.8185149123,618300,medaka_NZ_CP011134.1
37,70,medaka,100x,0,Not_App,Not_App,4,0.12954049000817291,1538342.200980316,1767276.0,0.9031773345044692,6252871,6923193,0.7908426750943341,0.7899548542191411,488963,488414.0772214648,618281,medaka_NZ_CP011134.1
38,71,medaka,100x,0,Not_App,Not_App,5,0.09702946844222393,1490980.4268555418,1651195.0,0.9025741781065216,6210010,6880332,0.7779771042376733,0.7821663138129655,480940,483529.7400349786,618193,medaka_NZ_CP011134.1
39,72,medaka,100x,0,Not_App,Not_App,6,0.06852289486445651,1230156.1703743606,1320651.0,0.8983399610631929,5923439,6593761,0.7140974156357277,0.7420441915857369,440998,458256.8109556877,617560,medaka_NZ_CP011134.1
40,73,medaka,100x,0,Not_App,Not_App,7,0.3487005531880403,42596.9377198426,65403.0,0.8687125655558753,4435437,5105759,0.056203197931018765,0.5538729914306074,34510,340090.20194420445,614022,medaka_NZ_CP011134.1
41,74,medaka,100x,0,Not_App,Not_App,8,0.6049675551162668,5795.52099888925,14671.0,0.8666458707631414,4356309,5026631,0.01095272032238442,0.5424600949897335,6716,332626.2235058998,613181,medaka_NZ_CP011134.1
42,75,medaka,100x,0,Not_App,Not_App,9,0.6417297115977117,3660.089266317777,10216.0,0.866560576882115,4353096,5023418,0.008702347105388931,0.5418905976425592,5335,332207.65655656386,613053,medaka_NZ_CP011134.1
43,76,medaka,100x,0,Not_App,Not_App,10,0.6481725421135116,2993.3480116982428,8508.0,0.8665366654733742,4352196,5022518,0.008352283664433953,0.5417025767987385,5120,332066.9297930875,613006,medaka_NZ_CP011134.1
44,88,nanopolish,100x,0,Not_App,Not_App,0,0.029795868756447238,1631689.3079254068,1681800.0,0.9120840390940445,6335167,6945815,0.7848505187569241,0.8015376947859572,485277,495594.76437463117,618305,nanopolish_CU928163.2
45,89,nanopolish,100x,0,Not_App,Not_App,1,0.02945792784590384,1629907.9745920738,1679379.0,0.9120734688940788,6334332,6944980,0.7845027939285628,0.8013507521088911,485062,495479.1767826879,618305,nanopolish_CU928163.2
46,90,nanopolish,100x,0,Not_App,Not_App,2,0.029073671253924464,1627769.6412587406,1676512.0,0.91206021141045,6333285,6943933,0.7840111271945076,0.8011055944173912,484758,495327.594556245,618305,nanopolish_CU928163.2
47,91,nanopolish,100x,0,Not_App,Not_App,3,0.028567143140523887,1625276.1412587406,1673071.0,0.912041831725311,6331834,6942482,0.7833350854351817,0.8007677168090633,484340,495118.6831416279,618305,nanopolish_CU928163.2
48,92,nanopolish,100x,0,Not_App,Not_App,4,0.02790130069050678,1622249.974592074,1668812.0,0.9120147358690002,6329696,6940344,0.7823824811379497,0.8002926583925042,483751,494824.95214737725,618305,nanopolish_CU928163.2
49,93,nanopolish,100x,0,Not_App,Not_App,5,0.027089479296827142,1618029.974592074,1663082.0,0.9119673096565252,6325957,6936605,0.7810879132076021,0.7995283848987617,482949,494350.798968059,618303,nanopolish_CU928163.2
50,94,nanopolish,100x,0,Not_App,Not_App,6,0.02618342617226177,1609318.5579254082,1652589.0,0.911846121353779,6316421,6927069,0.7787210436340876,0.7978678130255844,481484,493322.4666615319,618301,nanopolish_CU928163.2
51,95,nanopolish,100x,0,Not_App,Not_App,7,0.02516398447872048,1587332.3079254082,1628307.0,0.9114875132700314,6288356,6899004,0.7744448092433944,0.7938484284458913,478840,490837.2771565232,618301,nanopolish_CU928163.2
52,96,nanopolish,100x,0,Not_App,Not_App,8,0.02415106642094389,1538528.3079254078,1576605.0,0.9106488511027327,6223601,6834249,0.7647687684579281,0.785189973624828,472855,485481.390312284,618298,nanopolish_CU928163.2
53,97,nanopolish,100x,0,Not_App,Not_App,9,0.02315050409539932,1440738.715068265,1474883.0,0.9089101295877544,6093149,6703797,0.7403519724658614,0.768173617674468,457750,474951.76155109383,618287,nanopolish_CU928163.2
54,98,nanopolish,100x,0,Not_App,Not_App,10,0.02280523417393832,1258619.0408258408,1287992.0,0.9054810490933642,5849940,6460588,0.6836542085249339,0.7372072368111372,422674,455783.5346091433,618257,nanopolish_CU928163.2
55,121,nanopolish,100x,0,Not_App,Not_App,0,0.031631155828191086,1713153.9110193213,1769113.0,0.8882629324276561,6169710,6945815,0.7615076701627838,0.7811544204763914,470844,482991.68395265524,618305,nanopolish_NC_022648.1
56,122,nanopolish,100x,0,Not_App,Not_App,1,0.03122091033326368,1711110.9110193213,1766255.0,0.8882453144259236,6168615,6944720,0.7610321766765593,0.7809076266817214,470550,482839.0901154418,618305,nanopolish_NC_022648.1
57,123,nanopolish,100x,0,Not_App,Not_App,2,0.03074570427119927,1708603.4110193213,1762802.0,0.8882215092346644,6167136,6943241,0.7604725823016149,0.7805855652886277,470204,482639.9579457849,618305,nanopolish_NC_022648.1
58,124,nanopolish,100x,0,Not_App,Not_App,3,0.030136136699470017,1705619.077685988,1758617.0,0.8881896565509764,6165158,6941263,0.7596307959042735,0.7801530847225929,469682,482370.9927432335,618303,nanopolish_NC_022648.1
59,125,nanopolish,100x,0,Not_App,Not_App,4,0.02938767735244385,1701862.9110193208,1753391.0,0.8881405698322782,6162112,6938217,0.758453379653665,0.7795327966266629,468954,481987.46675265563,618303,nanopolish_NC_022648.1
