,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
0,0,medaka,100x,10,Not_App,Not_App,0,0.14810455605543393,1595459.6037599212,1872835.0,0.8887836776533783,6173327,6945815,0.7495281454945375,0.7563982247019315,463437,467684.80432432774,618305,medaka_NC_007779.1
1,1,medaka,100x,10,Not_App,Not_App,1,0.14461351297064273,1591865.6984967638,1860990.0,0.8887735731695517,6172696,6945184,0.7493449824034779,0.7562609624175293,463323,467599.178106608,618304,medaka_NC_007779.1
2,2,medaka,100x,10,Not_App,Not_App,2,0.13775409736913147,1585525.3576265252,1838832.0,0.8887496898264368,6171205,6943693,0.7489341812441777,0.7559447543196636,463069,467403.6653748653,618304,medaka_NC_007779.1
3,3,medaka,100x,10,Not_App,Not_App,3,0.12500767003041624,1572919.4620618632,1797638.0,0.8886600880211527,6165617,6938105,0.7475440645125813,0.7548629230191398,462205,466730.2355768882,618298,medaka_NC_007779.1
4,4,medaka,100x,10,Not_App,Not_App,4,0.10613679600816783,1553304.5256943784,1737743.0,0.8884493862815884,6152512,6925000,0.7442057559123124,0.7524277942455377,460132,465215.5711928966,618286,medaka_NC_007779.1
5,5,medaka,100x,10,Not_App,Not_App,5,0.08033010028460519,1511789.2482782546,1643839.0,0.8877991397655176,6112379,6884867,0.7345959988094776,0.7458851938998797,454139,461118.1610320081,618216,medaka_NC_007779.1
6,6,medaka,100x,10,Not_App,Not_App,6,0.05763387776546236,1270625.225423105,1348335.0,0.883201110400479,5841342,6613830,0.6840783777920956,0.7098552201066773,422573,438496.02569561737,617726,medaka_NC_007779.1
7,7,medaka,100x,10,Not_App,Not_App,7,0.3357102770005306,42353.119869277165,63757.0,0.8473402101461347,4287705,5060193,0.050697849621926784,0.5201240827250951,31090,318961.4126144201,613241,medaka_NC_007779.1
8,8,medaka,100x,10,Not_App,Not_App,8,0.596914913284432,6199.448633685434,15380.0,0.8448934205477546,4207881,4980369,0.008949547294714245,0.5094048463275911,5478,311805.68762742577,612098,medaka_NC_007779.1
9,9,medaka,100x,10,Not_App,Not_App,9,0.6376787446999721,3886.9824268587013,10728.0,0.8447627878263197,4203690,4976178,0.006159744784891057,0.5087729368640875,3769,311305.9495166504,611876,medaka_NC_007779.1
10,10,medaka,100x,10,Not_App,Not_App,10,0.6411518941501329,3252.958079529045,9065.0,0.8447367971467306,4202857,4975345,0.005822068942972491,0.5086207318447302,3562,311179.2499499244,611810,medaka_NC_007779.1
11,11,nanopolish,100x,10,Not_App,Not_App,0,0.025689195842306445,1750521.8126816326,1796677.0,0.8888749556387552,6173961,6945815,0.7440179199585965,0.7558058039214328,460030,467318.50759364147,618305,nanopolish_CP010230.1
12,12,nanopolish,100x,10,Not_App,Not_App,1,0.025451713238038853,1749232.3126816326,1794916.0,0.8888660595666771,6173405,6945259,0.7438109023863627,0.7556858578902101,459902,467244.3443628064,618305,nanopolish_CP010230.1
13,13,nanopolish,100x,10,Not_App,Not_App,2,0.02521859300879503,1747708.979348299,1792924.0,0.8888541692466401,6172662,6944516,0.7435359571732397,0.7555308566058173,459732,467148.5062936599,618305,nanopolish_CP010230.1
14,14,nanopolish,100x,10,Not_App,Not_App,3,0.024909442698954558,1746023.479348299,1790627.0,0.8888384662855447,6171681,6943535,0.7431995536183599,0.7553401017779631,459524,467030.5616298234,618305,nanopolish_CP010230.1
15,15,nanopolish,100x,10,Not_App,Not_App,4,0.024584178137357585,1743726.479348299,1787675.0,0.8888126211750321,6170067,6941921,0.7426864455025359,0.7550483319494075,459206,466849.4038376464,618304,nanopolish_CP010230.1
16,16,nanopolish,100x,10,Not_App,Not_App,5,0.024094945533830847,1740552.0381718287,1783526.0,0.8887682850099594,6167300,6939154,0.7418195580167685,0.7545531867463459,458670,466543.2535780126,618304,nanopolish_CP010230.1
17,17,nanopolish,100x,10,Not_App,Not_App,6,0.02350135426690958,1734610.2048384952,1776357.0,0.8886700331601046,6161176,6933030,0.7403767774658092,0.753610708883589,457772,465954.4868598876,618296,nanopolish_CP010230.1
18,18,nanopolish,100x,10,Not_App,Not_App,7,0.02274564595131079,1719360.7881718287,1759379.0,0.8883887443918111,6143703,6915557,0.7370785789954634,0.7512420874048984,455732,464489.2264320117,618295,nanopolish_CP010230.1
19,19,nanopolish,100x,10,Not_App,Not_App,8,0.021986161496696632,1673793.4215051618,1711421.0,0.8875025014294403,6089223,6861077,0.7281700687863806,0.7443471694507954,450221,460223.1557469017,618291,nanopolish_CP010230.1
