tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.9947928856918724,PRG,Pandora illumina with denovo / PRG
pandora,CFT073,0.9937534833899596,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1A,0.9945919949549502,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1D,0.9937914438763767,PRG,Pandora illumina with denovo / PRG
pandora,MINF_7C,0.9946239318351242,PRG,Pandora illumina with denovo / PRG
pandora,MINF_8D,0.9940330701320108,PRG,Pandora illumina with denovo / PRG
pandora,MINF_9A,0.9949845941610704,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_1A,0.9946318214433876,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_3B,0.9944809218659644,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4E,0.994528636778842,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4I,0.9935383939642556,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_6C,0.994793964822388,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7A,0.994584111515508,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7C,0.994150362645806,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8B,0.99434314514666,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8G,0.9946534465991996,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_9D,0.9943491591813732,PRG,Pandora illumina with denovo / PRG
pandora,MSB2_1A,0.9945901944920644,PRG,Pandora illumina with denovo / PRG
pandora,H131800734,0.9945639593392224,PRG,Pandora illumina with denovo / PRG
pandora,ST38,0.9952858773122901,PRG,Pandora illumina with denovo / PRG
samtools,063_STEC,0.9935613407487311,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,CFT073,0.9936911294565596,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1A,0.9932458671148636,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1D,0.99444933541893,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_7C,0.9935424810411978,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_8D,0.9931289883058836,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_9A,0.9918304808671704,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_1A,0.9927921337231388,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_3B,0.993464935872852,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4E,0.9879347964513162,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4I,0.9920098343133908,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_6C,0.9937990579078734,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7A,0.9927883146995576,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7C,0.9924500497149662,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8B,0.9925559537440192,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8G,0.9926724605582936,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_9D,0.992952743009182,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB2_1A,0.991800749513649,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,H131800734,0.9960013076628847,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,ST38,0.9960548404528116,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,063_STEC,0.9925629402767548,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,CFT073,0.9858585481865556,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
