tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.9940846511128468,PRG,Pandora nanopore with denovo / PRG
pandora,CFT073,0.994026418894,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_1A,0.992512186499946,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_1D,0.9936497340465692,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_7C,0.9938183354458306,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_8D,0.991444117385778,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_9A,0.994316828109872,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_1A,0.9945616603995692,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_3B,0.9948307715676667,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_4E,0.9939942409132084,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_4I,0.9930958951561984,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_6C,0.9946856116526452,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_7A,0.9949693638691274,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_7C,0.9935764134620884,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_8B,0.9941669848921028,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_8G,0.9943389214757468,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_9D,0.9935675948327,PRG,Pandora nanopore with denovo / PRG
pandora,MSB2_1A,0.9939494036489156,PRG,Pandora nanopore with denovo / PRG
pandora,H131800734,0.9941557085074202,PRG,Pandora nanopore with denovo / PRG
pandora,ST38,0.9946293856524708,PRG,Pandora nanopore with denovo / PRG
medaka,063_STEC,0.8298244734608137,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,CFT073,0.8818287620496215,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_1A,0.8339875339203673,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_1D,0.8610108413274421,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_7C,0.8104170427197975,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_8D,0.78641320854443,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_9A,0.8150017864761372,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_1A,0.8192008102124961,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_3B,0.8407242635042477,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_4E,0.7653112391622224,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_4I,0.8097593331532781,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_6C,0.8174138173374987,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_7A,0.8466090985480939,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_7C,0.8255069803763364,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_8B,0.8170070559924646,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_8G,0.8137576599131641,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_9D,0.8232638251144029,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB2_1A,0.7982491863784259,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,H131800734,0.8877981242148818,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,ST38,0.8494279816601334,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,063_STEC,0.8069081715461931,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,CFT073,0.7812882741994297,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_1A,0.8125635354651647,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_1D,0.7583451827618807,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_7C,0.8310092704939925,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_8D,0.7765080151821607,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
