tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.99509503734938,PRG,Pandora nanopore with denovo / PRG
pandora,CFT073,0.99473530290699,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_1A,0.9940489213556304,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_1D,0.9944338535087354,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_7C,0.9947344672008028,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_8D,0.9940664867567148,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_9A,0.9950817171386448,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_1A,0.995309803169177,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_3B,0.9955548210387876,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_4E,0.9948302706025256,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_4I,0.9941977210288394,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_6C,0.9957511233039568,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_7A,0.9956518609272884,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_7C,0.9949866335915842,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_8B,0.9950640684185909,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_8G,0.9950847890488232,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_9D,0.9943983900001534,PRG,Pandora nanopore with denovo / PRG
pandora,MSB2_1A,0.9948656823539788,PRG,Pandora nanopore with denovo / PRG
pandora,H131800734,0.9949486172684644,PRG,Pandora nanopore with denovo / PRG
pandora,ST38,0.9954824609321716,PRG,Pandora nanopore with denovo / PRG
medaka,063_STEC,0.8298244734608137,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,CFT073,0.8818287620496215,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_1A,0.8339875339203673,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_1D,0.8610108413274421,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_7C,0.8104170427197975,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_8D,0.78641320854443,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_9A,0.8150017864761372,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_1A,0.8192008102124961,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_3B,0.8407242635042477,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_4E,0.7653112391622224,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_4I,0.8097593331532781,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_6C,0.8174138173374987,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_7A,0.8466090985480939,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_7C,0.8255069803763364,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_8B,0.8170070559924646,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_8G,0.8137576599131641,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_9D,0.8232638251144029,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB2_1A,0.7982491863784259,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,H131800734,0.8877981242148818,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,ST38,0.8494279816601334,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,063_STEC,0.8069081715461931,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,CFT073,0.7812882741994297,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_1A,0.8125635354651647,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_1D,0.7583451827618807,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_7C,0.8310092704939925,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_8D,0.7765080151821607,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MINF_9A,0.8263856934130436,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_1A,0.8096769034920038,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_3B,0.8442823880388507,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_4E,0.4951927461594945,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_4I,0.8033090754624612,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_6C,0.8264069077339566,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_7A,0.8511438136395328,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_7C,0.8183068666306381,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_8B,0.8216806826898831,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_8G,0.8262655542934434,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
medaka,MSB1_9D,0.8037317417775927,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
