count	species
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
10	ecoli
