tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,20,0.9511522552688596,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,20,0.9511522552688596,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,20,0.9966515658853654,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,20,0.997242466023242,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,20,0.9935000984833564,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,20,0.9884774473114044,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,20,0.993697065195982,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,20,0.9950758321843608,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,20,0.9935000984833564,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,20,0.9941894819775458,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,20,0.992712231632854,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,20,0.9941894819775458,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,20,0.9901516643687216,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,20,0.9884774473114044,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,20,0.9885759306677172,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,20,0.9924167815639156,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,20,0.997242466023242,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,20,0.9953712822532992,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,20,0.9939925152649204,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,20,0.9943864486901712,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,20,0.9925152649202283,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,20,0.9964545991727398,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,20,0.9945834154027968,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,20,0.96779594248572,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,20,0.9830608627142012,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,20,0.9947803821154224,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,20,0.9588380108321024,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,20,0.9588380108321024,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,20,0.998030526834072,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,20,0.9965534219596258,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,20,0.9955686853766618,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,20,0.9900541605120632,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,20,0.9965534219596258,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,20,0.9965534219596258,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,20,0.9970457902511078,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,20,0.9966518956179222,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,20,0.9939931068439192,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,20,0.9970457902511078,ST648,Snippy / ST648 (NZ_CP008697.1)
