tool,sample,precision,ref,tool_and_ref
Pandora nanopore no denovo,063_STEC,0.9950793631920511,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,CFT073,0.9951418189382746,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MINF_1A,0.9946991813399454,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MINF_1D,0.994755427179452,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MINF_7C,0.9949883216403108,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MINF_8D,0.9949544727563095,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MINF_9A,0.995445244380256,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_1A,0.9958009457501864,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_3B,0.9957809455470896,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_4E,0.9951086331445034,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_4I,0.9942863401487628,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_6C,0.9960628251025035,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_7A,0.9959603553007328,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_7C,0.9952407976146312,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_8B,0.995240341422264,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_8G,0.9955137111099824,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB1_9D,0.9948855220553676,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MSB2_1A,0.9949970218156678,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,H131800734,0.9953328534780942,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore no denovo,ST38,0.9953526005149164,PRG,Pandora nanopore no denovo / PRG
Pandora nanopore with denovo,063_STEC,0.99509503734938,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,CFT073,0.9947353029069901,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MINF_1A,0.9940489213556304,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MINF_1D,0.9944338535087354,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MINF_7C,0.9947344672008028,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MINF_8D,0.9940664867567148,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MINF_9A,0.9950817171386448,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_1A,0.995309803169177,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_3B,0.9955548210387876,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_4E,0.9948302706025256,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_4I,0.9941977210288394,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_6C,0.9957511233039568,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_7A,0.9956518609272884,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_7C,0.9949866335915842,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_8B,0.9950640684185909,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_8G,0.9950847890488232,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_9D,0.9943983900001534,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB2_1A,0.9948656823539788,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,H131800734,0.9949486172684644,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,ST38,0.9954824609321716,PRG,Pandora nanopore with denovo / PRG
Nanopolish,063_STEC,0.969054278649317,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,CFT073,0.9843646230621808,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9720242039487276,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9829671498465372,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9726071617793088,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9688130824650092,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_9A,0.9709401664179916,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9756034320555028,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.977391647122736,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9637967303845688,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9763431385838868,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9774245332760008,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9764195510595391,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.9738979379684788,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9735841654451632,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9737357902904614,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9711677505887488,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9725527831094049,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,H131800734,0.9786314368536614,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,ST38,0.9765280779305828,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,063_STEC,0.959495677320604,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,CFT073,0.9609583633354808,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9665264368511844,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9664064622070768,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_7C,0.969060985154694,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9670693092345234,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_9A,0.9675426532420566,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9738268009738864,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9726141309174884,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8532489127654131,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9672126751067496,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9777252370361068,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9753882304863096,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.9745079670507704,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9737073259998779,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.97270937951489,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9717388997650508,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9639495962854532,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,H131800734,0.9759172221563872,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,ST38,0.972932025272248,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,063_STEC,0.9773136032118199,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,CFT073,0.9739547756946894,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9703383367743618,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9759236264123854,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9764254998844848,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9699994287101704,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_9A,0.9676247433723107,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9796655860150352,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9748197479688838,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.979305377285976,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9748663394676881,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9752055364509464,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9735882191947453,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.978675709607913,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9706404131813852,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9772780865427959,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9734822253000922,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9739608537910768,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,H131800734,0.9785492049051964,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,ST38,0.9700405783280932,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,063_STEC,0.9799603448389153,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,CFT073,0.977726892708712,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9757037218395944,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9802550534377538,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9781024178815244,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9120598507319874,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_9A,0.9788961645090241,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9792288190469584,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9768063366403262,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.978447534798927,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9782821030932812,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9810321303975014,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9772947233225712,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.9804179372938224,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9801655855440128,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
