tool,sample,precision,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,0.9945634784698676,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,CFT073,0.9938886881248432,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MINF_1A,0.994354168003958,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MINF_1D,0.9936388477675066,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MINF_7C,0.9946516695890812,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MINF_8D,0.9940493581292841,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MINF_9A,0.9950052999057498,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_1A,0.99486600366947,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_3B,0.9946303178762952,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_4E,0.9945338673321584,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_4I,0.9933548785916524,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_6C,0.9949710491050272,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_7A,0.9947433327194748,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_7C,0.994128923770466,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_8B,0.9942705691835706,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_8G,0.9947740048200192,PRG,Pandora illumina no denovo / PRG
Pandora illumina no denovo,Escherichia_coli_MSB1_9D,0.9941774219232996,PRG,Pandora illumina no denovo / PRG
