tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.9944699392102432,PRG,Pandora illumina with denovo / PRG
pandora,CFT073,0.9935385921711268,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1A,0.9943569476287386,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1D,0.9935866181557708,PRG,Pandora illumina with denovo / PRG
pandora,MINF_7C,0.9943761323685912,PRG,Pandora illumina with denovo / PRG
pandora,MINF_8D,0.9938150069420856,PRG,Pandora illumina with denovo / PRG
pandora,MINF_9A,0.9947248164039968,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_1A,0.9944006636961444,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_3B,0.9941944249233928,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4E,0.9942689323144476,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4I,0.9930746724195502,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_6C,0.994159039938196,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7A,0.9942774942715472,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7C,0.9937721684565932,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8B,0.9939305743283292,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8G,0.9943839146631744,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_9D,0.9935476026821852,PRG,Pandora illumina with denovo / PRG
pandora,MSB2_1A,0.9942918439933768,PRG,Pandora illumina with denovo / PRG
pandora,H131800734,0.9943294949470468,PRG,Pandora illumina with denovo / PRG
pandora,ST38,0.9948543257884972,PRG,Pandora illumina with denovo / PRG
samtools,063_STEC,0.9907297770218262,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,CFT073,0.9930576761666172,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1A,0.9920193080682288,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1D,0.9920879788155514,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_7C,0.991507403213412,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_8D,0.9899954165753634,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_9A,0.9886591964923594,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_1A,0.990272069966013,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_3B,0.9915917036776336,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4E,0.9810858899903964,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4I,0.982269468964422,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_6C,0.9788598162766028,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7A,0.9913184373087596,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7C,0.9844760686770356,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8B,0.9827934156625028,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8G,0.9823109545943,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_9D,0.9707278840799344,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB2_1A,0.9885081864791252,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,H131800734,0.9949603350014532,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,ST38,0.9928100505454608,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,063_STEC,0.9884603371167592,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,CFT073,0.982825664003364,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_1A,0.9906194913789101,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_1D,0.9827094009627976,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_7C,0.9898552036872864,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_8D,0.9881980523238548,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_9A,0.9898364871313832,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_1A,0.9906258726153244,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_3B,0.991018291246606,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_4E,0.863398602080746,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_4I,0.974097604139848,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_6C,0.9715431768591452,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_7A,0.9915451826359626,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_7C,0.9810574270942166,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_8B,0.9818921306160447,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_8G,0.9830961040833172,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_9D,0.9596736463644544,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB2_1A,0.9850388953498616,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,H131800734,0.9931615063292928,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,ST38,0.9912916152700032,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,063_STEC,0.9923460029145416,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,CFT073,0.9904387185068294,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_1A,0.992805568269312,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_1D,0.9886983043009118,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_7C,0.9920900155845881,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_8D,0.9917114135691208,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_9A,0.9889493419227958,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_1A,0.9932525081930448,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_3B,0.9920337406326172,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_4E,0.9893070531778742,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_4I,0.9807680736556602,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_6C,0.9745211282916092,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_7A,0.9918510050214252,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_7C,0.9856902656604352,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_8B,0.9833260120039036,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_8G,0.985273139318496,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_9D,0.9691557406758484,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB2_1A,0.9904114197746918,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,H131800734,0.9955071812363456,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,ST38,0.9902457029046736,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,063_STEC,0.993596634889432,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,CFT073,0.9916655473642628,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MINF_1A,0.9946169844448222,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MINF_1D,0.9903228027726864,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MINF_7C,0.9942464944267224,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MINF_8D,0.9793518769390964,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MINF_9A,0.9919187174013626,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_1A,0.9908521926128052,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_3B,0.9923849776794956,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_4E,0.9878615905677308,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_4I,0.9878057115568982,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_6C,0.9840779562694508,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_7A,0.9919703525778624,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_7C,0.9876444192797016,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_8B,0.9875191108773296,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_8G,0.989096248020914,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB1_9D,0.9509180091913684,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,MSB2_1A,0.9910926988662128,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,H131800734,0.9859834903084062,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,ST38,0.9938724728409302,EcRV308Chr (NZ_LM995446.1),Samtools / EcRV308Chr (NZ_LM995446.1)
samtools,063_STEC,0.987641438794762,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,CFT073,0.9810330477059122,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MINF_1A,0.9915198145985488,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MINF_1D,0.9803454103660216,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MINF_7C,0.9888033087917752,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MINF_8D,0.9880804293110408,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MINF_9A,0.989074198923962,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_1A,0.9899075419968588,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_3B,0.991219232106105,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_4E,0.9075594386857484,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_4I,0.9739669768781576,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_6C,0.9696594610459875,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_7A,0.9914146468916508,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_7C,0.9803360315076804,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_8B,0.9810688429083888,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_8G,0.9821410368632564,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB1_9D,0.95841499194373,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,MSB2_1A,0.9827669605776034,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,H131800734,0.9929622968018595,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,ST38,0.9904527866559796,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
samtools,063_STEC,0.9904428930014678,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,CFT073,0.9892053470053114,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MINF_1A,0.9881768081903066,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MINF_1D,0.9854910109628358,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MINF_7C,0.9900227381605576,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MINF_8D,0.9701731277400878,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MINF_9A,0.9853360493651384,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_1A,0.9665781888472776,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_3B,0.9868124770012487,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_4E,0.981195510494826,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_4I,0.9788267135464328,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_6C,0.9766619312015272,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_7A,0.9870462115208806,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_7C,0.9794813156021859,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_8B,0.9773817009122504,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_8G,0.963258987422952,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB1_9D,0.9304259582414448,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,MSB2_1A,0.986637153544658,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,H131800734,0.9794832871634837,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,ST38,0.9898949145806016,MRSN346595 (NZ_CP018109.1),Samtools / MRSN346595 (NZ_CP018109.1)
samtools,063_STEC,0.9929803208047278,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,CFT073,0.9892180798611684,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MINF_1A,0.9907547985169572,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MINF_1D,0.987860987658604,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MINF_7C,0.9914274994978222,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MINF_8D,0.9895460580164868,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MINF_9A,0.9867323010436528,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_1A,0.9925166734580714,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_3B,0.9903877846977748,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_4E,0.9865231363386262,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_4I,0.9727795370144272,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_6C,0.972982166330558,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_7A,0.9913332809462759,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_7C,0.9813371798612004,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_8B,0.9767977082548142,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_8G,0.984587624315724,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB1_9D,0.9543964081569652,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,MSB2_1A,0.9893626576373876,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,H131800734,0.9943016248887404,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,ST38,0.9900602774670562,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
samtools,063_STEC,0.9894131368029404,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,CFT073,0.9885937961178821,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MINF_1A,0.9871528305253544,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MINF_1D,0.9853061008562328,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MINF_7C,0.9837444354127272,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MINF_8D,0.9871480223649696,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MINF_9A,0.9837202565121124,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MSB1_1A,0.9888276355601424,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
samtools,MSB1_3B,0.9548540457646632,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
