,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
0,0,samtools,100x,5,Not_App,Not_App,0,0.006865098091104249,1675200.0898418871,1686780.0,0.8716294394166835,6054522,6946211,0.7321224961790702,0.7434978577221749,452675,459708.44291890936,618305,samtools_NC_011993.1
1,1,samtools,100x,5,Not_App,Not_App,1,0.006853205110789351,1674963.9188101413,1686522.0,0.8716265378875546,6054365,6946054,0.7320788284099271,0.7434666093142354,452648,459689.1218720383,618305,samtools_NC_011993.1
2,2,samtools,100x,5,Not_App,Not_App,2,0.006815708047016922,1674602.0755561732,1686094.0,0.8716222500375046,6054133,6945822,0.7319882582220749,0.7434213420195785,452592,459661.1328774154,618305,samtools_NC_011993.1
3,3,samtools,100x,5,Not_App,Not_App,3,0.00678550908551212,1674385.8191459163,1685825.0,0.8716196069527544,6053990,6945679,0.7319154786068365,0.7433861347657851,452547,459639.3640563587,618305,samtools_NC_011993.1
4,4,samtools,100x,5,Not_App,Not_App,4,0.006745847807548611,1674079.217558615,1685449.0,0.8716159286327223,6053791,6945480,0.7318297603933334,0.7433396675262532,452494,459610.63312982,618305,samtools_NC_011993.1
5,5,samtools,100x,5,Not_App,Not_App,5,0.0067172635368258895,1673836.363047337,1685156.0,0.8716132483170358,6053646,6945335,0.7317585981028779,0.7433058015159834,452450,459589.6936063401,618305,samtools_NC_011993.1
6,6,samtools,100x,5,Not_App,Not_App,6,0.006680746416317551,1673521.432094956,1684777.0,0.8716097544961617,6053457,6945146,0.7316793491885073,0.7432601891643944,452401,459561.4912612909,618305,samtools_NC_011993.1
7,7,samtools,100x,5,Not_App,Not_App,7,0.006642550141492286,1673225.1955459684,1684414.0,0.8716066117435107,6053287,6944976,0.7315758404023904,0.7432168594931576,452337,459534.70030891686,618305,samtools_NC_011993.1
8,8,samtools,100x,5,Not_App,Not_App,8,0.006576063387281006,1672836.5011015236,1683910.0,0.8716018603488492,6053030,6944719,0.7314593930180089,0.7431596864426031,452265,459499.34992589365,618305,samtools_NC_011993.1
9,9,samtools,100x,5,Not_App,Not_App,9,0.006507341742875372,1672462.430285234,1683417.0,0.8715972380321663,6052780,6944469,0.7313283897105798,0.7430947372293885,452184,459459.19150261703,618305,samtools_NC_011993.1
10,10,samtools,100x,5,Not_App,Not_App,10,0.006424437553585793,1671910.4640153926,1682721.0,0.8715893238533586,6052352,6944041,0.7310954949418167,0.7429793646274941,452040,459387.8560460028,618305,samtools_NC_011993.1
11,33,snippy,100x,5,Not_App,Not_App,0,0.00031965158304514407,1371639.4130952386,1372078.0,0.8871905849102482,6162613,6946211,0.7527999935307008,0.7760897978714572,465460,479860.20247291133,618305,snippy_NZ_HG941718.1
12,34,snippy,100x,5,Not_App,Not_App,1,0.00030614553576524534,1371216.0797619051,1371636.0,0.8871821879858226,6162096,6945694,0.7525654814371548,0.7759725184811759,465315,479787.6880395034,618305,snippy_NZ_HG941718.1
13,35,snippy,100x,5,Not_App,Not_App,2,0.0002655402593098044,1367956.6559523812,1368320.0,0.8871089502258115,6157590,6941188,0.7509509885105061,0.7750214881207987,464316,479198.88619104226,618304,snippy_NZ_HG941718.1
14,36,snippy,100x,5,Not_App,Not_App,3,0.000203039307122288,1362355.3321428574,1362632.0,0.8869758846654905,6149418,6933016,0.7484558491737843,0.7734365438078662,462771,478216.5884729475,618301,snippy_NZ_HG941718.1
15,37,snippy,100x,5,Not_App,Not_App,4,0.0001555615801236421,1355086.1678571429,1355297.0,0.8867931506502982,6138227,6921825,0.74528295783532,0.7714020920626199,460801,476950.19950139726,618290,snippy_NZ_HG941718.1
16,38,snippy,100x,5,Not_App,Not_App,5,0.00010742560777321497,1346069.3821428572,1346214.0,0.8865487867522929,6123318,6906916,0.7412022345790432,0.7687888891840884,458272,475328.33198251657,618282,snippy_NZ_HG941718.1
17,39,snippy,100x,5,Not_App,Not_App,6,7.748116685357687e-05,1333999.6321428572,1334103.0,0.8861924975451299,6101695,6885293,0.7355589522122749,0.7650802181723123,454763,473014.6702861229,618255,snippy_NZ_HG941718.1
18,40,snippy,100x,5,Not_App,Not_App,7,4.981132132841904e-05,1315398.475,1315464.0,0.8855765650394335,6064632,6848230,0.7280726726882165,0.7593692508025456,450112,469460.2957081529,618224,snippy_NZ_HG941718.1
19,41,snippy,100x,5,Not_App,Not_App,8,3.221227938743354e-05,1250776.7083333335,1250817.0,0.8834207555919424,5937993,6721591,0.712167732166891,0.7427693910104898,440245,459162.21105730045,618176,snippy_NZ_HG941718.1
20,42,snippy,100x,5,Not_App,Not_App,9,2.9242945048468805e-05,1030132.875,1030163.0,0.8763635388266182,5554322,6337920,0.6717540331388021,0.6964062942063495,415189,430425.74904123583,618067,snippy_NZ_HG941718.1
21,43,snippy,100x,5,Not_App,Not_App,10,2.3242794633504528e-05,831779.6666666665,831799.0,0.86920582058952,5207479,5991077,0.6356255451642816,0.655646440513657,392774,405145.5719259256,617933,snippy_NZ_HG941718.1
22,55,samtools,100x,5,Not_App,Not_App,0,0.005756887868324068,1561693.4489772604,1570736.0,0.8715603369952338,6054042,6946211,0.7201914912543163,0.7320204649722226,445298,452611.9135946501,618305,samtools_NZ_LM995446.1
23,56,samtools,100x,5,Not_App,Not_App,1,0.005744200881929618,1561195.3696121809,1570215.0,0.8715572304979972,6053874,6946043,0.7200863651434163,0.7319729021972565,445233,452582.5052930747,618305,samtools_NZ_LM995446.1
24,57,samtools,100x,5,Not_App,Not_App,2,0.005714969775628021,1560656.6291359903,1569627.0,0.8715527738913376,6053633,6945802,0.7199359539385902,0.7319178934486849,445140,452548.4931087891,618305,samtools_NZ_LM995446.1
25,58,samtools,100x,5,Not_App,Not_App,3,0.005684371565435553,1560312.8965552568,1569233.0,0.8715504807450043,6053509,6945678,0.7198615569985687,0.7318822475759394,445094,452526.45308744116,618305,samtools_NZ_LM995446.1
26,59,samtools,100x,5,Not_App,Not_App,4,0.005644477252259914,1559886.2771108125,1568741.0,0.8715472628048303,6053335,6945504,0.7197434922894042,0.7318295626037762,445021,452493.8777057278,618305,samtools_NZ_LM995446.1
27,60,samtools,100x,5,Not_App,Not_App,5,0.0056063981452129106,1559545.2727457331,1568338.0,0.8715441741703822,6053168,6945337,0.7196254275802395,0.7317929796049564,444948,452471.2582546426,618305,samtools_NZ_LM995446.1
28,61,samtools,100x,5,Not_App,Not_App,6,0.005571553561655951,1559135.5227457331,1567871.0,0.8715409929065759,6052996,6945165,0.719507362871075,0.7317413746663904,444875,452439.3506631025,618305,samtools_NZ_LM995446.1
29,62,samtools,100x,5,Not_App,Not_App,7,0.005537113190084875,1558798.6968910322,1567478.0,0.8715378299822866,6052825,6944994,0.7193941501362596,0.7316999266828033,444805,452413.72316761065,618305,samtools_NZ_LM995446.1
30,63,samtools,100x,5,Not_App,Not_App,8,0.005464347285923489,1558360.788557699,1566923.0,0.8715331870452225,6052574,6944743,0.7192534428801319,0.7316298991380396,444718,452370.4247865456,618305,samtools_NZ_LM995446.1
31,64,samtools,100x,5,Not_App,Not_App,9,0.005391871114424074,1557937.2647481754,1566383.0,0.8715279887772444,6052293,6944462,0.719085241102692,0.7315503445796518,444614,452321.2358053217,618305,samtools_NZ_LM995446.1
32,65,samtools,100x,5,Not_App,Not_App,10,0.0053165323832381475,1557351.0381608738,1565675.0,0.8715212174486067,6051927,6944096,0.7188199998382675,0.7314556619480318,444450,452262.6930607778,618305,samtools_NZ_LM995446.1
33,110,snippy,100x,5,Not_App,Not_App,0,0.00020114360157319489,1164301.7610347983,1164536.0,0.8807392980144139,6117801,6946211,0.7321645466234302,0.7545531713677791,452701,466543.9986225546,618305,snippy_CP010116.1
34,111,snippy,100x,5,Not_App,Not_App,1,0.0001958154995483908,1164077.0110347983,1164305.0,0.8807352974627907,6117568,6945978,0.7320432472646995,0.7544928732486584,452626,466506.7159940118,618305,snippy_CP010116.1
35,112,snippy,100x,5,Not_App,Not_App,2,0.00016960150606226687,1162659.777701465,1162857.0,0.8807022182437574,6115642,6944052,0.7313429456336275,0.7540481188775371,452193,466231.7221425756,618305,snippy_CP010116.1
36,113,snippy,100x,5,Not_App,Not_App,3,0.00013303567196842894,1159749.6913919412,1159904.0,0.880632220842135,6111570,6939980,0.7298326707660657,0.7532046723384278,451257,465707.9553161946,618302,snippy_CP010116.1
37,114,snippy,100x,5,Not_App,Not_App,4,0.00010248068698293088,1155839.5366300363,1155958.0,0.8805360296908511,6105982,6934392,0.7274740132978165,0.7520304038274466,449795,464978.1425952988,618297,snippy_CP010116.1
38,115,snippy,100x,5,Not_App,Not_App,5,7.529858811328173e-05,1150997.3250000002,1151084.0,0.8804082182411068,6098571,6926981,0.7246306725366578,0.7505670891794454,448029,464065.1233004026,618286,snippy_CP010116.1
39,116,snippy,100x,5,Not_App,Not_App,6,5.16214205971144e-05,1144975.8916666666,1145035.0,0.8802467488555709,6089231,6917641,0.7212403622359774,0.7488284206327052,445922,462978.8964530033,618271,snippy_CP010116.1
40,117,snippy,100x,5,Not_App,Not_App,7,3.8198905135899956e-05,1137205.5583333329,1137249.0,0.8800369500269566,6077133,6905543,0.7171252684971919,0.7466798352549823,443367,461639.2882254043,618256,snippy_CP010116.1
41,118,snippy,100x,5,Not_App,Not_App,8,2.745889079414088e-05,1126805.0583333329,1126836.0,0.8797317137864207,6059607,6888017,0.7115882952394817,0.7437456178289178,439911,459790.9783980153,618210,snippy_CP010116.1
42,119,snippy,100x,5,Not_App,Not_App,9,1.916929935052991e-05,1110695.708333333,1110717.0,0.8792308069104103,6031038,6859448,0.7039529451350109,0.7392393719155252,435164,456977.081015764,618172,snippy_CP010116.1
43,120,snippy,100x,5,Not_App,Not_App,10,1.2614571359037539e-05,1073480.4583333335,1073494.0,0.8780470390623102,5964455,6792865,0.6899083459394744,0.7299277460987644,426422,451157.3909474549,618085,snippy_CP010116.1
44,143,samtools,100x,5,Not_App,Not_App,0,0.008567431399298164,1744413.7072621116,1759488.0,0.8904121973835808,6184991,6946211,0.7667736796564802,0.7829111122859824,474100,484077.8552819844,618305,samtools_NZ_LT632320.1
45,144,samtools,100x,5,Not_App,Not_App,1,0.00854623406664945,1742701.0878176668,1757723.0,0.8903976651802876,6184070,6945290,0.7666216511268711,0.7827796159528341,474006,483996.55044171703,618305,samtools_NZ_LT632320.1
46,145,samtools,100x,5,Not_App,Not_App,2,0.008488377225838617,1740979.3942431856,1755884.0,0.890380256176857,6182967,6944187,0.7662755436232928,0.7826084283398228,473792,483890.70428465406,618305,samtools_NZ_LT632320.1
47,146,samtools,100x,5,Not_App,Not_App,3,0.008446458733460394,1739557.7355130266,1754376.0,0.8903654470695204,6182029,6943249,0.7659132628718837,0.7824478339191536,473568,483791.4079513823,618305,samtools_NZ_LT632320.1
48,147,samtools,100x,5,Not_App,Not_App,4,0.00839058576959606,1738032.4930887842,1752739.0,0.8903477909016698,6180911,6942131,0.7654070402147807,0.7822642152384052,473255,483677.8756029821,618305,samtools_NZ_LT632320.1
49,148,samtools,100x,5,Not_App,Not_App,5,0.008339457482646974,1736878.565311006,1751485.0,0.8903344581487554,6180067,6941287,0.764967127873784,0.7821207126639639,472983,483589.1472436922,618305,samtools_NZ_LT632320.1
50,149,samtools,100x,5,Not_App,Not_App,6,0.00828304945311209,1735538.3818333724,1750034.0,0.8903191309561221,6179097,6940317,0.7642425663709658,0.7819502473001294,472535,483483.74765690655,618305,samtools_NZ_LT632320.1
51,150,samtools,100x,5,Not_App,Not_App,7,0.008213604872061908,1734636.388651554,1749002.0,0.8903095216240335,6178489,6939709,0.7637363437138629,0.7818309587676389,472222,483409.990960825,618305,samtools_NZ_LT632320.1
52,151,samtools,100x,5,Not_App,Not_App,8,0.008109620362704021,1733796.6106753638,1747972.0,0.8903005113458601,6177919,6939139,0.7633174565950461,0.7816966858837942,471963,483326.9693653793,618305,samtools_NZ_LT632320.1
53,152,samtools,100x,5,Not_App,Not_App,9,0.008019081562633756,1733170.213056316,1747181.0,0.8902946459659697,6177548,6938768,0.7630894138006323,0.7816057165775124,471822,483270.7225884589,618305,samtools_NZ_LT632320.1
54,153,samtools,100x,5,Not_App,Not_App,10,0.00789755121222102,1732306.117418546,1746096.0,0.8902868192127926,6177053,6938273,0.7627869740661971,0.7814635117312527,471635,483182.7966209922,618305,samtools_NZ_LT632320.1
55,154,snippy,100x,5,Not_App,Not_App,0,0.0001824418196587629,1333107.7410173162,1333351.0,0.8684717466831917,6032588,6946211,0.7235312669313688,0.7381499762655086,447363,456401.8210748453,618305,snippy_NC_011993.1
56,155,snippy,100x,5,Not_App,Not_App,1,0.0001786317520937608,1332761.883874459,1333000.0,0.8684633578317041,6032145,6945768,0.7233690870510299,0.7380649935937879,447262,456348.53779901343,618304,snippy_NC_011993.1
57,156,snippy,100x,5,Not_App,Not_App,2,0.00016272660625427093,1330949.383874459,1331166.0,0.868414632108902,6029573,6943196,0.7227755278956629,0.7376191667494476,446895,456072.88127785036,618304,snippy_NC_011993.1
58,157,snippy,100x,5,Not_App,Not_App,3,0.0001342731327681479,1327447.7354978356,1327626.0,0.8683089674059927,6024002,6937625,0.7215512110547563,0.7366905450761094,446138,455498.7107827388,618304,snippy_NC_011993.1
59,158,snippy,100x,5,Not_App,Not_App,4,0.00011010199396521704,1322641.3585137087,1322787.0,0.8681617292774461,6016254,6929877,0.7195422933850881,0.7353880368087936,444893,454690.4231588771,618300,snippy_NC_011993.1
60,159,snippy,100x,5,Not_App,Not_App,5,8.390008114689261e-05,1316504.5358946607,1316615.0,0.8679613050806159,6005735,6919358,0.7168249511560806,0.7336812401447093,443210,453632.1760565132,618296,snippy_NC_011993.1
61,160,snippy,100x,5,Not_App,Not_App,6,5.945427640374757e-05,1308848.1787518042,1308926.0,0.8676940873518529,5991760,6905383,0.71348233737625,0.7314950766139263,441134,452270.9704540882,618283,snippy_NC_011993.1
62,161,snippy,100x,5,Not_App,Not_App,7,3.922520470989177e-05,1298409.0676406922,1298460.0,0.8673258866730785,5972596,6886219,0.7089838063752288,0.7286747806359131,438342,450516.2992742047,618268,snippy_NC_011993.1
63,162,snippy,100x,5,Not_App,Not_App,8,2.573615505341298e-05,1282356.9962121209,1282390.0,0.8667454563911564,5942601,6856224,0.7035184088872498,0.7244843145031085,434939,447900.8356925148,618234,snippy_NC_011993.1
64,163,snippy,100x,5,Not_App,Not_App,9,1.809582897938089e-05,1252777.3295454546,1252800.0,0.8656522510180968,5886811,6800434,0.6942790866208985,0.7172722890332952,429195,443409.1218129147,618188,snippy_NC_011993.1
65,164,snippy,100x,5,Not_App,Not_App,10,1.2818024727523358e-05,1179963.875,1179979.0,0.8630430451648261,5757254,6670877,0.673734701966399,0.7015387801746789,416459,433645.67388327507,618135,snippy_NC_011993.1
66,198,samtools,100x,5,Not_App,Not_App,0,0.0070207026766982965,1463383.3798442697,1473730.0,0.8835159196862865,6137088,6946211,0.7451193181358714,0.7609795776818322,460711,470517.4777785653,618305,samtools_CP010116.1
67,199,samtools,100x,5,Not_App,Not_App,1,0.007011331249204944,1462838.1381776026,1473167.0,0.8835123979970634,6136878,6946001,0.7449640549566962,0.7609121370569809,460615,470475.7789030166,618305,samtools_CP010116.1
68,200,samtools,100x,5,Not_App,Not_App,2,0.006965023500022482,1462244.002896217,1472500.0,0.8835066119024609,6136533,6945656,0.7447133696153193,0.7608254071853534,460460,470422.1533897399,618305,samtools_CP010116.1
69,201,samtools,100x,5,Not_App,Not_App,3,0.0069255191279190545,1461753.002896217,1471947.0,0.8835030896503983,6136323,6945446,0.7445241426156993,0.7607486584234219,460343,470374.6992464938,618305,samtools_CP010116.1
70,202,samtools,100x,5,Not_App,Not_App,4,0.006869556058785364,1461287.1695628834,1471395.0,0.8834992149271117,6136092,6945215,0.7443430022399948,0.7606760350803772,460231,470329.79587037256,618305,samtools_CP010116.1
71,203,samtools,100x,5,Not_App,Not_App,5,0.006822217835887434,1460845.33622955,1470880.0,0.8834958935305702,6135894,6945017,0.7441994365213116,0.7606089038552877,460140,470286.0064715321,618302,samtools_CP010116.1
72,204,samtools,100x,5,Not_App,Not_App,6,0.006760968338080375,1460297.7674325574,1470238.0,0.8834917163539516,6135645,6944768,0.7440296165951267,0.7605333195060847,460035,470239.2725172512,618302,samtools_CP010116.1
73,205,samtools,100x,5,Not_App,Not_App,7,0.006694000733700745,1459825.0747997072,1469663.0,0.8834871362136484,6135372,6944495,0.7438193633531834,0.7604332883901485,459905,470177.4230782056,618302,samtools_CP010116.1
74,206,samtools,100x,5,Not_App,Not_App,8,0.006605308418964562,1459279.914222784,1468983.0,0.8834821530146462,6135075,6944198,0.7436216341231859,0.7603465566219517,459782,470123.0363059093,618301,samtools_CP010116.1
75,207,samtools,100x,5,Not_App,Not_App,9,0.006509016596353501,1458781.5570799268,1468339.0,0.8834766491884208,6134747,6943870,0.7433850881449134,0.7602402020293175,459635,470056.5169147271,618300,samtools_CP010116.1
76,208,samtools,100x,5,Not_App,Not_App,10,0.0063813608810793215,1458178.0785084981,1467543.0,0.8834697351089328,6134335,6943458,0.7430810286268802,0.7601052303070287,459447,469973.0638988359,618300,samtools_CP010116.1
77,220,snippy,100x,5,Not_App,Not_App,0,9.624300538746412e-05,1316456.288095238,1316583.0,0.8779101297095642,6098149,6946211,0.722729073838963,0.7368566109690123,446867,455602.1268451953,618305,snippy_CP010170.1
78,221,snippy,100x,5,Not_App,Not_App,1,8.851887330552087e-05,1316121.4880952379,1316238.0,0.8779033096581932,6097761,6945823,0.72255925473674,0.7367650322536519,446762,455545.5032675943,618305,snippy_CP010170.1
79,222,snippy,100x,5,Not_App,Not_App,2,7.71849877498898e-05,1314427.5380952382,1314529.0,0.8778684592576357,6095779,6943841,0.7219474562674671,0.7363280226220339,446383,455274.5616992941,618304,snippy_CP010170.1
80,223,snippy,100x,5,Not_App,Not_App,3,5.8303554294592004e-05,1311368.5380952382,1311445.0,0.8777988748231781,6091825,6939887,0.7206616809854053,0.7355448772521935,445588,454790.3397845403,618304,snippy_CP010170.1
81,224,snippy,100x,5,Not_App,Not_App,4,3.978109398605767e-05,1307340.9904761906,1307393.0,0.8777040145913825,6086442,6934504,0.7190772087245956,0.7345455009123509,444604,454168.01412310475,618298,snippy_CP010170.1
82,225,snippy,100x,5,Not_App,Not_App,5,2.8304368700049487e-05,1302471.133333333,1302508.0,0.8775808098852043,6079463,6927525,0.7168735009032993,0.7332944081762913,443235,453387.86633691104,618289,snippy_CP010170.1
83,226,snippy,100x,5,Not_App,Not_App,6,2.1297850112511608e-05,1296660.383333333,1296688.0,0.8774265563412883,6070745,6918807,0.7143041989541836,0.7317954453783738,441635,452449.3654004233,618273,snippy_CP010170.1
84,227,snippy,100x,5,Not_App,Not_App,7,7.342571011537123e-06,1289275.5333333334,1289285.0,0.8772200303771343,6059107,6907169,0.7112677878814346,0.7298914158974024,439747,451261.20700989617,618258,snippy_CP010170.1
85,228,snippy,100x,5,Not_App,Not_App,8,1.7980395116135028e-06,1279168.7,1279171.0,0.8769250104344868,6042550,6890612,0.7071286923721439,0.7272961795079378,437171,449639.22624191036,618234,snippy_CP010170.1
86,229,snippy,100x,5,Not_App,Not_App,9,9.487110969041979e-07,1264872.8,1264874.0,0.8765052552055127,6019129,6867191,0.7018781734920504,0.7238255133549989,433906,447473.9991346538,618207,snippy_CP010170.1
87,230,snippy,100x,5,Not_App,Not_App,10,8.065381206234791e-07,1239866.0,1239867.0,0.8757588156813142,5977871,6825933,0.6946187992597289,0.7180728506531101,429380,443878.16877692135,618152,snippy_CP010170.1
88,264,snippy,100x,5,Not_App,Not_App,0,0.00037727000535192623,1307549.5146103895,1308043.0,0.9073384036275316,6302564,6946211,0.7556319292258675,0.7810896175278662,467211,482951.6159655672,618305,snippy_NZ_CP011134.1
89,265,snippy,100x,5,Not_App,Not_App,1,0.00036677519832606365,1307184.3812770562,1307664.0,0.9073334009037932,6302189,6945836,0.7554766660466922,0.781004414008702,467115,482898.93420365045,618305,snippy_NZ_CP011134.1
90,266,snippy,100x,5,Not_App,Not_App,2,0.00031458629875413813,1304219.5812770564,1304630.0,0.9072883387156714,6298813,6942460,0.7541617809980511,0.7802753782628872,466302,482448.16775683453,618305,snippy_NZ_CP011134.1
91,267,snippy,100x,5,Not_App,Not_App,3,0.000263096933978968,1299214.090800866,1299556.0,0.9072043844312552,6292532,6936179,0.7517531829003209,0.77899617523913,464812,481656.4511350551,618304,snippy_NZ_CP011134.1
92,268,snippy,100x,5,Not_App,Not_App,4,0.0002033729220436431,1292536.0796897549,1292799.0,0.9070804547123921,6283281,6926928,0.7483510973814876,0.7771760780694432,462698,480520.19730955607,618290,snippy_NZ_CP011134.1
93,269,snippy,100x,5,Not_App,Not_App,5,0.00015467679001524015,1283587.4281024537,1283786.0,0.9068947126394216,6269462,6913109,0.7436921374919939,0.7746488907909075,459807,478946.8176026391,618276,snippy_NZ_CP011134.1
94,270,snippy,100x,5,Not_App,Not_App,6,0.00010269766745119036,1271845.371031746,1271976.0,0.9066344330450516,6250190,6893837,0.7377523012200389,0.7713236180656783,456122,476877.7687816682,618259,snippy_NZ_CP011134.1
95,271,snippy,100x,5,Not_App,Not_App,7,6.489029496081766e-05,1253077.6821428572,1253159.0,0.9061470915888504,6214393,6858040,0.728479413544002,0.7657293192697372,450362,473390.7112175755,618222,snippy_NZ_CP011134.1
96,272,snippy,100x,5,Not_App,Not_App,8,3.348770697597647e-05,1176049.6154761906,1176089.0,0.9040830142915708,6066812,6710459,0.7035034108795492,0.7470284397432809,434884,461789.8235676642,618169,snippy_NZ_CP011134.1
97,273,snippy,100x,5,Not_App,Not_App,9,2.4318466016914897e-05,825875.9154761905,825896.0,0.8950289497366293,5488015,6131662,0.6190424566235019,0.6783651264394039,382580,419242.537076954,618019,snippy_NZ_CP011134.1
98,274,snippy,100x,5,Not_App,Not_App,10,2.500770604918489e-05,483219.91547619045,483232.0,0.8856574536090239,4985465,5629112,0.5221886476084426,0.6190093954231546,322640,382461.7640655457,617861,snippy_NZ_CP011134.1
99,275,snippy,100x,5,Not_App,Not_App,0,0.0003032489711769504,1451489.703721279,1451930.0,0.8991045621850531,6245370,6946211,0.7513023507815721,0.7763065904359123,464534,479994.2463994768,618305,snippy_NZ_CP015228.1
100,276,snippy,100x,5,Not_App,Not_App,1,0.00029889383439773987,1450905.203721279,1451339.0,0.8990964855006476,6244814,6945655,0.75106460403846,0.7761767639601368,464387,479913.9740403724,618305,snippy_NZ_CP015228.1
101,277,snippy,100x,5,Not_App,Not_App,2,0.0002638538943983137,1447437.9870546125,1447820.0,0.899040988718116,6240996,6941837,0.7497650828153833,0.7753780897270095,463582,479418.59901247924,618303,snippy_NZ_CP015228.1
102,278,snippy,100x,5,Not_App,Not_App,3,0.0002352615930241164,1441403.8132450888,1441743.0,0.8989383378232579,6233945,6934786,0.7474514839859551,0.7739506482143509,462150,478534.4597415814,618301,snippy_NZ_CP015228.1
103,279,snippy,100x,5,Not_App,Not_App,4,0.0002057761869908025,1433641.929911755,1433937.0,0.8987943104588835,6224076,6924917,0.7442251644061163,0.7720732968793615,460144,477362.11043435294,618286,snippy_NZ_CP015228.1
104,280,snippy,100x,5,Not_App,Not_App,5,0.00017727761188601754,1423898.529911755,1424151.0,0.8986032723416384,6211029,6911870,0.7402279590275429,0.7696900567582582,457660,475875.5017018714,618269,snippy_NZ_CP015228.1
105,281,snippy,100x,5,Not_App,Not_App,6,0.00015932146110131384,1410048.3132450883,1410273.0,0.8983128877972738,6191291,6892132,0.7350984486632236,0.7663993145058019,454468,473819.47859938146,618241,snippy_NZ_CP015228.1
106,282,snippy,100x,5,Not_App,Not_App,7,0.00014302431870494292,1384671.929911755,1384870.0,0.8977251898861267,6151687,6852528,0.7261081895136309,0.7605083067630295,448875,470140.9116827575,618193,snippy_NZ_CP015228.1
107,283,snippy,100x,5,Not_App,Not_App,8,0.00013958639135569498,1301160.3503663004,1301342.0,0.8958196512957118,6026349,6727190,0.7027824961578905,0.7444673880001788,434425,460192.5158923105,618150,snippy_NZ_CP015228.1
108,284,snippy,100x,5,Not_App,Not_App,9,0.00013966656426855906,1220233.5503663004,1220404.0,0.8939572964021277,5908204,6609045,0.6817728060368469,0.7290866118741269,421384,450627.2912876535,618071,snippy_NZ_CP015228.1
109,285,snippy,100x,5,Not_App,Not_App,10,0.0001337690318504725,1107728.8003663006,1107877.0,0.8910695634333462,5732999,6433840,0.6610947930574099,0.7067287457818846,408507,436705.3602372711,617925,snippy_NZ_CP015228.1
