tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.9984837507454036,PRG,Pandora illumina with denovo / PRG
pandora,CFT073,0.9985879263545716,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1A,0.9984538175297129,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1D,0.9986855837250416,PRG,Pandora illumina with denovo / PRG
pandora,MINF_7C,0.9986335317368574,PRG,Pandora illumina with denovo / PRG
pandora,MINF_8D,0.9985275100828256,PRG,Pandora illumina with denovo / PRG
pandora,MINF_9A,0.9987215502984506,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_1A,0.9987329053711768,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_3B,0.998333578640516,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4E,0.9985095907859308,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4I,0.9980573289315988,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_6C,0.9983948184060272,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7A,0.9985652689731752,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7C,0.9984795336163428,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8B,0.9984351466857446,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8G,0.9986659350243554,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_9D,0.9981146461616944,PRG,Pandora illumina with denovo / PRG
pandora,MSB2_1A,0.9986348737733272,PRG,Pandora illumina with denovo / PRG
pandora,H131800734,0.9986625472030164,PRG,Pandora illumina with denovo / PRG
pandora,ST38,0.9983497779082556,PRG,Pandora illumina with denovo / PRG
samtools,063_STEC,0.9907297770218262,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,CFT073,0.9930576761666172,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1A,0.9920406982137888,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1D,0.9920879788155514,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_7C,0.991507403213412,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_8D,0.9899829200813244,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_9A,0.9886591964923594,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_1A,0.9902717216698778,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_3B,0.9915704876903972,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4E,0.9810858899903964,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4I,0.9822657584168194,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_6C,0.9788389017834168,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7A,0.9912972021892696,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7C,0.9844760686770356,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8B,0.9827934156625028,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8G,0.9823135180111549,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_9D,0.9707252559279588,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB2_1A,0.9885081864791252,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,H131800734,0.9949574866031788,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,ST38,0.9928100505454608,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,063_STEC,0.9885341392164289,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,CFT073,0.982825664003364,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_1A,0.9906496612352008,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_1D,0.9827094009627976,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_7C,0.9898631648157498,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_8D,0.9881980523238548,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_9A,0.9898262753388052,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_1A,0.99062825431624,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_3B,0.9909979059924836,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_4E,0.863398602080746,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_4I,0.9740838998308704,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_6C,0.9715234633619708,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_7A,0.9915248663795716,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_7C,0.9810295245299708,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
