tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.9987229710525366,PRG,Pandora illumina with denovo / PRG
pandora,CFT073,0.9988227719329356,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1A,0.998591082997576,PRG,Pandora illumina with denovo / PRG
pandora,MINF_1D,0.9988757991182822,PRG,Pandora illumina with denovo / PRG
pandora,MINF_7C,0.9988432608289008,PRG,Pandora illumina with denovo / PRG
pandora,MINF_8D,0.9987778824062628,PRG,Pandora illumina with denovo / PRG
pandora,MINF_9A,0.9989965954353148,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_1A,0.998966085361638,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_3B,0.9985105728483384,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4E,0.9987614365060128,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_4I,0.998558270040254,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_6C,0.9987870831474434,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7A,0.9987420808512292,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_7C,0.9987678109344624,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8B,0.998898480955966,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_8G,0.9990366015796456,PRG,Pandora illumina with denovo / PRG
pandora,MSB1_9D,0.9987461926862344,PRG,Pandora illumina with denovo / PRG
pandora,MSB2_1A,0.9989246964547082,PRG,Pandora illumina with denovo / PRG
pandora,H131800734,0.9988930873755792,PRG,Pandora illumina with denovo / PRG
pandora,ST38,0.9985271105830922,PRG,Pandora illumina with denovo / PRG
samtools,063_STEC,0.9935613407487311,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,CFT073,0.9936911294565596,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1A,0.9932674388300308,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_1D,0.99444933541893,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_7C,0.9935424810411978,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_8D,0.993126181130744,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MINF_9A,0.9918304808671704,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_1A,0.9927917814104879,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_3B,0.9934435154411874,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4E,0.9879347964513162,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_4I,0.9920060554094996,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_6C,0.9937776599355452,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7A,0.9927668979073648,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_7C,0.9924500497149662,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8B,0.9925559537440192,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_8G,0.9926750707875708,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB1_9D,0.99295003686895,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,MSB2_1A,0.991800749513649,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,H131800734,0.9960084748166792,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,ST38,0.9960548404528116,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
samtools,063_STEC,0.9926566206020128,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,CFT073,0.9858585481865556,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_1A,0.9923095630527852,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_1D,0.9883256277287478,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_7C,0.9922926050280796,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_8D,0.9913074548189096,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MINF_9A,0.9925963651281322,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_1A,0.9920973363200508,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_3B,0.9928746734750288,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_4E,0.8931644904759168,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_4I,0.9875265171288704,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_6C,0.9934198850321826,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_7A,0.9928408715505028,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_7C,0.9916297847702984,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_8B,0.991958335928129,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_8G,0.9923009067393798,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB1_9D,0.9921910943455792,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,MSB2_1A,0.9892413861268812,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,H131800734,0.9943382106167308,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,ST38,0.9944993474400392,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
samtools,063_STEC,0.9950542675338544,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,CFT073,0.9925275239532976,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_1A,0.994008937010818,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_1D,0.9941286966053188,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_7C,0.9945796382444364,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_8D,0.99494714385214,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MINF_9A,0.9927974556942206,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_1A,0.9950023549515704,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_3B,0.9937636082080612,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_4E,0.9947284617829476,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_4I,0.9929254330341472,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_6C,0.9927256337582272,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_7A,0.9937949902452324,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_7C,0.9941271343888096,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_8B,0.992923855564504,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_8G,0.9947899741144044,C4 (CP010121.1),Samtools / C4 (CP010121.1)
samtools,MSB1_9D,0.9947847429197884,C4 (CP010121.1),Samtools / C4 (CP010121.1)
