tool,sample,precision,ref,tool_and_ref
pandora,063_STEC,0.9983777202679024,PRG,Pandora nanopore with denovo / PRG
pandora,CFT073,0.997926371317962,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_1A,0.9975671892614664,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_1D,0.9984417271621993,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_7C,0.9979859111222102,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_8D,0.9974702193401118,PRG,Pandora nanopore with denovo / PRG
pandora,MINF_9A,0.9982957219112044,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_1A,0.9979983905095896,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_3B,0.9975307338613704,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_4E,0.9980686871910682,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_4I,0.9972302228923544,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_6C,0.9981283744277596,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_7A,0.9980558131295532,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_7C,0.997601941278042,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_8B,0.997940868611588,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_8G,0.9978641390599574,PRG,Pandora nanopore with denovo / PRG
pandora,MSB1_9D,0.9984269625760538,PRG,Pandora nanopore with denovo / PRG
pandora,MSB2_1A,0.9984985974453296,PRG,Pandora nanopore with denovo / PRG
pandora,H131800734,0.9985984595175152,PRG,Pandora nanopore with denovo / PRG
pandora,ST38,0.9974152304360084,PRG,Pandora nanopore with denovo / PRG
medaka,063_STEC,0.8300059581620948,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,CFT073,0.8819682433093139,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_1A,0.8342922275804194,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_1D,0.8611553093004432,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_7C,0.8106883787188126,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_8D,0.7865793073380466,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MINF_9A,0.8152056538035937,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
medaka,MSB1_1A,0.8194051956218104,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
