tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
pandora_illumina_withdenovo,pandora with denovo,2,37398.0,0.5903300658237439,0.774533945794068
snippy_NC_011993.1,snippy,2,19444.0,0.30692491041972497,0.3492920395889568
snippy_NC_022648.1,snippy,2,21225.0,0.33503812094521,0.4135057063029786
snippy_CP010121.1,snippy,2,18913.0,0.29854303799466464,0.355669208063014
snippy_NZ_LM995446.1,snippy,2,15119.0,0.23865448059225586,0.27854335369607425
snippy_NZ_LT632320.1,snippy,2,21022.000000000004,0.3318337516377011,0.4081466748749033
snippy_NZ_CP018109.1,snippy,2,17361.0,0.27404460860917745,0.3370586099666935
snippy_NC_017646.1,snippy,2,21978.0,0.3469242790169058,0.4188015974491326
snippy_CP018206.1,snippy,2,18711.0,0.29535445375763597,0.3628908778077694
snippy_NZ_CP011134.1,snippy,2,18520.0,0.29233950529589114,0.36677400514593295
snippy_NZ_CP008697.1,snippy,2,21286.0,0.33600101024451073,0.41240864390459503
snippy_CP010230.1,snippy,2,16062.000000000002,0.2535398020552162,0.29500718220706856
snippy_NC_010498.1,snippy,2,21194.0,0.3345487837603195,0.40419251471957823
snippy_NZ_CP015228.1,snippy,2,18988.0,0.2997269182806901,0.3752111253176745
snippy_NZ_CP009859.1,snippy,2,21994.000000000004,0.3471768401445913,0.4306956480560686
snippy_NZ_HG941718.1,snippy,2,21301.0,0.33623778630171586,0.4112405486890499
snippy_CU928163.2,snippy,2,21357.0,0.33712175024861485,0.4058657321904942
snippy_NC_011742.1,snippy,2,22638.0,0.35734242553393003,0.4343419993370271
snippy_CP010171.1,snippy,2,17106.0,0.2700194156366908,0.31563037678963235
snippy_NC_007779.1,snippy,2,15476.000000000005,0.2442897507537372,0.28640431879528344
snippy_NZ_CP016007.1,snippy,2,21688.0,0.3423466085776073,0.3947530425723351
snippy_NZ_CP013483.1,snippy,2,16578.000000000004,0.2616848984230715,0.3216918438540828
snippy_CP010116.1,snippy,2,17217.0,0.2717715584600085,0.3324020141749933
snippy_CP010226.1,snippy,2,15407.000000000002,0.2432005808905937,0.2828763555429275
snippy_CP010170.1,snippy,2,16479.0,0.2601221764455178,0.2994112168710833
samtools_NC_011993.1,samtools,2,20845.0,0.3290397941626809,0.3636327761203454
samtools_NC_022648.1,samtools,2,23869.0,0.37677384729522817,0.43902227273444777
samtools_CP010121.1,samtools,2,21180.000000000004,0.3343277927735948,0.3778945872993323
samtools_NZ_LM995446.1,samtools,2,16320.999999999995,0.2576281353096241,0.2918580606462408
samtools_NZ_LT632320.1,samtools,2,23739.0,0.374721788132784,0.4341367934207826
samtools_NZ_CP018109.1,samtools,2,19494.0,0.307714163943742,0.3609098514624868
samtools_NC_017646.1,samtools,2,24126.0,0.3808306104086755,0.4398983441461066
samtools_CP018206.1,samtools,2,21653.0,0.34179413111079543,0.39331660115862416
samtools_NZ_CP011134.1,samtools,2,21273.0,0.33579580432826633,0.3942952755284052
samtools_NZ_CP008697.1,samtools,2,23692.0,0.37397988982020797,0.43603100187842336
samtools_CP010230.1,samtools,2,17549.0,0.2770122018594813,0.3106975422645262
samtools_NC_010498.1,samtools,2,23444.0,0.3700651923410838,0.42716768480371264
samtools_NZ_CP015228.1,samtools,2,21919.0,0.34599295985856576,0.4040504490852552
samtools_NZ_CP009859.1,samtools,2,25129.0,0.39666303610045617,0.4616817414089754
samtools_NZ_HG941718.1,samtools,2,23973.0,0.3784154946251835,0.4370175687834446
samtools_CU928163.2,samtools,2,23773.0,0.3752584805291156,0.42850152325930135
samtools_NC_011742.1,samtools,2,25465.000000000004,0.4019668197818504,0.4617527742261369
samtools_CP010171.1,samtools,2,18642.0,0.2942652838944926,0.3327887484017616
samtools_NC_007779.1,samtools,2,16793.0,0.2650786885763445,0.3010449716657985
samtools_NZ_CP016007.1,samtools,2,23270.000000000004,0.3673185900775047,0.41030922953070986
samtools_NZ_CP013483.1,samtools,2,18346.0,0.28959290303231205,0.3406733911066913
samtools_CP010116.1,samtools,2,19550.0,0.308598127890641,0.3557007782039747
samtools_CP010226.1,samtools,2,16813.0,0.2653943899859513,0.29911919306719703
samtools_CP010170.1,samtools,2,17870.0,0.2820792094836703,0.31477798298369397
pandora_illumina_withdenovo,pandora with denovo,3,29212.0,0.6856150397821954,0.8162195570367996
snippy_NC_011993.1,snippy,3,15332.0,0.35984697350200673,0.3977046025300993
snippy_NC_022648.1,snippy,3,19271.0,0.4522965709859882,0.5181777642171559
snippy_CP010121.1,snippy,3,13912.0,0.32651911657708826,0.3766595473357143
snippy_NZ_LM995446.1,snippy,3,12797.0,0.3003497077944939,0.3376675194216797
snippy_NZ_LT632320.1,snippy,3,19224.000000000004,0.4511934658624171,0.5152048567919272
snippy_NZ_CP018109.1,snippy,3,13376.000000000002,0.3139390241040205,0.3712379030049655
snippy_NC_017646.1,snippy,3,16341.000000000002,0.3835285281761213,0.4472426283631084
snippy_CP018206.1,snippy,3,14150.0,0.33210505316027883,0.38964645871960346
snippy_NZ_CP011134.1,snippy,3,14272.999999999998,0.3349919027389865,0.4001689863167867
snippy_NZ_CP008697.1,snippy,3,16099.0,0.3778487103058183,0.4416645152205096
snippy_CP010230.1,snippy,3,13206.0,0.3099490694017415,0.3476736999397523
snippy_NC_010498.1,snippy,3,18913.0,0.4438941957894243,0.5030628769920532
snippy_NZ_CP015228.1,snippy,3,14549.000000000002,0.34146971154974537,0.4038538268359584
snippy_NZ_CP009859.1,snippy,3,16780.0,0.39383199943671227,0.4619428732367976
snippy_NZ_HG941718.1,snippy,3,19438.0,0.4562161147229328,0.5185063487220499
snippy_CU928163.2,snippy,3,17615.0,0.4134297181214354,0.4723089320221253
snippy_NC_011742.1,snippy,3,17213.0,0.4039946487666346,0.4693360245969104
snippy_CP010171.1,snippy,3,13799.999999999995,0.3238904405379397,0.3610987239968279
snippy_NC_007779.1,snippy,3,13046.0,0.30619381791724365,0.3442705032819214
snippy_NZ_CP016007.1,snippy,3,19559.0,0.4590560236580843,0.5068728925606993
snippy_NZ_CP013483.1,snippy,3,13802.000000000005,0.3239373811814961,0.3811893194388854
snippy_CP010116.1,snippy,3,12885.0,0.3024150961109677,0.3570227114480233
snippy_CP010226.1,snippy,3,12464.0,0.2925340906423827,0.32813856877976794
snippy_CP010170.1,snippy,3,13233.0,0.3105827680897505,0.34561613506386824
samtools_NC_011993.1,samtools,3,16359.0,0.3839509939681273,0.4132419555472112
samtools_NC_022648.1,samtools,3,21019.000000000004,0.4933226934541273,0.5418593188912736
samtools_CP010121.1,samtools,3,15325.0,0.35968268124955993,0.39668755525304383
samtools_NZ_LM995446.1,samtools,3,13711.0,0.3218015818996878,0.35154630303313955
samtools_NZ_LT632320.1,samtools,3,21095.0,0.4951064379092637,0.5405449808716979
samtools_NZ_CP018109.1,samtools,3,14788.999999999998,0.3471025887764921,0.3916257891895577
samtools_NC_017646.1,samtools,3,17977.0,0.42192597460511183,0.4694533762057941
samtools_CP018206.1,samtools,3,15997.999999999995,0.3754782078062289,0.4155655174032436
samtools_NZ_CP011134.1,samtools,3,16101.0,0.3778956509493745,0.4246798256937397
samtools_NZ_CP008697.1,samtools,3,17716.0,0.4158002206210247,0.4632180940534089
samtools_CP010230.1,samtools,3,14203.999999999998,0.3333724505362968,0.36259300115003823
samtools_NC_010498.1,samtools,3,20633.0,0.4842631492477762,0.5269947817651367
samtools_NZ_CP015228.1,samtools,3,16223.0,0.38075903020630414,0.4263931591835452
samtools_NZ_CP009859.1,samtools,3,18853.0,0.4424859764827376,0.4896143826131901
samtools_NZ_HG941718.1,samtools,3,21243.0,0.4985800455324242,0.5432597147573662
samtools_CU928163.2,samtools,3,19421.000000000004,0.455817119252705,0.4962721305575853
samtools_NC_011742.1,samtools,3,18969.0,0.4452085338089985,0.492767229172061
samtools_CP010171.1,samtools,3,14840.0,0.3482995751871758,0.3772932460237279
samtools_NC_007779.1,samtools,3,14007.0,0.32874879714600885,0.3588690434279105
samtools_NZ_CP016007.1,samtools,3,20788.0,0.4879010491233835,0.5257195609485208
samtools_NZ_CP013483.1,samtools,3,15091.0,0.35419062595348183,0.398752943569512
samtools_CP010116.1,samtools,3,14414.0,0.33830121810970026,0.37832594018196
samtools_CP010226.1,samtools,3,13482.000000000002,0.3164268782125003,0.3441218579106641
samtools_CP010170.1,samtools,3,14314.999999999998,0.3359776562536672,0.3620923009521061
pandora_illumina_withdenovo,pandora with denovo,4,21993.0,0.7353550889394143,0.8346846997458874
snippy_NC_011993.1,snippy,4,11968.0,0.4001604921760064,0.4375668717400027
snippy_NC_022648.1,snippy,4,12987.0,0.4342316437073693,0.5030259462351211
snippy_CP010121.1,snippy,4,11667.000000000002,0.3900962953056039,0.4432342517052293
snippy_NZ_LM995446.1,snippy,4,9646.0,0.3225224020329009,0.3589424234318577
snippy_NZ_LT632320.1,snippy,4,13006.0,0.4348669252373947,0.4983031295974321
snippy_NZ_CP018109.1,snippy,4,10274.0,0.3435201283937408,0.3988899291159556
snippy_NC_017646.1,snippy,4,13825.0,0.46225090276849,0.5234301859034373
snippy_CP018206.1,snippy,4,11928.0,0.3988230573759529,0.4626604921760064
snippy_NZ_CP011134.1,snippy,4,10994.0,0.36759395479470375,0.4306874414872275
snippy_NZ_CP008697.1,snippy,4,12232.0,0.4089875618563595,0.4707854085863314
snippy_CP010230.1,snippy,4,11097.0,0.3710378494048415,0.4131168918015247
snippy_NC_010498.1,snippy,4,12442.000000000002,0.4160090945566404,0.4708104854888324
snippy_NZ_CP015228.1,snippy,4,11667.000000000002,0.3900962953056039,0.450874348000535
snippy_NZ_CP009859.1,snippy,4,13440.000000000002,0.4493780928179752,0.5158569613481343
snippy_NZ_HG941718.1,snippy,4,13181.0,0.4407182024876287,0.5012956399625518
snippy_CU928163.2,snippy,4,12994.0,0.4344656947973786,0.4917998528821721
snippy_NC_011742.1,snippy,4,13936.0,0.4659622843386385,0.5244583389059784
snippy_CP010171.1,snippy,4,11307.000000000002,0.3780593821051224,0.4152818643841113
snippy_NC_007779.1,snippy,4,9832.000000000002,0.3287414738531497,0.3655460077571218
snippy_NZ_CP016007.1,snippy,4,13228.999999999998,0.4423231242476929,0.4854553965494182
snippy_NZ_CP013483.1,snippy,4,9968.0,0.33328875217333154,0.385799786010432
snippy_CP010116.1,snippy,4,10759.0,0.35973652534438944,0.4214089875618564
snippy_CP010226.1,snippy,4,9021.0,0.301624983282065,0.33600541661094024
snippy_CP010170.1,snippy,4,9721.999999999998,0.3250635281530025,0.36034672997191386
samtools_NC_011993.1,samtools,4,12714.0,0.42510365119700416,0.4522786545405911
samtools_NC_022648.1,samtools,4,14551.0,0.486525344389461,0.5282115153136284
samtools_CP010121.1,samtools,4,12884.0,0.4307877490972315,0.46457469573358295
samtools_NZ_LM995446.1,samtools,4,10381.0,0.3470977664838839,0.3731025143774241
samtools_NZ_LT632320.1,samtools,4,14502.999999999998,0.4849204226293968,0.5241992109134679
samtools_NZ_CP018109.1,samtools,4,11385.0,0.3806673799652267,0.4200966296643039
samtools_NC_017646.1,samtools,4,15002.0,0.5016049217600642,0.5439096562792564
samtools_CP018206.1,samtools,4,13365.0,0.4468704025678748,0.4875869332620035
samtools_NZ_CP011134.1,samtools,4,12407.0,0.4148388391065935,0.4554634211582185
samtools_NZ_CP008697.1,samtools,4,13391.0,0.4477397351879096,0.4929450314297178
samtools_CP010230.1,samtools,4,12004.0,0.40136418349605457,0.4312725692122509
samtools_NC_010498.1,samtools,4,13580.000000000002,0.4540591146181624,0.4920088270696804
samtools_NZ_CP015228.1,samtools,4,13040.0,0.43600374481744014,0.4777651464491106
samtools_NZ_CP009859.1,samtools,4,14941.0,0.4995653336899826,0.5430904774642236
samtools_NZ_HG941718.1,samtools,4,14655.0,0.4900026748696001,0.5269409522535776
samtools_CU928163.2,samtools,4,14326.0,0.4790022736391601,0.5140263474655611
samtools_NC_011742.1,samtools,4,15173.0,0.5073224555302929,0.5465761669118631
samtools_CP010171.1,samtools,4,12093.0,0.4043399759261736,0.4316821586197673
samtools_NC_007779.1,samtools,4,10590.0,0.3540858633141634,0.3802410726227096
samtools_NZ_CP016007.1,samtools,4,14067.000000000002,0.4703423833088137,0.5025160492176006
samtools_NZ_CP013483.1,samtools,4,10923.0,0.3652200080246088,0.40420623244616827
samtools_CP010116.1,samtools,4,12101.0,0.4046074628861843,0.4441453791627658
samtools_CP010226.1,samtools,4,9770.000000000002,0.3266684499130668,0.3529072488966163
samtools_CP010170.1,samtools,4,10627.0,0.3553229905042129,0.3784606125451384
pandora_illumina_withdenovo,pandora with denovo,5,18684.0,0.7679092515720686,0.83172084994449
snippy_NC_011993.1,snippy,5,9012.0,0.3703916813941063,0.4037565245982493
snippy_NC_022648.1,snippy,5,10800.0,0.4438781800994616,0.4986149356787552
snippy_CP010121.1,snippy,5,10156.000000000002,0.4174098886194567,0.4625457235625309
snippy_NZ_LM995446.1,snippy,5,8054.0,0.33101804282602443,0.36943816530352347
snippy_NZ_LT632320.1,snippy,5,10766.0,0.4424807858287781,0.4949734906086792
snippy_NZ_CP018109.1,snippy,5,8683.0,0.35686983683366896,0.4123299494472068
snippy_NC_017646.1,snippy,5,11317.0,0.4651267929801488,0.5187127532777063
snippy_CP018206.1,snippy,5,9975.0,0.4099708191196416,0.474070116312514
snippy_NZ_CP011134.1,snippy,5,9233.0,0.379474744153549,0.4375159261846985
snippy_NZ_CP008697.1,snippy,5,10618.0,0.4363980107681559,0.4925650404833301
snippy_CP010230.1,snippy,5,9431.999999999998,0.3876536106201964,0.425744934445764
snippy_NC_010498.1,snippy,5,10854.0,0.4460975709999589,0.4932472976860751
