tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
pandora_nanopore_withdenovo,pandora with denovo,2,31061.0,0.4903000741898312,0.6717257817556156
medaka_NC_011993.1,medaka,2,22572.0,0.3563006108822276,0.3943347382046061
medaka_NC_022648.1,medaka,2,25632.0,0.40460292655206703,0.4701346466511973
medaka_CP010121.1,medaka,2,23018.000000000004,0.3633407523164591,0.4105460055879149
medaka_NZ_LM995446.1,medaka,2,17545.0,0.27694906157755994,0.3145412069264889
medaka_NZ_LT632320.1,medaka,2,25563.000000000004,0.4035137566889237,0.4642547078972708
medaka_NZ_CP018109.1,medaka,2,21532.0,0.33988413758267433,0.39777588356932014
medaka_NC_017646.1,medaka,2,25732.0,0.406181433600101,0.4712948493315023
medaka_CP018206.1,medaka,2,23522.0,0.3712964278385503,0.43162696721440863
medaka_NZ_CP011134.1,medaka,2,22851.0,0.3607046455462424,0.4257075657842812
medaka_NZ_CP008697.1,medaka,2,25471.0,0.4020615302047323,0.4689981215766129
medaka_CP010230.1,medaka,2,19612.0,0.3095768022604221,0.34986030212624897
medaka_NC_010498.1,medaka,2,24944.0,0.39374279806159335,0.4571514261811179
medaka_NZ_CP015228.1,medaka,2,23822.0,0.3760319489826522,0.4412321826016953
medaka_NZ_CP009859.1,medaka,2,27239.0,0.4299695348139729,0.4985083108396079
medaka_NZ_HG941718.1,medaka,2,25673.0,0.40525011444176096,0.4677905636848669
medaka_CU928163.2,medaka,2,25725.999999999996,0.4060867231772189,0.4603479029533867
medaka_NC_011742.1,medaka,2,27539.000000000004,0.4347050559580749,0.4939701030765102
medaka_CP010171.1,medaka,2,20375.0,0.3216208110369213,0.3640826506290351
medaka_NC_007779.1,medaka,2,18089.0,0.28553613991886473,0.3238307209041688
medaka_NZ_CP016007.1,medaka,2,25142.0,0.3968682420167006,0.4410269766854509
medaka_NZ_CP013483.1,medaka,2,19995.0,0.3156224842543922,0.3707676279774589
medaka_CP010116.1,medaka,2,21521.0,0.3397105018073906,0.3925115625641269
medaka_CP010226.1,medaka,2,18303.0,0.2889141450016574,0.3283689286672665
medaka_CP010170.1,medaka,2,19407.0,0.30634086281195244,0.3425281368881312
nanopolish_NC_011993.1,nanopolish,2,20439.0,0.322631055547663,0.3608940663920064
nanopolish_NC_022648.1,nanopolish,2,22788.000000000004,0.35971018610598104,0.4297722214329687
nanopolish_CP010121.1,nanopolish,2,20461.0,0.3229783270982305,0.37314328108475
nanopolish_NZ_LM995446.1,nanopolish,2,15977.0,0.2521980710643873,0.2892850941579454
nanopolish_NZ_LT632320.1,nanopolish,2,23022.000000000004,0.3634038925983805,0.4286593739641048
nanopolish_NZ_CP018109.1,nanopolish,2,18728.0,0.2956227999558018,0.35464317848179194
nanopolish_NC_017646.1,nanopolish,2,22923.0,0.3618411706208268,0.4299300721377721
nanopolish_CP018206.1,nanopolish,2,20581.000000000004,0.3248725355558713,0.3852188600022099
nanopolish_NZ_CP011134.1,nanopolish,2,20259.0,0.3197897428612019,0.3864895581758773
nanopolish_NZ_CP008697.1,nanopolish,2,22895.0,0.3613991886473773,0.4298353617148901
nanopolish_CP010230.1,nanopolish,2,17551.0,0.277043772000442,0.3137519534024719
nanopolish_NC_010498.1,nanopolish,2,22374.0,0.3531751669271203,0.418446433363325
nanopolish_NZ_CP015228.1,nanopolish,2,21126.0,0.3334753989676564,0.3982573282189705
nanopolish_NZ_CP009859.1,nanopolish,2,23945.0,0.37797351265173396,0.4507111174251393
nanopolish_NZ_HG941718.1,nanopolish,2,23090.0,0.3644772773910436,0.4298669318558507
nanopolish_CU928163.2,nanopolish,2,22970.0,0.3625830689334028,0.4231977395779072
nanopolish_NC_011742.1,nanopolish,2,24572.00000000001,0.3878707518429071,0.4536866032106833
nanopolish_CP010171.1,nanopolish,2,18158.0,0.2866253097820082,0.3289924389512399
nanopolish_NC_007779.1,nanopolish,2,16391.0,0.2587330902432479,0.29754068601916306
nanopolish_NZ_CP016007.1,nanopolish,2,22868.0,0.3609729917444081,0.4074363467032879
nanopolish_NZ_CP013483.1,nanopolish,2,17920.0,0.2828684630076873,0.337082287572414
nanopolish_CP010116.1,nanopolish,2,18962.0,0.2993165064482013,0.3516834777667282
nanopolish_CP010226.1,nanopolish,2,16311.999999999998,0.2574860696753011,0.2953386686871557
nanopolish_CP010170.1,nanopolish,2,17434.0,0.27519691875424224,0.3128679894555729
pandora_nanopore_withdenovo,pandora with denovo,3,25184.000000000004,0.5910765836599621,0.7472559282121918
medaka_NC_011993.1,medaka,3,17914.0,0.4204473443330908,0.4481579709124521
medaka_NC_022648.1,medaka,3,22636.0,0.5312742037693337,0.5742561863856606
medaka_CP010121.1,medaka,3,17281.0,0.4055906306475462,0.4400372395772213
