NUMBER_OF_SAMPLES	total_nb_of_PanVar	nb_of_found_PanVar	cumulative_nb_of_found_PanVar	type
2	63351	19445	19445	snippy
2	63351	21229	21229	snippy
2	63351	18914	18914	snippy
2	63351	15115	15115	snippy
2	63351	21026	21026	snippy
2	63351	17363	17363	snippy
2	63351	21978	21978	snippy
2	63351	18709	18709	snippy
2	63351	18522	18522	snippy
2	63351	21292	21292	snippy
2	63351	16061	16061	snippy
2	63351	21202	21202	snippy
2	63351	18991	18991	snippy
2	63351	22000	22000	snippy
2	63351	21301	21301	snippy
2	63351	21356	21356	snippy
2	63351	22640	22640	snippy
2	63351	17106	17106	snippy
2	63351	15474	15474	snippy
2	63351	21691	21691	snippy
2	63351	16578	16578	snippy
2	63351	17217	17217	snippy
2	63351	15409	15409	snippy
2	63351	16480	16480	snippy
3	42607	15333	34778	snippy
3	42607	19275	40504	snippy
3	42607	13911	32825	snippy
3	42607	12797	27912	snippy
3	42607	19225	40251	snippy
3	42607	13374	30737	snippy
3	42607	16346	38324	snippy
3	42607	14150	32859	snippy
3	42607	14273	32795	snippy
3	42607	16102	37394	snippy
3	42607	13207	29268	snippy
3	42607	18913	40115	snippy
3	42607	14551	33542	snippy
3	42607	16781	38781	snippy
3	42607	19442	40743	snippy
3	42607	17620	38976	snippy
3	42607	17215	39855	snippy
3	42607	13800	30906	snippy
3	42607	13047	28521	snippy
3	42607	19559	41250	snippy
3	42607	13801	30379	snippy
3	42607	12885	30102	snippy
3	42607	12463	27872	snippy
3	42607	13234	29714	snippy
4	29908	11969	46747	snippy
4	29908	12988	53492	snippy
4	29908	11667	44492	snippy
4	29908	9647	37559	snippy
4	29908	13004	53255	snippy
4	29908	10274	41011	snippy
4	29908	13825	52149	snippy
4	29908	11929	44788	snippy
4	29908	10996	43791	snippy
4	29908	12232	49626	snippy
4	29908	11098	40366	snippy
4	29908	12442	52557	snippy
4	29908	11668	45210	snippy
4	29908	13441	52222	snippy
4	29908	13182	53925	snippy
4	29908	12995	51971	snippy
4	29908	13937	53792	snippy
4	29908	11307	42213	snippy
4	29908	9833	38354	snippy
4	29908	13229	54479	snippy
4	29908	9967	40346	snippy
4	29908	10759	40861	snippy
4	29908	9023	36895	snippy
4	29908	9722	39436	snippy
5	24331	9013	55760	snippy
5	24331	10803	64295	snippy
5	24331	10156	54648	snippy
5	24331	8055	45614	snippy
5	24331	10768	64023	snippy
5	24331	8683	49694	snippy
5	24331	11318	63467	snippy
5	24331	9975	54763	snippy
5	24331	9232	53023	snippy
5	24331	10621	60247	snippy
5	24331	9433	49799	snippy
5	24331	10854	63411	snippy
5	24331	9338	54548	snippy
5	24331	11725	63947	snippy
5	24331	10885	64810	snippy
5	24331	10944	62915	snippy
5	24331	10931	64723	snippy
5	24331	9757	51970	snippy
5	24331	8235	46589	snippy
5	24331	10355	64834	snippy
5	24331	8546	48892	snippy
5	24331	9244	50105	snippy
5	24331	8203	45098	snippy
5	24331	8963	48399	snippy
6	35185	23462	79222	snippy
6	35185	24272	88567	snippy
6	35185	24696	79344	snippy
6	35185	23184	68798	snippy
6	35185	24274	88297	snippy
6	35185	23680	73374	snippy
6	35185	26670	90137	snippy
6	35185	25872	80635	snippy
6	35185	24964	77987	snippy
6	35185	25718	85965	snippy
6	35185	24082	73881	snippy
6	35185	24992	88403	snippy
6	35185	24903	79451	snippy
6	35185	25827	89774	snippy
6	35185	24429	89239	snippy
6	35185	25955	88870	snippy
6	35185	25317	90040	snippy
6	35185	23683	75653	snippy
6	35185	23344	69933	snippy
6	35185	23823	88657	snippy
6	35185	23862	72754	snippy
6	35185	24576	74681	snippy
6	35185	22563	67661	snippy
6	35185	23594	71993	snippy
7	26555	16605	95827	snippy
7	26555	17849	106416	snippy
7	26555	18863	98207	snippy
7	26555	16877	85675	snippy
7	26555	17803	106100	snippy
7	26555	17401	90775	snippy
7	26555	19933	110070	snippy
7	26555	19695	100330	snippy
7	26555	18294	96281	snippy
7	26555	20937	106902	snippy
7	26555	17501	91382	snippy
7	26555	19855	108258	snippy
7	26555	18426	97877	snippy
7	26555	21224	110998	snippy
7	26555	17996	107235	snippy
7	26555	20006	108876	snippy
7	26555	17878	107918	snippy
7	26555	17170	92823	snippy
7	26555	16944	86877	snippy
7	26555	16945	105602	snippy
7	26555	16982	89736	snippy
7	26555	18797	93478	snippy
7	26555	16673	84334	snippy
7	26555	17004	88997	snippy
8	23363	15460	111287	snippy
8	23363	16921	123337	snippy
8	23363	16371	114578	snippy
8	23363	15355	101030	snippy
8	23363	16902	123002	snippy
8	23363	17032	107807	snippy
8	23363	17169	127239	snippy
8	23363	17658	117988	snippy
8	23363	17585	113866	snippy
8	23363	18752	125654	snippy
8	23363	16797	108179	snippy
8	23363	17712	125970	snippy
8	23363	17800	115677	snippy
8	23363	18608	129606	snippy
8	23363	17023	124258	snippy
8	23363	17305	126181	snippy
8	23363	16788	124706	snippy
8	23363	16183	109006	snippy
8	23363	15546	102423	snippy
8	23363	15640	121242	snippy
8	23363	16175	105911	snippy
8	23363	16581	110059	snippy
8	23363	15075	99409	snippy
8	23363	15537	104534	snippy
9	18619	12017	123304	snippy
9	18619	13324	136661	snippy
9	18619	12029	126607	snippy
9	18619	12068	113098	snippy
9	18619	13370	136372	snippy
9	18619	13215	121022	snippy
9	18619	12604	139843	snippy
9	18619	13151	131139	snippy
9	18619	13787	127653	snippy
9	18619	14238	139892	snippy
9	18619	12491	120670	snippy
9	18619	13369	139339	snippy
9	18619	13433	129110	snippy
9	18619	14179	143785	snippy
9	18619	13436	137694	snippy
9	18619	12507	138688	snippy
9	18619	13356	138062	snippy
9	18619	11914	120920	snippy
9	18619	12169	114592	snippy
9	18619	12251	133493	snippy
9	18619	12559	118470	snippy
9	18619	12517	122576	snippy
9	18619	11619	111028	snippy
9	18619	12091	116625	snippy
10	20625	13986	137290	snippy
10	20625	15220	151881	snippy
10	20625	15950	142557	snippy
10	20625	14206	127304	snippy
10	20625	15081	151453	snippy
10	20625	15522	136544	snippy
10	20625	16263	156106	snippy
10	20625	16661	147800	snippy
10	20625	16285	143938	snippy
10	20625	17380	157272	snippy
10	20625	15180	135850	snippy
10	20625	16954	156293	snippy
10	20625	15971	145081	snippy
10	20625	17291	161076	snippy
10	20625	15409	153103	snippy
10	20625	16391	155079	snippy
10	20625	15618	153680	snippy
10	20625	14450	135370	snippy
10	20625	14321	128913	snippy
10	20625	14007	147500	snippy
10	20625	14788	133258	snippy
10	20625	15928	138504	snippy
10	20625	14028	125056	snippy
10	20625	14132	130757	snippy
11	20128	14505	151795	snippy
11	20128	15675	167556	snippy
11	20128	16302	158859	snippy
11	20128	15361	142665	snippy
11	20128	15720	167173	snippy
11	20128	16153	152697	snippy
11	20128	17274	173380	snippy
11	20128	17163	164963	snippy
11	20128	17256	161194	snippy
11	20128	18237	175509	snippy
11	20128	16000	151850	snippy
11	20128	17452	173745	snippy
11	20128	16753	161834	snippy
11	20128	18212	179288	snippy
11	20128	15871	168974	snippy
11	20128	16981	172060	snippy
11	20128	15742	169422	snippy
11	20128	15387	150757	snippy
11	20128	15528	144441	snippy
11	20128	14546	162046	snippy
11	20128	15808	149066	snippy
11	20128	16557	155061	snippy
11	20128	14845	139901	snippy
11	20128	15354	146111	snippy
12	14427	8830	160625	snippy
12	14427	9659	177215	snippy
12	14427	11245	170104	snippy
12	14427	10069	152734	snippy
12	14427	9497	176670	snippy
12	14427	10922	163619	snippy
12	14427	12625	186005	snippy
12	14427	11924	176887	snippy
12	14427	12233	173427	snippy
12	14427	13183	188692	snippy
12	14427	10887	162737	snippy
12	14427	12394	186139	snippy
12	14427	11498	173332	snippy
12	14427	13097	192385	snippy
12	14427	9772	178746	snippy
12	14427	11958	184018	snippy
12	14427	9849	179271	snippy
12	14427	10388	161145	snippy
12	14427	10318	154759	snippy
12	14427	8888	170934	snippy
12	14427	10715	159781	snippy
12	14427	11583	166644	snippy
12	14427	9881	149782	snippy
12	14427	10465	156576	snippy
13	17128	12225	172850	snippy
13	17128	12401	189616	snippy
13	17128	14306	184410	snippy
13	17128	13804	166538	snippy
13	17128	12363	189033	snippy
13	17128	13817	177436	snippy
13	17128	15608	201613	snippy
13	17128	15164	192051	snippy
13	17128	15478	188905	snippy
13	17128	16020	204712	snippy
13	17128	14491	177228	snippy
13	17128	15441	201580	snippy
