tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
pandora_illumina_withdenovo_global_genotyping,pandora with denovo,2,31227.000000000004,0.4929203958895677,0.6845985067323326
snippy_NC_011993.1,snippy,2,19445.0,0.30694069549020536,0.3492999321241969
snippy_NC_022648.1,snippy,2,21229.0,0.3351012612271313,0.41353727644393934
snippy_CP010121.1,snippy,2,18914.000000000004,0.29855882306514503,0.35568499313349433
snippy_NZ_LM995446.1,snippy,2,15115.0,0.2385913403103345,0.2785117835551136
snippy_NZ_LT632320.1,snippy,2,21026.0,0.3318968919196224,0.40818613755110417
snippy_NZ_CP018109.1,snippy,2,17363.0,0.2740761787501381,0.33707439503717385
snippy_NC_017646.1,snippy,2,21978.0,0.3469242790169058,0.4188015974491326
snippy_CP018206.1,snippy,2,18709.0,0.29532288361667536,0.3628750927372891
snippy_NZ_CP011134.1,snippy,2,18522.0,0.2923710754368518,0.3667897902164133
snippy_NZ_CP008697.1,snippy,2,21292.0,0.3360957206673928,0.412455999116036
snippy_CP010230.1,snippy,2,16060.999999999998,0.2535240169847358,0.2949992896718284
snippy_NC_010498.1,snippy,2,21202.0,0.3346750643241622,0.4042556550014996
snippy_NZ_CP015228.1,snippy,2,18991.0,0.29977427349213115,0.3752348029233951
snippy_NZ_CP009859.1,snippy,2,22000.0,0.3472715505674733,0.4307430032675096
snippy_NZ_HG941718.1,snippy,2,21301.0,0.33623778630171586,0.4112326561538097
snippy_CU928163.2,snippy,2,21356.0,0.3371059651781345,0.4058578396552541
snippy_NC_011742.1,snippy,2,22640.0,0.3573739956748907,0.4343577844075074
snippy_CP010171.1,snippy,2,17106.0,0.2700194156366908,0.31563037678963235
snippy_NC_007779.1,snippy,2,15474.000000000005,0.2442581806127765,0.2863885337248031
snippy_NZ_CP016007.1,snippy,2,21691.0,0.3423939637890483,0.3947767201780556
snippy_NZ_CP013483.1,snippy,2,16578.000000000004,0.2616848984230715,0.3216918438540828
snippy_CP010116.1,snippy,2,17217.0,0.2717715584600085,0.3324020141749933
