tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Medaka,Escherichia_coli_MINF_9A,0.8768787049888664,C1,Medaka / C1 (CP010116.1)
Medaka,Escherichia_coli_MINF_9A,0.9065754336409608,UMN026,Medaka / UMN026 (CU928163.2)
Medaka,H131800734,0.9415875986329741,ECONIH1,Medaka / ECONIH1 (NZ_CP009859.1)
Medaka,ST38,0.8639833847342027,NCTC_13441,Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_7C,0.8797874533460637,S88,Medaka / S88 (NC_011742.1)
Medaka,Escherichia_coli_MSB1_3B,0.8794495888944748,S88,Medaka / S88 (NC_011742.1)
Medaka,Escherichia_coli_MSB1_4I,0.8532923605426658,Y5,Medaka / Y5 (NZ_CP013483.1)
Medaka,ST38,0.8616429492096791,JJ1886,Medaka / JJ1886 (NC_022648.1)
Medaka,Escherichia_coli_MSB1_7C,0.8969843112577033,C1,Medaka / C1 (CP010116.1)
Medaka,063_STEC,0.9092085962214799,C4,Medaka / C4 (CP010121.1)
Medaka,Escherichia_coli_MSB1_8B,0.8452124553565367,EcRV308Chr,Medaka / EcRV308Chr (NZ_LM995446.1)
Medaka,Escherichia_coli_MINF_8D,0.9301661972880132,H7,Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MINF_1A,0.8835302324680107,NGF1,Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MSB1_8G,0.9377892505872504,H7,Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MSB1_7C,0.8731718166825796,NGF1,Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MINF_7C,0.8799770007291006,Y5,Medaka / Y5 (NZ_CP013483.1)
Medaka,Escherichia_coli_MINF_7C,0.8758069009667993,NGF1,Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MSB1_4E,0.9011348238933272,UMN026,Medaka / UMN026 (CU928163.2)
Medaka,Escherichia_coli_MSB1_4I,0.8888715932421734,EC958,Medaka / EC958 (NZ_HG941718.1)
Medaka,Escherichia_coli_MINF_7C,0.9240431295605837,SMS-3-5,Medaka / SMS-3-5 (NC_010498.1)
Medaka,CFT073,0.86109459695751,EcRV308Chr,Medaka / EcRV308Chr (NZ_LM995446.1)
Medaka,Escherichia_coli_MINF_1D,0.8645393700525732,H7,Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MINF_1D,0.914144905188858,ST648,Medaka / ST648 (NZ_CP008697.1)
Medaka,Escherichia_coli_MSB1_1A,0.9016255423871512,EC958,Medaka / EC958 (NZ_HG941718.1)
Pandora nanopore with denovo,063_STEC,0.9619983033773396,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore no denovo,Escherichia_coli_MINF_1A,0.9421607446210688,PRG,Pandora nanopore no denovo / PRG
Medaka,Escherichia_coli_MSB1_4I,0.8586653426550905,H7,Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MSB1_4I,0.8875833657626709,NCTC_13441,Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_1A,0.884424837065697,Y5,Medaka / Y5 (NZ_CP013483.1)
Medaka,063_STEC,0.9508067794213808,JJ1886,Medaka / JJ1886 (NC_022648.1)
Pandora nanopore with denovo,Escherichia_coli_MSB1_4E,0.938091802807378,PRG,Pandora nanopore with denovo / PRG
Medaka,Escherichia_coli_MSB1_8G,0.9576955704938503,Y5,Medaka / Y5 (NZ_CP013483.1)
Medaka,H131800734,0.904433705518882,NGF1,Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MSB1_9D,0.9517303813525508,H7,Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MINF_8D,0.9247542566388668,H6,Medaka / H6 (CP010170.1)
Medaka,Escherichia_coli_MINF_1D,0.9067407963737149,CE10,Medaka / CE10 (NC_017646.1)
Medaka,Escherichia_coli_MINF_7C,0.9071285884493868,09-00049,Medaka / 09-00049 (NZ_CP015228.1)
Medaka,Escherichia_coli_MSB1_1A,0.9287441959999212,CE10,Medaka / CE10 (NC_017646.1)
Medaka,Escherichia_coli_MSB1_7A,0.8535057335711389,NGF1,Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MSB1_8G,0.9387299711904316,UMN026,Medaka / UMN026 (CU928163.2)
Medaka,Escherichia_coli_MINF_1D,0.9246528908591825,LF82,Medaka / LF82 (NC_011993.1)
Medaka,Escherichia_coli_MSB1_8B,0.8411005038091229,S1,Medaka / S1 (CP010226.1)
Medaka,Escherichia_coli_MINF_8D,0.9284386164455384,CE10,Medaka / CE10 (NC_017646.1)
Medaka,ST38,0.9155721151588208,ECONIH1,Medaka / ECONIH1 (NZ_CP009859.1)
Medaka,Escherichia_coli_MSB1_8B,0.8775512975461373,NCTC_13441,Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_9A,0.8788808532398276,EC958,Medaka / EC958 (NZ_HG941718.1)
Medaka,Escherichia_coli_MSB1_7C,0.924667455082024,SMS-3-5,Medaka / SMS-3-5 (NC_010498.1)
Medaka,Escherichia_coli_MINF_8D,0.9048569946969284,C1,Medaka / C1 (CP010116.1)
Medaka,Escherichia_coli_MSB1_7C,0.9254540621473828,ST648,Medaka / ST648 (NZ_CP008697.1)
Medaka,Escherichia_coli_MINF_8D,0.8745025684514516,LF82,Medaka / LF82 (NC_011993.1)
Medaka,063_STEC,0.9395666542954596,LF82,Medaka / LF82 (NC_011993.1)
Medaka,Escherichia_coli_MSB1_7C,0.8812657321413072,EC958,Medaka / EC958 (NZ_HG941718.1)
Pandora nanopore with denovo,Escherichia_coli_MINF_9A,0.9331715381098096,PRG,Pandora nanopore with denovo / PRG
Medaka,Escherichia_coli_MSB1_3B,0.871908599970809,H7,Medaka / H7 (CP010171.1)
Medaka,063_STEC,0.9298331654383826,09-00049,Medaka / 09-00049 (NZ_CP015228.1)
Medaka,Escherichia_coli_MSB1_4E,0.920474480438064,ST648,Medaka / ST648 (NZ_CP008697.1)
Medaka,Escherichia_coli_MSB1_9D,0.9362935690955568,CE10,Medaka / CE10 (NC_017646.1)
Medaka,Escherichia_coli_MSB2_1A,0.9392107939237004,NCTC_13441,Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_1A,0.9373097597305874,UMN026,Medaka / UMN026 (CU928163.2)
Medaka,Escherichia_coli_MINF_9A,0.8679853789065565,LF82,Medaka / LF82 (NC_011993.1)
Pandora nanopore with denovo,Escherichia_coli_MINF_8D,0.9276965875264652,PRG,Pandora nanopore with denovo / PRG
Medaka,Escherichia_coli_MSB1_7A,0.8678853762796849,H7,Medaka / H7 (CP010171.1)
Medaka,ST38,0.8539667381582312,H7,Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MINF_1A,0.9277889379073356,ECONIH1,Medaka / ECONIH1 (NZ_CP009859.1)
Medaka,Escherichia_coli_MINF_8D,0.9482069544440084,MRSN346595,Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MSB1_4I,0.8588773634277587,LF82,Medaka / LF82 (NC_011993.1)
Medaka,Escherichia_coli_MSB1_1A,0.9016368054558304,NCTC_13441,Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_7A,0.9217865102732556,CE10,Medaka / CE10 (NC_017646.1)
