tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Nanopolish,ST38,0.845891322385209,H7,Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.875781751391645,S21,Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.90941677014611,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8910884180298171,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.848485177691169,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_7A,0.8774126183617383,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB2_1A,0.8766891714803904,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9343791384007192,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_8D,0.8628994135393059,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,063_STEC,0.9452353180283832,S88,Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9339227769176282,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.936091920282638,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,063_STEC,0.8623040489192867,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,CFT073,0.8477900176798585,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8280135800646797,S1,Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8982719296109609,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8528456177293191,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9124319926198204,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_7C,0.8850631455602812,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9087668672950836,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8698929379888883,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8680938021111652,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8973707992017788,C4,Nanopolish / C4 (CP010121.1)
Pandora nanopore with denovo,Escherichia_coli_MSB2_1A,0.8874637005042616,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_3B,0.9175410429809341,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9267196594048032,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MINF_1D,0.8504855207800235,H7,Nanopolish / H7 (CP010171.1)
Nanopolish,ST38,0.9258235880416008,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_8D,0.8662256512807878,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8636238949469709,NCTC_13441,Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9263367150697044,H7,Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8384939890064742,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8733296654634264,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,H131800734,0.9393339457183448,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8627411718351344,H6,Nanopolish / H6 (CP010170.1)
Nanopolish,CFT073,0.8555225272483534,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.8816868776089176,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9002039061926678,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8965809260206221,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,ST38,0.8499668633989281,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9240156624483721,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9181034118650796,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_1A,0.894401131658668,NCTC_13441,Nanopolish / NCTC_13441 (NZ_LT632320.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_8B,0.8873314412200057,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MINF_9A,0.8836860090421343,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9471295726918026,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8804067551466797,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,H131800734,0.9053893684636932,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.827659256643898,S1,Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9049104386241552,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8615881976785495,H7,Nanopolish / H7 (CP010171.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_1A,0.9063785573698482,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_4E,0.9085166363638784,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,063_STEC,0.8861583867946203,S21,Nanopolish / S21 (CP010230.1)
Pandora nanopore with denovo,CFT073,0.9048396184259098,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MINF_7C,0.8637471028624608,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,H131800734,0.9343074439011588,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MINF_1D,0.952049422758662,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8593542444756198,H6,Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9211622930510192,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8674604704334129,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MINF_9A,0.920760924559595,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,ST38,0.8930861916913234,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8671288255552724,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.908200278863996,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_1A,0.892592544746378,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8667299778410891,JJ1886,Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8524305788652554,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8388803156157325,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,ST38,0.8521716215017403,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8598242778962235,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9325326678947866,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9476689312827964,S21,Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.981198073754236,JJ1886,Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8684318038544059,H7,Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MINF_1D,0.9219245365785572,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8538811083633033,H7,Nanopolish / H7 (CP010171.1)
Nanopolish,063_STEC,0.909416255765866,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8639215590782542,NCTC_13441,Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,ST38,0.849489383241751,JJ1886,Nanopolish / JJ1886 (NC_022648.1)
Pandora nanopore no denovo,Escherichia_coli_MINF_7C,0.8922383388361658,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_9D,0.9272268495970194,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,CFT073,0.9490975500767422,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8666845372278238,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9282249365379772,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,CFT073,0.8661265567018321,S21,Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9749085177211044,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8831794235637677,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9309856170734996,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Pandora nanopore with denovo,Escherichia_coli_MSB1_4I,0.8722856644435797,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_6C,0.8591786810454322,H6,Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9827260796532972,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9187435358967232,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9448418553474088,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8703949964592489,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8446393894539578,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,CFT073,0.8979813875774708,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8455675849786904,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9342435824411076,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8770309601010071,S21,Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9410100060003568,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,CFT073,0.8597656933030251,H6,Nanopolish / H6 (CP010170.1)
Nanopolish,CFT073,0.8551145305123273,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,063_STEC,0.8927637276213704,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.88895014869838,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,063_STEC,0.8657149673930332,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9221728563328392,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8454433112888551,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Pandora nanopore with denovo,ST38,0.8625848636180994,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_7C,0.8953025996007291,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MINF_8D,0.954429683448744,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8701332510299109,S88,Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.975748090443538,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MINF_7C,0.8755964694933639,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8850068845507303,JJ1886,Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,H131800734,0.9260060135447392,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,063_STEC,0.9153014156195324,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.922801297630414,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8670182322515726,S21,Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8544968847640981,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,H131800734,0.9455158012449292,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8648097078149629,S88,Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9334916133078368,H6,Nanopolish / H6 (CP010170.1)
Nanopolish,063_STEC,0.9372028701200008,JJ1886,Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.8763232383186859,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8672454744300264,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8891399401093655,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,063_STEC,0.8964883445557853,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9168368647763716,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Pandora nanopore with denovo,H131800734,0.9019518345875815,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_4E,0.8967983750961659,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_3B,0.8430933731194827,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,CFT073,0.8480076159390725,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8395050604363715,NGF1,Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9266462493499203,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8733359032813361,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_7A,0.8608254116325108,NCTC_13441,Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9134651249533756,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9029955836902672,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9041156184162852,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MINF_1D,0.8453578098725881,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8688420756932096,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.8748057663933164,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,CFT073,0.910909055584698,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.9086589367523876,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,H131800734,0.93419904034324,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Pandora nanopore with denovo,Escherichia_coli_MINF_8D,0.9003446566755385,PRG,Pandora nanopore with denovo / PRG
Nanopolish,CFT073,0.9027141497153736,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,ST38,0.8868659037420876,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,CFT073,0.9026830642497716,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MINF_9A,0.867474019420838,Y5,Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.9127083152504124,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,CFT073,0.9269297274193236,NCTC_13441,Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8580624892561396,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_8D,0.945502416607696,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9249429103206314,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MINF_9A,0.9103362256258742,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,063_STEC,0.9100834172808088,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,CFT073,0.8887956324920829,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MINF_1D,0.8930691160929701,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9379990430978418,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9323061414697742,ST648,Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.932629286088254,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8333776427816586,S1,Nanopolish / S1 (CP010226.1)
Nanopolish,H131800734,0.9235412589646892,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8941141404024157,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8395504472409766,S1,Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9430623720585792,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.9129551471226456,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
