tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Samtools,Escherichia_coli_MINF_1D,0.9523186026572376,NGF1,Samtools / NGF1 (NZ_CP016007.1)
Samtools,Escherichia_coli_MSB1_8G,0.9641714239318202,VR50,Samtools / VR50 (NZ_CP011134.1)
Samtools,Escherichia_coli_MSB1_6C,0.8416518752634928,S1,Samtools / S1 (CP010226.1)
Samtools,Escherichia_coli_MINF_8D,0.923387662838103,H6,Samtools / H6 (CP010170.1)
Samtools,Escherichia_coli_MSB1_9D,0.8870691244493241,JJ1886,Samtools / JJ1886 (NC_022648.1)
Samtools,Escherichia_coli_MSB1_9D,0.8859822187734749,EC958,Samtools / EC958 (NZ_HG941718.1)
Samtools,Escherichia_coli_MINF_1D,0.8973028838804442,CE10,Samtools / CE10 (NC_017646.1)
Samtools,Escherichia_coli_MSB1_4E,0.983444828072716,EC958,Samtools / EC958 (NZ_HG941718.1)
Samtools,H131800734,0.960150281563978,VR50,Samtools / VR50 (NZ_CP011134.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_7A,0.8814699779243598,PRG,Pandora illumina no denovo / PRG
Samtools,Escherichia_coli_MINF_7C,0.8703534655988998,Y5,Samtools / Y5 (NZ_CP013483.1)
Samtools,Escherichia_coli_MSB1_1A,0.9206713915239776,CE10,Samtools / CE10 (NC_017646.1)
Samtools,CFT073,0.9293699364690796,NCTC_13441,Samtools / NCTC_13441 (NZ_LT632320.1)
Samtools,Escherichia_coli_MSB1_8G,0.9424088606921576,W3110,Samtools / W3110 (NC_007779.1)
Samtools,Escherichia_coli_MSB1_7A,0.9019502357296756,09-00049,Samtools / 09-00049 (NZ_CP015228.1)
Samtools,Escherichia_coli_MSB1_4I,0.8503025992673207,MRSN346595,Samtools / MRSN346595 (NZ_CP018109.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_3B,0.8881609176761861,PRG,Pandora illumina no denovo / PRG
Samtools,Escherichia_coli_MSB1_9D,0.9483458396277554,VR50,Samtools / VR50 (NZ_CP011134.1)
Samtools,CFT073,0.8813040352820034,C4,Samtools / C4 (CP010121.1)
Samtools,Escherichia_coli_MINF_9A,0.8553664337140121,NGF1,Samtools / NGF1 (NZ_CP016007.1)
Samtools,Escherichia_coli_MSB1_7A,0.8478768428389326,EcRV308Chr,Samtools / EcRV308Chr (NZ_LM995446.1)
Samtools,Escherichia_coli_MSB1_6C,0.8500675347273503,NGF1,Samtools / NGF1 (NZ_CP016007.1)
Samtools,CFT073,0.9295059353810884,EC958,Samtools / EC958 (NZ_HG941718.1)
Samtools,ST38,0.8605053462122517,MRSN346595,Samtools / MRSN346595 (NZ_CP018109.1)
Samtools,Escherichia_coli_MINF_1D,0.8365081053058349,S1,Samtools / S1 (CP010226.1)
Samtools,063_STEC,0.9376181892087728,JJ1886,Samtools / JJ1886 (NC_022648.1)
Samtools,Escherichia_coli_MINF_1D,0.9105192845796474,ECONIH1,Samtools / ECONIH1 (NZ_CP009859.1)
Samtools,Escherichia_coli_MSB1_3B,0.8642216564228143,H7,Samtools / H7 (CP010171.1)
Samtools,Escherichia_coli_MSB1_8G,0.933936775736128,H7,Samtools / H7 (CP010171.1)
Samtools,Escherichia_coli_MINF_1A,0.8658545250198622,H6,Samtools / H6 (CP010170.1)
Samtools,Escherichia_coli_MSB2_1A,0.8950302452116117,MRSN346647,Samtools / MRSN346647 (CP018206.1)
Samtools,Escherichia_coli_MSB1_1A,0.928910326262942,UMN026,Samtools / UMN026 (CU928163.2)
Samtools,Escherichia_coli_MINF_1A,0.8955444169567941,MRSN346647,Samtools / MRSN346647 (CP018206.1)
Pandora illumina with denovo,CFT073,0.911938761632764,PRG,Pandora illumina with denovo / PRG
Samtools,Escherichia_coli_MINF_1A,0.9610960036688476,SMS-3-5,Samtools / SMS-3-5 (NC_010498.1)
Samtools,ST38,0.8520359440800288,Y5,Samtools / Y5 (NZ_CP013483.1)
Samtools,Escherichia_coli_MSB2_1A,0.9325143887531844,JJ1886,Samtools / JJ1886 (NC_022648.1)
Samtools,Escherichia_coli_MSB1_1A,0.9008174172094058,S1,Samtools / S1 (CP010226.1)
Samtools,H131800734,0.9366124458695392,CE10,Samtools / CE10 (NC_017646.1)
Samtools,Escherichia_coli_MINF_1D,0.920741474308274,NCTC_13441,Samtools / NCTC_13441 (NZ_LT632320.1)
Samtools,CFT073,0.8817353461172309,MRSN346647,Samtools / MRSN346647 (CP018206.1)
Samtools,Escherichia_coli_MSB1_7C,0.8987962199461852,VR50,Samtools / VR50 (NZ_CP011134.1)
Samtools,Escherichia_coli_MSB1_3B,0.9226791863299979,ST648,Samtools / ST648 (NZ_CP008697.1)
Samtools,Escherichia_coli_MINF_1D,0.8709166074027795,09-00049,Samtools / 09-00049 (NZ_CP015228.1)
Samtools,Escherichia_coli_MSB1_3B,0.901531982982772,VR50,Samtools / VR50 (NZ_CP011134.1)
Samtools,Escherichia_coli_MSB1_9D,0.8891823992823671,NGF1,Samtools / NGF1 (NZ_CP016007.1)
Samtools,Escherichia_coli_MINF_7C,0.9174782603541176,MRSN346647,Samtools / MRSN346647 (CP018206.1)
Samtools,Escherichia_coli_MINF_1D,0.8481160730308327,W3110,Samtools / W3110 (NC_007779.1)
Samtools,Escherichia_coli_MINF_9A,0.8550688170821125,LF82,Samtools / LF82 (NC_011993.1)
Samtools,Escherichia_coli_MSB2_1A,0.9331355425791774,EC958,Samtools / EC958 (NZ_HG941718.1)
Samtools,Escherichia_coli_MINF_1D,0.8458363519145005,MRSN346595,Samtools / MRSN346595 (NZ_CP018109.1)
