tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,2,0.8173420479302832,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,2,0.8277124183006536,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,2,0.7416993464052287,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,2,0.7420479302832244,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,2,0.6502832244008715,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,2,0.5842265795206971,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,2,0.7108496732026144,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,2,0.5954684095860566,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,2,0.6987363834422657,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,2,0.6386928104575164,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,2,0.6294553376906318,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,2,0.6543790849673202,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,2,0.6197821350762527,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,2,0.6307625272331154,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,2,0.7093681917211329,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,2,0.6569934640522875,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,2,0.7118954248366013,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,2,0.666318082788671,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,2,0.7455337690631808,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,2,0.6323311546840958,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,2,0.5947712418300654,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,2,0.7040522875816994,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,2,0.6056644880174292,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,2,0.6024400871459695,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,2,0.5897167755991285,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,2,0.6169063180827886,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,2,0.8585407972370125,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,2,0.8611310979997122,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,2,0.7316160598647288,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,2,0.7006044035112966,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,2,0.6664987768024176,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,2,0.5704417901856382,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,2,0.7059289106346237,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,2,0.5931788746582242,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,2,0.7098863145776371,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,2,0.6394445243919988,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,2,0.6346236868614189,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,2,0.6757087350697942,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,CFT073,2,0.6233990502230536,S21,Snippy / S21 (CP010230.1)
