tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_9A,0.8658154830994337,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,0.8890258558224201,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_8G,0.941199362773782,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_7C,0.9124427241095192,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_9D,0.9233277474636574,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_8B,0.8873667485978897,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,0.8928017718715393,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MSB1_4E,0.8804375314452434,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1D,0.9143874994184384,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_7A,0.8814699779243598,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MINF_1A,0.9260707803406604,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_9D,0.892558686027346,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_9D,0.9457537759653512,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_4E,0.9072601576454866,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MSB1_7C,0.8603229971356653,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_7A,0.8325882031806943,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_7C,0.9181738781355784,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_4E,0.9312184382927862,S88,Snippy / S88 (NC_011742.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_3B,0.8881609176761861,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB1_9D,0.8812080887795563,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1A,0.8601445577682038,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_9A,0.9519051522850194,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_3B,0.8471692911470412,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MSB1_4I,0.8449886609143731,H6,Snippy / H6 (CP010170.1)
Snippy,Escherichia_coli_MSB1_9D,0.946122498397158,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_4E,0.845051150929182,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1A,0.8746713862172759,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_4I,0.8725889346627125,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,CFT073,0.8527442637601756,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_6C,0.9094255923050693,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1D,0.8966448885728148,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_7C,0.8834221204756532,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MSB1_7C,0.9107038234528252,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_7C,0.9000687607068126,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,0.8704955552020925,H6,Snippy / H6 (CP010170.1)
Pandora illumina with denovo,CFT073,0.911938761632764,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1D,0.8635224682135095,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MSB1_8B,0.8633115604503049,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_1A,0.8847731758756332,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_7C,0.8761092109708893,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_6C,0.8575863115297757,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB2_1A,0.8970168890939016,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_8D,0.9193451809662421,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_8G,0.9542630601977192,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_4I,0.9259993827243328,CE10,Snippy / CE10 (NC_017646.1)
Pandora illumina no denovo,ST38,0.8637146390719664,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB1_6C,0.9180909825698642,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_9D,0.9218143344972854,S1,Snippy / S1 (CP010226.1)
Pandora illumina no denovo,Escherichia_coli_MSB2_1A,0.8813936909641775,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MINF_1A,0.9170439938766416,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,H131800734,0.8934849461690754,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,0.8698151388226145,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MSB1_8B,0.8469968359157511,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_3B,0.9000102708809713,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_3B,0.8668569482509771,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,0.8681803721965962,W3110,Snippy / W3110 (NC_007779.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1A,0.9072905430282204,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB1_4E,0.8619417387855282,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_8D,0.9369905713622676,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,0.8441219327388239,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,0.9227021040974528,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,0.8837595354515331,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_7C,0.8615408818678935,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,ST38,0.9238406103396632,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_6C,0.9208917269287676,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_7C,0.9220011283742732,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_8B,0.8628091093034941,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB2_1A,0.9057864279199472,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_1A,0.9253990646021462,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MSB1_8G,0.9322541177524616,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1D,0.8995958978312741,PRG,Pandora illumina no denovo / PRG
