tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Nanopolish,H131800734,0.9054092220088952,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,H131800734,0.9342169451489312,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8627238990531844,H7,Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8607050342052054,W3110,Nanopolish / W3110 (NC_007779.1)
Pandora nanopore with denovo,CFT073,0.8957396619864997,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MINF_7C,0.8756261968140292,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9575103287434172,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9167389465486916,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_1A,0.9094259929322652,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8673732353866687,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,H131800734,0.9522010892046636,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8691176910472911,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,H131800734,0.945531208366735,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,ST38,0.8947389020657696,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_8D,0.8955980356764253,C1,Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8676559618173371,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9266025595900148,EcRV308Chr,Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8851197387124426,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8454616811565862,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,ST38,0.8459218206535211,H7,Nanopolish / H7 (CP010171.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_3B,0.886211845601213,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MINF_7C,0.8804371668929374,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8606131793964779,H6,Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8945840143151529,09-00049,Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.89737793372485,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.905548182724872,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9812250070552654,JJ1886,Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8446550258428461,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9418838404766438,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.8811134929567388,NCTC_13441,Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8453474961861999,W3110,Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9370507982275744,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8858179210728613,C4,Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8846374260905464,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,H131800734,0.9260208084306378,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MINF_1D,0.9077808170007412,ECONIH1,Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,063_STEC,0.9191497446229432,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9181128303321272,CE10,Nanopolish / CE10 (NC_017646.1)
Pandora nanopore with denovo,Escherichia_coli_MSB1_6C,0.8772566763785765,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_7A,0.8619267708355418,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.878395606814162,VR50,Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MINF_9A,0.9207762198784586,CE10,Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9236399860207982,S1,Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8900151281821466,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9827452170625602,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8878877046756867,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8862559803648393,S88,Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8384994427959559,LF82,Nanopolish / LF82 (NC_011993.1)
Nanopolish,CFT073,0.9275901868051156,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9138848146792626,UMN026,Nanopolish / UMN026 (CU928163.2)
Nanopolish,063_STEC,0.9334782531855856,EC958,Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8823359289901804,S21,Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8595203484502377,MRSN346595,Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,CFT073,0.8780967407228935,MRSN346647,Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9054746636899184,SMS-3-5,Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8521724307738929,LF82,Nanopolish / LF82 (NC_011993.1)
