tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Nanopolish,Escherichia_coli_MINF_1A,0.9180722346754866,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,CFT073,0.8887951905552081,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,H131800734,0.9260322196895568,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB2_1A,0.931382185421958,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8558517165944379,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9266697303500028,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8670388651938468,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8878285722330944,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9087847371980212,ST648 (NZ_CP008697.1),Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,H131800734,0.9343139408497394,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,CFT073,0.8818507191239162,VR50 (NZ_CP011134.1),Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9249412195362328,SMS-3-5 (NC_010498.1),Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9339351110414263,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9485575907753392,Y5 (NZ_CP013483.1),Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8341921884020999,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8637692157199856,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.9178159518307292,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8722384902986496,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,063_STEC,0.8656796210876058,EcRV308Chr (NZ_LM995446.1),Nanopolish / EcRV308Chr (NZ_LM995446.1)
Nanopolish,063_STEC,0.8964618348267147,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8997761414673293,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MINF_8D,0.9326267957114944,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8995775648228634,09-00049 (NZ_CP015228.1),Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9175228891840288,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,ST38,0.8241682257134433,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8342723726334089,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9357342982246188,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.9014181962662544,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.8860714939389246,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8468326479236971,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8594028824321039,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,ST38,0.8499505540813105,Y5 (NZ_CP013483.1),Nanopolish / Y5 (NZ_CP013483.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8973752835669006,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_7C,0.8561589209952365,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MSB1_8B,0.8749575623256659,S88 (NC_011742.1),Nanopolish / S88 (NC_011742.1)
Nanopolish,ST38,0.8514848126665049,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,ST38,0.8931237556980224,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,ST38,0.8826892317487156,VR50 (NZ_CP011134.1),Nanopolish / VR50 (NZ_CP011134.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9156435080064264,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8803334183083645,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.8679331828821107,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,ST38,0.8456895944390954,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9190583185615112,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8601859034480521,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
Nanopolish,063_STEC,0.8731376915327925,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,H131800734,0.948563750424356,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9449885387056032,09-00049 (NZ_CP015228.1),Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8887531083103039,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB2_1A,0.9126439312327826,ST648 (NZ_CP008697.1),Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8932075349174482,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MINF_9A,0.8656496728772194,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,063_STEC,0.9303103405616528,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_7C,0.9357173769986424,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_7C,0.9199372823055806,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8458922585130053,H6 (CP010170.1),Nanopolish / H6 (CP010170.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.835692488992559,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8934695112021032,SMS-3-5 (NC_010498.1),Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8770757127527761,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.8381557217470696,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8715173108305276,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Pandora nanopore with denovo,CFT073,0.8860010803374695,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_4I,0.8738918398076102,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MINF_1A,0.9282142880213952,CE10 (NC_017646.1),Nanopolish / CE10 (NC_017646.1)
Nanopolish,Escherichia_coli_MINF_7C,0.8580719363042976,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8394507812665635,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,063_STEC,0.8861142039128359,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Pandora nanopore no denovo,Escherichia_coli_MSB2_1A,0.864145691302399,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MINF_8D,0.8628325683473438,LF82 (NC_011993.1),Nanopolish / LF82 (NC_011993.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9029861077831558,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.9162211025407474,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,063_STEC,0.9291218210416556,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
