tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Samtools,Escherichia_coli_MSB1_4I,0.914715615832432,ST648 (NZ_CP008697.1),Samtools / ST648 (NZ_CP008697.1)
Samtools,Escherichia_coli_MSB1_3B,0.9073455917530008,SMS-3-5 (NC_010498.1),Samtools / SMS-3-5 (NC_010498.1)
Samtools,063_STEC,0.9104766449286888,09-00049 (NZ_CP015228.1),Samtools / 09-00049 (NZ_CP015228.1)
Samtools,Escherichia_coli_MINF_7C,0.8615074965762967,LF82 (NC_011993.1),Samtools / LF82 (NC_011993.1)
Samtools,Escherichia_coli_MSB1_4I,0.9187469972649948,SMS-3-5 (NC_010498.1),Samtools / SMS-3-5 (NC_010498.1)
Pandora illumina with denovo,Escherichia_coli_MSB1_4I,0.8700376029652931,PRG,Pandora illumina with denovo / PRG
Samtools,Escherichia_coli_MSB1_9D,0.9313560651298718,Y5 (NZ_CP013483.1),Samtools / Y5 (NZ_CP013483.1)
Samtools,063_STEC,0.9326299418553275,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
Samtools,Escherichia_coli_MINF_1D,0.8731890681033365,C4 (CP010121.1),Samtools / C4 (CP010121.1)
Samtools,ST38,0.8457313429720259,W3110 (NC_007779.1),Samtools / W3110 (NC_007779.1)
Samtools,Escherichia_coli_MSB1_3B,0.8448606264713753,NGF1 (NZ_CP016007.1),Samtools / NGF1 (NZ_CP016007.1)
Samtools,ST38,0.8523041276252652,NCTC_13441 (NZ_LT632320.1),Samtools / NCTC_13441 (NZ_LT632320.1)
Samtools,Escherichia_coli_MSB2_1A,0.8624341120625709,C1 (CP010116.1),Samtools / C1 (CP010116.1)
Samtools,Escherichia_coli_MSB1_4I,0.8770965464856929,EC958 (NZ_HG941718.1),Samtools / EC958 (NZ_HG941718.1)
Samtools,Escherichia_coli_MSB1_7A,0.9193503932834396,ECONIH1 (NZ_CP009859.1),Samtools / ECONIH1 (NZ_CP009859.1)
Samtools,Escherichia_coli_MSB1_3B,0.9155542101265756,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
Pandora illumina no denovo,Escherichia_coli_MINF_7C,0.8885503062065367,PRG,Pandora illumina no denovo / PRG
Samtools,Escherichia_coli_MSB1_4E,0.9061436718263286,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
Samtools,H131800734,0.8982885964436812,NGF1 (NZ_CP016007.1),Samtools / NGF1 (NZ_CP016007.1)
Samtools,Escherichia_coli_MINF_7C,0.9367696840707388,UMN026 (CU928163.2),Samtools / UMN026 (CU928163.2)
Samtools,063_STEC,0.9196180831698568,CE10 (NC_017646.1),Samtools / CE10 (NC_017646.1)
Samtools,Escherichia_coli_MSB1_3B,0.8599480508247809,JJ1886 (NC_022648.1),Samtools / JJ1886 (NC_022648.1)
Samtools,Escherichia_coli_MSB1_3B,0.9417125929449668,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_3B,0.8856415398795059,PRG,Pandora illumina no denovo / PRG
Samtools,Escherichia_coli_MINF_1D,0.9464572372466192,S88 (NC_011742.1),Samtools / S88 (NC_011742.1)
Samtools,CFT073,0.8805061264461171,MRSN346647 (CP018206.1),Samtools / MRSN346647 (CP018206.1)
Samtools,Escherichia_coli_MSB1_3B,0.8823737691802463,S21 (CP010230.1),Samtools / S21 (CP010230.1)
Samtools,CFT073,0.92864720763853,EC958 (NZ_HG941718.1),Samtools / EC958 (NZ_HG941718.1)
