	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
44	samtools_CP018206.1	100x	0	Not_App	Not_App	0	0.018076461870200625	1545162.7349893574	1573608.0	0.9149255615759442	6355266	6946211	0.7813101948067701	0.7960977228215114	483088	492231.2025091546	618305
45	samtools_CP018206.1	100x	0	Not_App	Not_App	1	0.018003604893390486	1544547.7599893569	1572865.0	0.9149217279032892	6354953	6945898	0.7811419930293302	0.7960146707334385	482984	492179.8509878386	618305
46	samtools_CP018206.1	100x	0	Not_App	Not_App	2	0.017395082551200147	1543465.9782794004	1570790.0	0.9149130549344222	6354245	6945190	0.7807586870557411	0.7958292101196882	482747	492065.17976305383	618305
47	samtools_CP018206.1	100x	0	Not_App	Not_App	3	0.017280957170966338	1542925.894946067	1570058.0	0.9149096979718688	6353971	6944916	0.7805565214578566	0.7957498834760798	482622	492016.1317026775	618305
48	samtools_CP018206.1	100x	0	Not_App	Not_App	4	0.012606462537400054	1540115.7044698766	1559779.0	0.9148895874065192	6352330	6943275	0.7796986267250846	0.7952664805807051	482090	491715.6507424918	618303
49	samtools_CP018206.1	100x	0	Not_App	Not_App	5	0.012408562625899844	1539423.9544698766	1558766.0	0.9148852723845562	6351978	6942923	0.779493225813234	0.7951588738586854	481963	491649.1171834468	618303
50	samtools_CP018206.1	100x	0	Not_App	Not_App	6	0.012158209392947759	1538279.090434789	1557212.0	0.9148775483835097	6351348	6942293	0.7790242001090081	0.7949587008836541	481673	491525.3496324659	618303
51	samtools_CP018206.1	100x	0	Not_App	Not_App	7	0.011999919898139307	1537582.0406590812	1556257.0	0.9148728765216269	6350967	6941912	0.7787880699268805	0.7948303865764141	481527	491446.0125113565	618303
52	samtools_CP018206.1	100x	0	Not_App	Not_App	8	0.011776914001819794	1536611.7937726344	1554924.0	0.9148654200997391	6350359	6941304	0.7784053048681869	0.7946444060325134	481288	491328.63624990295	618300
53	samtools_CP018206.1	100x	0	Not_App	Not_App	9	0.011552253540485502	1535628.696153587	1553576.0	0.9148578397005712	6349741	6940686	0.7780002523055226	0.7944511225716261	481036	491207.5401837913	618298
54	samtools_CP018206.1	100x	0	Not_App	Not_App	10	0.011235157586113377	1534230.810439301	1551664.0	0.9148476813214332	6348913	6939858	0.7774706613013832	0.7941994069259855	480707	491050.3165047091	618296
66	samtools_NC_011993.1	100x	0	Not_App	Not_App	0	0.01291572840772104	1687889.4273160072	1709975.0	0.872969306575916	6063829	6946211	0.7349803090707661	0.7454228280237543	454442	460898.66168122744	618305
67	samtools_NC_011993.1	100x	0	Not_App	Not_App	1	0.012857862057597312	1687460.256284261	1709440.0	0.8729635456678303	6063514	6945896	0.7348816522589984	0.7453510227219945	454381	460854.2641041228	618305
68	samtools_NC_011993.1	100x	0	Not_App	Not_App	2	0.012389749148920659	1686431.4130302928	1707588.0	0.8729496807694822	6062756	6945138	0.7346422881911031	0.7451997971233372	454233	460760.760560345	618305
69	samtools_NC_011993.1	100x	0	Not_App	Not_App	3	0.012331144051290209	1686054.4423343225	1707105.0	0.8729446315851921	6062480	6944862	0.734532310105854	0.7451394868318123	454165	460723.4704055437	618305
70	samtools_NC_011993.1	100x	0	Not_App	Not_App	4	0.008183887987620821	1682881.840747021	1696768.0	0.8729011297827796	6060103	6942485	0.7338364299761929	0.7446343738659972	453734	460410.4118988415	618304
71	samtools_NC_011993.1	100x	0	Not_App	Not_App	5	0.008104819414438191	1682405.9862357425	1696153.0	0.8728956373245599	6059803	6942185	0.7337151304212814	0.7445654998927403	453659	460367.826845681	618304
72	samtools_NC_011993.1	100x	0	Not_App	Not_App	6	0.008006590954971471	1681586.5552833616	1695159.0	0.8728863173677366	6059294	6941676	0.7335259031156195	0.7444504599862604	453542	460296.69721134467	618304
73	samtools_NC_011993.1	100x	0	Not_App	Not_App	7	0.007937453266010697	1681091.6520677074	1694542.0	0.8728807870026886	6058992	6941374	0.7333512317565469	0.7443740138793387	453434	460249.43027765065	618304
74	samtools_NC_011993.1	100x	0	Not_App	Not_App	8	0.007805828427069561	1680349.290956596	1693569.0	0.8728705124313247	6058431	6940813	0.7331506831590933	0.7442567639578858	453310	460176.9341822166	618304
75	samtools_NC_011993.1	100x	0	Not_App	Not_App	9	0.007680663690187939	1679705.886806973	1692707.0	0.8728619398603383	6057963	6940345	0.7329177880136631	0.7441426807789899	453166	460106.3960963728	618304
76	samtools_NC_011993.1	100x	0	Not_App	Not_App	10	0.00752298402582563	1678680.5872037983	1691405.0	0.87284737482978	6057168	6939550	0.7325356661701463	0.7439517622023664	452929	459987.60642500967	618303
88	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	0	0.016616835539277064	1760690.5197433857	1790442.0	0.8925890676226219	6200112	6946211	0.771643444578323	0.7863784456870034	477111	486221.7248605026	618305
89	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	1	0.016541928621237708	1759990.6637910048	1789594.0	0.8925842583394521	6199801	6945900	0.7715172932452431	0.7863093557875424	477033	486179.0062302164	618305
90	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	2	0.015922133909835212	1758612.0958422862	1787066.0	0.8925710963306378	6198950	6945049	0.7711436912203524	0.7860996916368943	476802	486049.3698375499	618305
91	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	3	0.01580624939420594	1757906.8415132824	1786139.0	0.8925658368118808	6198610	6944709	0.7709512295711664	0.7860126186415569	476683	485995.5321691678	618305
92	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	4	0.01027569188995514	1754376.4010370926	1772591.0	0.8925307705083066	6196344	6942443	0.7701118380087497	0.7854863738211345	476164	485670.1523654766	618305
93	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	5	0.010133932164783976	1753637.816982258	1771591.0	0.8925243923572223	6195932	6942031	0.7698753364040992	0.7853703976099382	476017	485597.6583238152	618304
94	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	6	0.009952935875981228	1752456.5669822583	1770074.0	0.8925155824522271	6195363	6941462	0.7696052427284961	0.7852323592750842	475850	485512.3086692217	618304
95	samtools_NZ_HG941718.1	100x	0	Not_App	Not_App	7	0.009841460503633105	1751703.3344425757	1769114.0	0.8925095586806248	6194974	6941073	0.7693852862022565	0.7851265366263491	475714	485446.8781022182	618304
