tool_category,coverage_threshold,strand_bias_threshold,gaps_threshold,error_rate,recalls_wrt_variants_found_wrt_alleles,tool
samtools,0,Not_App,Not_App,0.0180764618702006,0.7960977228215114,samtools_CP018206.1
samtools,0,Not_App,Not_App,0.012915728407721,0.7454228280237543,samtools_NC_011993.1
samtools,0,Not_App,Not_App,0.016616835539277,0.7863784456870034,samtools_NZ_HG941718.1
samtools,0,Not_App,Not_App,0.0164961201322615,0.7908748417190394,samtools_NZ_CP011134.1
snippy,0,Not_App,Not_App,0.0001175541448866,0.7159164956678501,snippy_CP010226.1
samtools,0,Not_App,Not_App,0.0105834796302867,0.7414298484774482,samtools_NC_007779.1
snippy,0,Not_App,Not_App,0.0002762180571481,0.7736140290819628,snippy_NZ_LT632320.1
snippy,0,Not_App,Not_App,0.0002030842730906,0.7580875840175578,snippy_NZ_CP016007.1
samtools,0,Not_App,Not_App,0.017227146638961,0.7901375487862565,samtools_NC_011742.1
samtools,0,Not_App,Not_App,0.0120883313998149,0.7750332331589866,samtools_CP010121.1
snippy,0,Not_App,Not_App,0.0001229894047346,0.7350733751426336,snippy_NC_007779.1
samtools,0,Not_App,Not_App,0.0118465793457692,0.7564472725068385,samtools_CP010230.1
samtools,0,Not_App,Not_App,0.012405049921785,0.7625651271269308,samtools_CP010116.1
snippy,0,Not_App,Not_App,0.000319222537033,0.7752988627261317,snippy_NC_022648.1
snippy,0,Not_App,Not_App,0.0002697663339049,0.7949180102791262,snippy_CU928163.2
samtools,0,Not_App,Not_App,0.0145975026159441,0.8098501845809613,samtools_NC_017646.1
samtools,0,Not_App,Not_App,0.0183621034854508,0.822282600292015,samtools_NZ_CP009859.1
snippy,0,Not_App,Not_App,0.0001193039146991,0.7272283126156064,snippy_NZ_LM995446.1
snippy,0,Not_App,Not_App,0.0003070447657333,0.7974212988850444,snippy_NC_010498.1
samtools,0,Not_App,Not_App,0.0118377694277534,0.7437222683891309,samtools_CP010170.1
samtools,0,Not_App,Not_App,0.0172844186282747,0.8069975413386192,samtools_NC_010498.1
snippy,0,Not_App,Not_App,0.000381525729696,0.8111441723623919,snippy_NZ_CP009859.1
samtools,0,Not_App,Not_App,0.0164482583022766,0.7850622158970921,samtools_NZ_LT632320.1
snippy,0,Not_App,Not_App,0.0001934293115151,0.7667212952879892,snippy_CP010121.1
snippy,0,Not_App,Not_App,0.0003762616532053,0.8063526577546063,snippy_NZ_CP008697.1
snippy,0,Not_App,Not_App,9.624300538746412e-05,0.7368566109690123,snippy_CP010170.1
samtools,0,Not_App,Not_App,0.0104531422652778,0.7333424531241994,samtools_NZ_LM995446.1
snippy,0,Not_App,Not_App,0.0001824418196587,0.7381499762655086,snippy_NC_011993.1
samtools,0,Not_App,Not_App,0.0170744508917257,0.7870994424870108,samtools_NZ_CP015228.1
samtools,0,Not_App,Not_App,0.0132064192269,0.750094118374206,samtools_CP010171.1
samtools,0,Not_App,Not_App,0.0127916319008065,0.7230537447306373,samtools_CP010226.1
samtools,0,Not_App,Not_App,0.0135563889625629,0.8041248331868157,samtools_CU928163.2
pandora_illumina_withdenovo,0,0.0,1.0,0.0014990674295463,0.8581798771006989,pandora_illumina_withdenovo
snippy,0,Not_App,Not_App,0.00046362486269,0.7863082012850691,snippy_CP018206.1
snippy,0,Not_App,Not_App,0.0001556743640783,0.7429537210706291,snippy_CP010171.1
snippy,0,Not_App,Not_App,0.0003032489711769,0.7763065904359123,snippy_NZ_CP015228.1
snippy,0,Not_App,Not_App,0.0003772700053519,0.7810896175278662,snippy_NZ_CP011134.1
samtools,0,Not_App,Not_App,0.0147037317633191,0.7663042657052773,samtools_NZ_CP016007.1
samtools,0,Not_App,Not_App,0.0147776692039256,0.8152008152150746,samtools_NZ_CP008697.1
snippy,0,Not_App,Not_App,0.0001173114038681,0.749503429525579,snippy_CP010230.1
snippy,0,Not_App,Not_App,0.0002608390938712,0.8009621377151488,snippy_NC_017646.1
snippy,0,Not_App,Not_App,0.0003196515830451,0.7760897978714572,snippy_NZ_HG941718.1
samtools,0,Not_App,Not_App,0.0157755625627878,0.7853438524298868,samtools_NC_022648.1
