FIRST_SAMPLE,SECOND_SAMPLE,count
063_STEC,063_STEC,0
063_STEC,CFT073,4138
063_STEC,H131800734,67
063_STEC,MINF_1A,1964
063_STEC,MINF_1D,1723
063_STEC,MINF_7C,253
063_STEC,MINF_8D,175
063_STEC,MINF_9A,300
063_STEC,MSB1_1A,35
063_STEC,MSB1_3B,1
063_STEC,MSB1_4E,646
063_STEC,MSB1_4I,463
063_STEC,MSB1_6C,66
063_STEC,MSB1_7A,0
063_STEC,MSB1_7C,326
063_STEC,MSB1_8B,212
063_STEC,MSB1_8G,7
063_STEC,MSB1_9D,349
063_STEC,MSB2_1A,365
063_STEC,ST38,395
CFT073,063_STEC,4138
CFT073,CFT073,0
CFT073,H131800734,60
CFT073,MINF_1A,5181
CFT073,MINF_1D,1807
CFT073,MINF_7C,465
CFT073,MINF_8D,153
CFT073,MINF_9A,116
CFT073,MSB1_1A,37
CFT073,MSB1_3B,0
CFT073,MSB1_4E,530
CFT073,MSB1_4I,302
CFT073,MSB1_6C,164
CFT073,MSB1_7A,0
CFT073,MSB1_7C,278
CFT073,MSB1_8B,152
CFT073,MSB1_8G,4
CFT073,MSB1_9D,136
CFT073,MSB2_1A,183
CFT073,ST38,192
H131800734,063_STEC,67
H131800734,CFT073,60
H131800734,H131800734,0
H131800734,MINF_1A,207
H131800734,MINF_1D,86
H131800734,MINF_7C,393
H131800734,MINF_8D,287
H131800734,MINF_9A,759
H131800734,MSB1_1A,9
H131800734,MSB1_3B,7
H131800734,MSB1_4E,70
H131800734,MSB1_4I,126
H131800734,MSB1_6C,34
H131800734,MSB1_7A,5
H131800734,MSB1_7C,107
H131800734,MSB1_8B,122
H131800734,MSB1_8G,23
H131800734,MSB1_9D,1195
H131800734,MSB2_1A,576
H131800734,ST38,331
MINF_1A,063_STEC,1964
MINF_1A,CFT073,5181
MINF_1A,H131800734,207
MINF_1A,MINF_1A,0
MINF_1A,MINF_1D,470
MINF_1A,MINF_7C,1468
MINF_1A,MINF_8D,486
MINF_1A,MINF_9A,130
MINF_1A,MSB1_1A,130
MINF_1A,MSB1_3B,1
MINF_1A,MSB1_4E,384
MINF_1A,MSB1_4I,466
MINF_1A,MSB1_6C,46
MINF_1A,MSB1_7A,0
MINF_1A,MSB1_7C,521
MINF_1A,MSB1_8B,360
MINF_1A,MSB1_8G,27
MINF_1A,MSB1_9D,185
MINF_1A,MSB2_1A,147
MINF_1A,ST38,842
MINF_1D,063_STEC,1723
MINF_1D,CFT073,1807
MINF_1D,H131800734,86
MINF_1D,MINF_1A,470
MINF_1D,MINF_1D,0
MINF_1D,MINF_7C,513
MINF_1D,MINF_8D,313
MINF_1D,MINF_9A,570
MINF_1D,MSB1_1A,11
MINF_1D,MSB1_3B,29
MINF_1D,MSB1_4E,425
MINF_1D,MSB1_4I,238
MINF_1D,MSB1_6C,690
MINF_1D,MSB1_7A,0
MINF_1D,MSB1_7C,569
MINF_1D,MSB1_8B,206
MINF_1D,MSB1_8G,10
MINF_1D,MSB1_9D,166
MINF_1D,MSB2_1A,266
MINF_1D,ST38,250
MINF_7C,063_STEC,253
MINF_7C,CFT073,465
MINF_7C,H131800734,393
MINF_7C,MINF_1A,1468
MINF_7C,MINF_1D,513
MINF_7C,MINF_7C,0
MINF_7C,MINF_8D,660
MINF_7C,MINF_9A,137
MINF_7C,MSB1_1A,108
MINF_7C,MSB1_3B,9
MINF_7C,MSB1_4E,272
MINF_7C,MSB1_4I,1060
MINF_7C,MSB1_6C,119
MINF_7C,MSB1_7A,2
MINF_7C,MSB1_7C,956
MINF_7C,MSB1_8B,290
MINF_7C,MSB1_8G,77
MINF_7C,MSB1_9D,288
MINF_7C,MSB2_1A,1360
MINF_7C,ST38,845
MINF_8D,063_STEC,175
MINF_8D,CFT073,153
MINF_8D,H131800734,287
MINF_8D,MINF_1A,486
MINF_8D,MINF_1D,313
MINF_8D,MINF_7C,660
MINF_8D,MINF_8D,0
MINF_8D,MINF_9A,321
MINF_8D,MSB1_1A,7
MINF_8D,MSB1_3B,3
MINF_8D,MSB1_4E,202
MINF_8D,MSB1_4I,403
MINF_8D,MSB1_6C,129
MINF_8D,MSB1_7A,0
MINF_8D,MSB1_7C,104
MINF_8D,MSB1_8B,46
MINF_8D,MSB1_8G,8
MINF_8D,MSB1_9D,138
MINF_8D,MSB2_1A,90
MINF_8D,ST38,233
MINF_9A,063_STEC,300
MINF_9A,CFT073,116
MINF_9A,H131800734,759
MINF_9A,MINF_1A,130
MINF_9A,MINF_1D,570
MINF_9A,MINF_7C,137
MINF_9A,MINF_8D,321
MINF_9A,MINF_9A,0
MINF_9A,MSB1_1A,5
MINF_9A,MSB1_3B,37
MINF_9A,MSB1_4E,245
MINF_9A,MSB1_4I,429
MINF_9A,MSB1_6C,370
MINF_9A,MSB1_7A,5
MINF_9A,MSB1_7C,1008
MINF_9A,MSB1_8B,901
MINF_9A,MSB1_8G,11
MINF_9A,MSB1_9D,376
MINF_9A,MSB2_1A,370
MINF_9A,ST38,923
MSB1_1A,063_STEC,35
MSB1_1A,CFT073,37
MSB1_1A,H131800734,9
MSB1_1A,MINF_1A,130
MSB1_1A,MINF_1D,11
MSB1_1A,MINF_7C,108
MSB1_1A,MINF_8D,7
MSB1_1A,MINF_9A,5
MSB1_1A,MSB1_1A,0
