tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Medaka,CFT073,0.9116960132438492,SMS-3-5 (NC_010498.1),Medaka / SMS-3-5 (NC_010498.1)
Medaka,CFT073,0.9019962926548708,UMN026 (CU928163.2),Medaka / UMN026 (CU928163.2)
Medaka,Escherichia_coli_MINF_9A,0.876905510490116,C1 (CP010116.1),Medaka / C1 (CP010116.1)
Medaka,Escherichia_coli_MSB1_6C,0.9102834355992964,VR50 (NZ_CP011134.1),Medaka / VR50 (NZ_CP011134.1)
Medaka,Escherichia_coli_MINF_9A,0.8803553164892609,Y5 (NZ_CP013483.1),Medaka / Y5 (NZ_CP013483.1)
Medaka,Escherichia_coli_MSB1_7C,0.8706122028233814,H6 (CP010170.1),Medaka / H6 (CP010170.1)
Medaka,Escherichia_coli_MSB1_7C,0.8865683221389121,S21 (CP010230.1),Medaka / S21 (CP010230.1)
Medaka,Escherichia_coli_MSB1_8G,0.9320844206023003,CE10 (NC_017646.1),Medaka / CE10 (NC_017646.1)
Medaka,Escherichia_coli_MSB1_3B,0.8719136594977526,H7 (CP010171.1),Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MSB1_4I,0.8550527810358665,W3110 (NC_007779.1),Medaka / W3110 (NC_007779.1)
Medaka,Escherichia_coli_MINF_9A,0.8754173588826416,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,063_STEC,0.9158095187600516,VR50 (NZ_CP011134.1),Medaka / VR50 (NZ_CP011134.1)
Medaka,Escherichia_coli_MINF_7C,0.9291337882461748,ECONIH1 (NZ_CP009859.1),Medaka / ECONIH1 (NZ_CP009859.1)
Medaka,Escherichia_coli_MINF_8D,0.9229398382928492,UMN026 (CU928163.2),Medaka / UMN026 (CU928163.2)
Medaka,Escherichia_coli_MSB1_6C,0.8652532928745016,EcRV308Chr (NZ_LM995446.1),Medaka / EcRV308Chr (NZ_LM995446.1)
Medaka,Escherichia_coli_MINF_9A,0.8686665620450991,W3110 (NC_007779.1),Medaka / W3110 (NC_007779.1)
Medaka,Escherichia_coli_MINF_1A,0.8631178093164773,EcRV308Chr (NZ_LM995446.1),Medaka / EcRV308Chr (NZ_LM995446.1)
Medaka,Escherichia_coli_MSB1_4E,0.8983988541184114,MRSN346647 (CP018206.1),Medaka / MRSN346647 (CP018206.1)
Medaka,Escherichia_coli_MSB1_6C,0.9166583869278588,C4 (CP010121.1),Medaka / C4 (CP010121.1)
Medaka,Escherichia_coli_MSB1_7C,0.8732218231534631,NGF1 (NZ_CP016007.1),Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MINF_7C,0.8726797370121593,H7 (CP010171.1),Medaka / H7 (CP010171.1)
Medaka,063_STEC,0.8905722566848701,H6 (CP010170.1),Medaka / H6 (CP010170.1)
Medaka,063_STEC,0.9340923952423872,NGF1 (NZ_CP016007.1),Medaka / NGF1 (NZ_CP016007.1)
Medaka,Escherichia_coli_MINF_9A,0.8769217448712884,H6 (CP010170.1),Medaka / H6 (CP010170.1)
Medaka,Escherichia_coli_MSB1_3B,0.915686650791806,SMS-3-5 (NC_010498.1),Medaka / SMS-3-5 (NC_010498.1)
Medaka,Escherichia_coli_MSB1_8G,0.9455012263274014,ECONIH1 (NZ_CP009859.1),Medaka / ECONIH1 (NZ_CP009859.1)
Medaka,H131800734,0.94672368492373,ST648 (NZ_CP008697.1),Medaka / ST648 (NZ_CP008697.1)
Medaka,Escherichia_coli_MSB1_9D,0.9363258364818642,CE10 (NC_017646.1),Medaka / CE10 (NC_017646.1)
Medaka,Escherichia_coli_MINF_7C,0.8892261541288973,S21 (CP010230.1),Medaka / S21 (CP010230.1)
Medaka,Escherichia_coli_MINF_8D,0.8956467426495447,JJ1886 (NC_022648.1),Medaka / JJ1886 (NC_022648.1)
Medaka,Escherichia_coli_MSB1_1A,0.9464006645360216,ECONIH1 (NZ_CP009859.1),Medaka / ECONIH1 (NZ_CP009859.1)
Medaka,Escherichia_coli_MINF_8D,0.9015689375576604,S88 (NC_011742.1),Medaka / S88 (NC_011742.1)
Medaka,ST38,0.8539923339256407,H7 (CP010171.1),Medaka / H7 (CP010171.1)
Medaka,Escherichia_coli_MINF_7C,0.8716007517326013,LF82 (NC_011993.1),Medaka / LF82 (NC_011993.1)
