"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10430","NCTC10444","NCTC10537","NCTC10973","NCTC11023","NCTC12655","NCTC9008","NCTC9022","NCTC9041","NCTC9054"
"tdcA","","transcriptional regulator TdcA","10","10","1","1","1673","","","","878","938","932","de5d112513ebace038d16be8aa9e1273_2312","2000d99c1a4f4644d4dc8bc5f335fcca_1291","8291d5e9ef160a270636991509e0e85c_1252","b1b2c14e5b2eae9d99465ee4aa5d53b7_1201","f95cc3601e9bedf7c0d3dbaf7722b312_1261","81c24e080905d6ecc25e00770222c603_1220","a963e031a0e9d0bd7ea9f5c201bde08a_1204","cf4339b1a0ea8d217cfa00a17e46d961_1242","6f47304ac79aadc337208f6d61504bf4_1232","65f1bac1425e1f84709282b5f5eed1ce_1264"
"WP_001345966.1","","hypothetical protein","10","10","1","1","1682","","","","164","164","164","de5d112513ebace038d16be8aa9e1273_2330","2000d99c1a4f4644d4dc8bc5f335fcca_1309","8291d5e9ef160a270636991509e0e85c_1270","b1b2c14e5b2eae9d99465ee4aa5d53b7_1219","f95cc3601e9bedf7c0d3dbaf7722b312_1279","81c24e080905d6ecc25e00770222c603_1238","a963e031a0e9d0bd7ea9f5c201bde08a_1222","cf4339b1a0ea8d217cfa00a17e46d961_1260","6f47304ac79aadc337208f6d61504bf4_1250","65f1bac1425e1f84709282b5f5eed1ce_1282"
"WP_000633576.1","","pirin family protein","10","10","1","1","1683","","","","701","701","701","de5d112513ebace038d16be8aa9e1273_2332","2000d99c1a4f4644d4dc8bc5f335fcca_1311","8291d5e9ef160a270636991509e0e85c_1272","b1b2c14e5b2eae9d99465ee4aa5d53b7_1221","f95cc3601e9bedf7c0d3dbaf7722b312_1281","81c24e080905d6ecc25e00770222c603_1240","a963e031a0e9d0bd7ea9f5c201bde08a_1224","cf4339b1a0ea8d217cfa00a17e46d961_1262","6f47304ac79aadc337208f6d61504bf4_1252","65f1bac1425e1f84709282b5f5eed1ce_1284"
"WP_000531177.1","","glutathionyl-hydroquinone reductase YqjG","10","10","1","1","1688","","","","986","986","986","de5d112513ebace038d16be8aa9e1273_2338","2000d99c1a4f4644d4dc8bc5f335fcca_1319","8291d5e9ef160a270636991509e0e85c_1280","b1b2c14e5b2eae9d99465ee4aa5d53b7_1229","f95cc3601e9bedf7c0d3dbaf7722b312_1289","81c24e080905d6ecc25e00770222c603_1248","a963e031a0e9d0bd7ea9f5c201bde08a_1232","cf4339b1a0ea8d217cfa00a17e46d961_1268","6f47304ac79aadc337208f6d61504bf4_1260","65f1bac1425e1f84709282b5f5eed1ce_1292"
"WP_000603618.1","","DoxX family protein","10","10","1","1","1689","","","","482","482","482","de5d112513ebace038d16be8aa9e1273_2340","2000d99c1a4f4644d4dc8bc5f335fcca_1321","8291d5e9ef160a270636991509e0e85c_1282","b1b2c14e5b2eae9d99465ee4aa5d53b7_1231","f95cc3601e9bedf7c0d3dbaf7722b312_1291","81c24e080905d6ecc25e00770222c603_1250","a963e031a0e9d0bd7ea9f5c201bde08a_1234","cf4339b1a0ea8d217cfa00a17e46d961_1270","6f47304ac79aadc337208f6d61504bf4_1262","65f1bac1425e1f84709282b5f5eed1ce_1294"
"WP_000031415.1","","DUF883 domain-containing protein","10","10","1","1","1692","","","","287","305","303","de5d112513ebace038d16be8aa9e1273_2346","2000d99c1a4f4644d4dc8bc5f335fcca_1327","8291d5e9ef160a270636991509e0e85c_1288","b1b2c14e5b2eae9d99465ee4aa5d53b7_1237","f95cc3601e9bedf7c0d3dbaf7722b312_1297","81c24e080905d6ecc25e00770222c603_1256","a963e031a0e9d0bd7ea9f5c201bde08a_1240","cf4339b1a0ea8d217cfa00a17e46d961_1276","6f47304ac79aadc337208f6d61504bf4_1268","65f1bac1425e1f84709282b5f5eed1ce_1300"
"WP_001295542.1","","M48 family metallopeptidase","10","10","1","1","1709","","","","503","503","503","de5d112513ebace038d16be8aa9e1273_2372","2000d99c1a4f4644d4dc8bc5f335fcca_1355","8291d5e9ef160a270636991509e0e85c_1314","b1b2c14e5b2eae9d99465ee4aa5d53b7_1263","f95cc3601e9bedf7c0d3dbaf7722b312_1323","81c24e080905d6ecc25e00770222c603_1282","a963e031a0e9d0bd7ea9f5c201bde08a_1276","cf4339b1a0ea8d217cfa00a17e46d961_1302","6f47304ac79aadc337208f6d61504bf4_1294","65f1bac1425e1f84709282b5f5eed1ce_1334"
"ebgR","","transcriptional regulator EbgR","10","10","1","1","1721","","","","983","983","983","de5d112513ebace038d16be8aa9e1273_2392","2000d99c1a4f4644d4dc8bc5f335fcca_1377","8291d5e9ef160a270636991509e0e85c_1334","b1b2c14e5b2eae9d99465ee4aa5d53b7_1283","f95cc3601e9bedf7c0d3dbaf7722b312_1343","81c24e080905d6ecc25e00770222c603_1302","a963e031a0e9d0bd7ea9f5c201bde08a_1296","cf4339b1a0ea8d217cfa00a17e46d961_1322","6f47304ac79aadc337208f6d61504bf4_1314","65f1bac1425e1f84709282b5f5eed1ce_1352"
"ygjG","","putrescine aminotransferase","10","10","1","1","1723","","","","1379","1490","1467","de5d112513ebace038d16be8aa9e1273_2396","2000d99c1a4f4644d4dc8bc5f335fcca_1381","8291d5e9ef160a270636991509e0e85c_1338","b1b2c14e5b2eae9d99465ee4aa5d53b7_1287","f95cc3601e9bedf7c0d3dbaf7722b312_1347","81c24e080905d6ecc25e00770222c603_1306","a963e031a0e9d0bd7ea9f5c201bde08a_1300","cf4339b1a0ea8d217cfa00a17e46d961_1326","6f47304ac79aadc337208f6d61504bf4_1318","65f1bac1425e1f84709282b5f5eed1ce_1356"
"nfeF","","NADPH-dependent ferric chelate reductase","10","10","1","1","1727","","","","764","764","764","de5d112513ebace038d16be8aa9e1273_2404","2000d99c1a4f4644d4dc8bc5f335fcca_1387","8291d5e9ef160a270636991509e0e85c_1344","b1b2c14e5b2eae9d99465ee4aa5d53b7_1293","f95cc3601e9bedf7c0d3dbaf7722b312_1353","81c24e080905d6ecc25e00770222c603_1312","a963e031a0e9d0bd7ea9f5c201bde08a_1306","cf4339b1a0ea8d217cfa00a17e46d961_1332","6f47304ac79aadc337208f6d61504bf4_1324","65f1bac1425e1f84709282b5f5eed1ce_1364"
