"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","M16808_2","NCTC11902_2","NCTC12977_2","NCTC13276_2","NCTC7465_2","NCTC7466_2","OXC141_2","R6_2","SNP994038_2","SNP994039_2"
"WP_000693286.1","","hypothetical protein","10","10","1","1","1510","","","","212","302","252","4e0ebb2f352ce5f77c4dc810bc08f662_2147","5304d155c86e7e0505652cd3398fab91_925","c9f86137e46aba7d7655704f281d0e42_4368","d85e8842589287b51ccafc8c2ab682fd_875","72423b0a20e1eaaa23e55b78118edd99_74","0983e9ef5d2d51f2c7fe65caad871066_889","071df2bd90ec8224320f416a082a7ee2_959","f80477e6bb8d2c709ffd872956318dda_929","29d2a391aac6e81216e86f42a012931d_1075","4903566b198540aa48641e5fce1361b3_1075"
"WP_000072891.1","","hypothetical protein","10","10","1","1","2467","","","","728","728","728","4e0ebb2f352ce5f77c4dc810bc08f662_1522","5304d155c86e7e0505652cd3398fab91_320","c9f86137e46aba7d7655704f281d0e42_3741","d85e8842589287b51ccafc8c2ab682fd_264","72423b0a20e1eaaa23e55b78118edd99_717","0983e9ef5d2d51f2c7fe65caad871066_264","071df2bd90ec8224320f416a082a7ee2_356","f80477e6bb8d2c709ffd872956318dda_278","29d2a391aac6e81216e86f42a012931d_389","4903566b198540aa48641e5fce1361b3_389"
"WP_000570730.1","","MutR family transcriptional regulator","10","10","1","1","2444","","","","734","863","824","4e0ebb2f352ce5f77c4dc810bc08f662_1570","5304d155c86e7e0505652cd3398fab91_368","c9f86137e46aba7d7655704f281d0e42_3789","d85e8842589287b51ccafc8c2ab682fd_310","72423b0a20e1eaaa23e55b78118edd99_663","0983e9ef5d2d51f2c7fe65caad871066_310","071df2bd90ec8224320f416a082a7ee2_404","f80477e6bb8d2c709ffd872956318dda_326","29d2a391aac6e81216e86f42a012931d_441","4903566b198540aa48641e5fce1361b3_441"
"WP_001077251.1","","M42 family metallopeptidase","10","10","1","1","1655","","","","845","1037","1017","4e0ebb2f352ce5f77c4dc810bc08f662_2376","5304d155c86e7e0505652cd3398fab91_1184","c9f86137e46aba7d7655704f281d0e42_209","d85e8842589287b51ccafc8c2ab682fd_1102","72423b0a20e1eaaa23e55b78118edd99_4228","0983e9ef5d2d51f2c7fe65caad871066_1116","071df2bd90ec8224320f416a082a7ee2_1202","f80477e6bb8d2c709ffd872956318dda_1183","29d2a391aac6e81216e86f42a012931d_1362","4903566b198540aa48641e5fce1361b3_1362"
"WP_000702356.1","","DUF1934 domain-containing protein","10","10","1","1","216","","","","365","377","374","4e0ebb2f352ce5f77c4dc810bc08f662_3609","5304d155c86e7e0505652cd3398fab91_2444","c9f86137e46aba7d7655704f281d0e42_1452","d85e8842589287b51ccafc8c2ab682fd_2327","72423b0a20e1eaaa23e55b78118edd99_3021","0983e9ef5d2d51f2c7fe65caad871066_2341","071df2bd90ec8224320f416a082a7ee2_2443","f80477e6bb8d2c709ffd872956318dda_2477","29d2a391aac6e81216e86f42a012931d_2789","4903566b198540aa48641e5fce1361b3_2789"
"WP_000169080.1","","U32 family peptidase","10","10","1","1","1938","","","","1286","1286","1286","4e0ebb2f352ce5f77c4dc810bc08f662_3868","5304d155c86e7e0505652cd3398fab91_2682","c9f86137e46aba7d7655704f281d0e42_1723","d85e8842589287b51ccafc8c2ab682fd_2565","72423b0a20e1eaaa23e55b78118edd99_2785","0983e9ef5d2d51f2c7fe65caad871066_2579","071df2bd90ec8224320f416a082a7ee2_2657","f80477e6bb8d2c709ffd872956318dda_2725","29d2a391aac6e81216e86f42a012931d_3035","4903566b198540aa48641e5fce1361b3_3035"
"WP_000156355.1","","nucleotidyltransferase","10","10","1","1","896","","","","1097","1097","1097","4e0ebb2f352ce5f77c4dc810bc08f662_73","5304d155c86e7e0505652cd3398fab91_3260","c9f86137e46aba7d7655704f281d0e42_2292","d85e8842589287b51ccafc8c2ab682fd_3140","72423b0a20e1eaaa23e55b78118edd99_2228","0983e9ef5d2d51f2c7fe65caad871066_3154","071df2bd90ec8224320f416a082a7ee2_3236","f80477e6bb8d2c709ffd872956318dda_3337","29d2a391aac6e81216e86f42a012931d_3726","4903566b198540aa48641e5fce1361b3_3726"
"WP_000825489.1","","DUF421 domain-containing protein","10","10","1","1","1025","","","","296","530","421","4e0ebb2f352ce5f77c4dc810bc08f662_251","5304d155c86e7e0505652cd3398fab91_3417","c9f86137e46aba7d7655704f281d0e42_2470","d85e8842589287b51ccafc8c2ab682fd_3291","72423b0a20e1eaaa23e55b78118edd99_1996","0983e9ef5d2d51f2c7fe65caad871066_3305","071df2bd90ec8224320f416a082a7ee2_3415","f80477e6bb8d2c709ffd872956318dda_3498","29d2a391aac6e81216e86f42a012931d_3933","4903566b198540aa48641e5fce1361b3_3933"
"WP_001810061.1","","glyoxalase","10","10","1","1","1022","","","","128","239","205","4e0ebb2f352ce5f77c4dc810bc08f662_259","5304d155c86e7e0505652cd3398fab91_3425","c9f86137e46aba7d7655704f281d0e42_2478","d85e8842589287b51ccafc8c2ab682fd_3299","72423b0a20e1eaaa23e55b78118edd99_1988","0983e9ef5d2d51f2c7fe65caad871066_3313","071df2bd90ec8224320f416a082a7ee2_3423","f80477e6bb8d2c709ffd872956318dda_3506","29d2a391aac6e81216e86f42a012931d_3941","4903566b198540aa48641e5fce1361b3_3941"
"group_136","galE","UDP-glucose 4-epimerase GalE","10","10","1","1","997","","","","701","701","701","4e0ebb2f352ce5f77c4dc810bc08f662_300","5304d155c86e7e0505652cd3398fab91_3466","c9f86137e46aba7d7655704f281d0e42_2519","d85e8842589287b51ccafc8c2ab682fd_3342","72423b0a20e1eaaa23e55b78118edd99_1945","0983e9ef5d2d51f2c7fe65caad871066_3356","071df2bd90ec8224320f416a082a7ee2_3464","f80477e6bb8d2c709ffd872956318dda_3551","29d2a391aac6e81216e86f42a012931d_3991","4903566b198540aa48641e5fce1361b3_3991"
