"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC12233_2","NCTC13142_2","NCTC13277_2","NCTC13395_2","NCTC13616_2","NCTC1803_2","NCTC4137_2","NCTC6136_2","NCTC7988_2","NCTC9555_2"
"WP_000849161.1","","YxeA family protein","10","10","1","1","2293","","","","368","368","368","5ed739b8eba34d81c44a46f3a235e95d_834","a6596c4a203e63fb6b02f6e492b61789_686","635a081118a8dafa9e232517c2cf67f9_771","ff262237f3470f60d8b7b16b3d58ad2c_702","14c52b1fad0ff98e5cf49028371d6243_686","4a58a390596d4900f56ec453eae7d1e7_262","cc2e0eb80d2c122d721349f05f3eeaf8_660","46fc0cff5994e5bf181db51ddfa21095_824","0f07ae81df8f8d06fbc4da89d7ffc57a_801","8517706599505fe9f8a7a5c896166270_796"
"WP_065315812.1","","hypothetical protein","10","10","1","1","2310","","","","956","956","956","5ed739b8eba34d81c44a46f3a235e95d_862","a6596c4a203e63fb6b02f6e492b61789_714","635a081118a8dafa9e232517c2cf67f9_799","ff262237f3470f60d8b7b16b3d58ad2c_730","14c52b1fad0ff98e5cf49028371d6243_714","4a58a390596d4900f56ec453eae7d1e7_290","cc2e0eb80d2c122d721349f05f3eeaf8_688","46fc0cff5994e5bf181db51ddfa21095_852","0f07ae81df8f8d06fbc4da89d7ffc57a_829","8517706599505fe9f8a7a5c896166270_824"
"WP_072433528.1","","hypothetical protein","10","10","1","1","2380","","","","260","260","260","5ed739b8eba34d81c44a46f3a235e95d_947","a6596c4a203e63fb6b02f6e492b61789_819","635a081118a8dafa9e232517c2cf67f9_874","ff262237f3470f60d8b7b16b3d58ad2c_815","14c52b1fad0ff98e5cf49028371d6243_783","4a58a390596d4900f56ec453eae7d1e7_404","cc2e0eb80d2c122d721349f05f3eeaf8_811","46fc0cff5994e5bf181db51ddfa21095_943","0f07ae81df8f8d06fbc4da89d7ffc57a_943","8517706599505fe9f8a7a5c896166270_938"
"WP_001165058.1","","protein VraC","10","10","1","1","2519","","","","365","365","365","5ed739b8eba34d81c44a46f3a235e95d_1281","a6596c4a203e63fb6b02f6e492b61789_1153","635a081118a8dafa9e232517c2cf67f9_1203","ff262237f3470f60d8b7b16b3d58ad2c_1149","14c52b1fad0ff98e5cf49028371d6243_1117","4a58a390596d4900f56ec453eae7d1e7_726","cc2e0eb80d2c122d721349f05f3eeaf8_1133","46fc0cff5994e5bf181db51ddfa21095_1275","0f07ae81df8f8d06fbc4da89d7ffc57a_1277","8517706599505fe9f8a7a5c896166270_1275"
"WP_000901764.1","","endonuclease III domain-containing protein","10","10","1","1","2562","","","","635","635","635","5ed739b8eba34d81c44a46f3a235e95d_1369","a6596c4a203e63fb6b02f6e492b61789_1219","635a081118a8dafa9e232517c2cf67f9_1271","ff262237f3470f60d8b7b16b3d58ad2c_1235","14c52b1fad0ff98e5cf49028371d6243_1183","4a58a390596d4900f56ec453eae7d1e7_794","cc2e0eb80d2c122d721349f05f3eeaf8_1217","46fc0cff5994e5bf181db51ddfa21095_1359","0f07ae81df8f8d06fbc4da89d7ffc57a_1345","8517706599505fe9f8a7a5c896166270_1343"
"dhaK","","dihydroxyacetone kinase subunit DhaK","10","10","1","1","2605","","","","968","968","968","5ed739b8eba34d81c44a46f3a235e95d_1449","a6596c4a203e63fb6b02f6e492b61789_1299","635a081118a8dafa9e232517c2cf67f9_1355","ff262237f3470f60d8b7b16b3d58ad2c_1315","14c52b1fad0ff98e5cf49028371d6243_1263","4a58a390596d4900f56ec453eae7d1e7_874","cc2e0eb80d2c122d721349f05f3eeaf8_1297","46fc0cff5994e5bf181db51ddfa21095_1439","0f07ae81df8f8d06fbc4da89d7ffc57a_1425","8517706599505fe9f8a7a5c896166270_1423"
"WP_000150023.1","","type I 3-dehydroquinate dehydratase","10","10","1","1","2815","","","","716","716","716","5ed739b8eba34d81c44a46f3a235e95d_1805","a6596c4a203e63fb6b02f6e492b61789_1625","635a081118a8dafa9e232517c2cf67f9_1747","ff262237f3470f60d8b7b16b3d58ad2c_1641","14c52b1fad0ff98e5cf49028371d6243_1591","4a58a390596d4900f56ec453eae7d1e7_1194","cc2e0eb80d2c122d721349f05f3eeaf8_1621","46fc0cff5994e5bf181db51ddfa21095_1759","0f07ae81df8f8d06fbc4da89d7ffc57a_1745","8517706599505fe9f8a7a5c896166270_1743"
"WP_001795266.1","","hypothetical protein","10","10","1","1","1776","","","","290","290","290","5ed739b8eba34d81c44a46f3a235e95d_2088","a6596c4a203e63fb6b02f6e492b61789_1914","635a081118a8dafa9e232517c2cf67f9_2039","ff262237f3470f60d8b7b16b3d58ad2c_1924","14c52b1fad0ff98e5cf49028371d6243_1878","4a58a390596d4900f56ec453eae7d1e7_1469","cc2e0eb80d2c122d721349f05f3eeaf8_1902","46fc0cff5994e5bf181db51ddfa21095_2174","0f07ae81df8f8d06fbc4da89d7ffc57a_2022","8517706599505fe9f8a7a5c896166270_2020"
"menH","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","10","10","1","1","1764","","","","803","803","803","5ed739b8eba34d81c44a46f3a235e95d_2112","a6596c4a203e63fb6b02f6e492b61789_1936","635a081118a8dafa9e232517c2cf67f9_2061","ff262237f3470f60d8b7b16b3d58ad2c_1946","14c52b1fad0ff98e5cf49028371d6243_1900","4a58a390596d4900f56ec453eae7d1e7_1489","cc2e0eb80d2c122d721349f05f3eeaf8_1924","46fc0cff5994e5bf181db51ddfa21095_2194","0f07ae81df8f8d06fbc4da89d7ffc57a_2044","8517706599505fe9f8a7a5c896166270_2042"
"sspA","","Glu-specific serine endopeptidase SspA","10","10","1","1","1760","","","","1010","1073","1037","5ed739b8eba34d81c44a46f3a235e95d_2120","a6596c4a203e63fb6b02f6e492b61789_1944","635a081118a8dafa9e232517c2cf67f9_2069","ff262237f3470f60d8b7b16b3d58ad2c_1954","14c52b1fad0ff98e5cf49028371d6243_1908","4a58a390596d4900f56ec453eae7d1e7_1497","cc2e0eb80d2c122d721349f05f3eeaf8_1932","46fc0cff5994e5bf181db51ddfa21095_2202","0f07ae81df8f8d06fbc4da89d7ffc57a_2052","8517706599505fe9f8a7a5c896166270_2050"
