"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10047_2","NCTC10080_2","NCTC10436_2","NCTC13175_2","NCTC4840_2","NCTC5706_2","NCTC5716_2","NCTC5741_2","NCTC5791_2","NCTC6017_2"
"WP_000977968.1","","capsule biosynthesis GfcC family protein","10","10","1","1","4474","","","","737","738","737","4faf440b7ae03605f2bb8c219a1cbecd_9401","3a4164c7505bb5d25b67cc08b6e6c176_9146","1d003073a6ba14d334cd248f59261d0c_8687","8c337c75870066c7edf421eabf2a3849_8249","489654d668b099aba1108a156a10fb33_8516","e2beb81cc53f5f2dca879fc3cbafdbb5_8592","3769ff932ef4964888ed10339eca08e9_8724","34b0a8d969f18b9f4b245d9e2e270fbf_534","f73384227e558735e4d06d33f21c4335_8374","2429ebe1b70a7dc44da671065d2f1e2f_8899"
"dppD","","dipeptide ABC transporter ATP-binding protein","10","10","1","1","1662","","","","983","983","983","4faf440b7ae03605f2bb8c219a1cbecd_416","3a4164c7505bb5d25b67cc08b6e6c176_440","1d003073a6ba14d334cd248f59261d0c_421","8c337c75870066c7edf421eabf2a3849_457","489654d668b099aba1108a156a10fb33_510","e2beb81cc53f5f2dca879fc3cbafdbb5_431","3769ff932ef4964888ed10339eca08e9_425","34b0a8d969f18b9f4b245d9e2e270fbf_8354","f73384227e558735e4d06d33f21c4335_443","2429ebe1b70a7dc44da671065d2f1e2f_459"
"WP_001150184.1","","transporter","10","10","1","1","1660","","","","1298","1298","1298","4faf440b7ae03605f2bb8c219a1cbecd_420","3a4164c7505bb5d25b67cc08b6e6c176_444","1d003073a6ba14d334cd248f59261d0c_425","8c337c75870066c7edf421eabf2a3849_461","489654d668b099aba1108a156a10fb33_514","e2beb81cc53f5f2dca879fc3cbafdbb5_435","3769ff932ef4964888ed10339eca08e9_429","34b0a8d969f18b9f4b245d9e2e270fbf_8350","f73384227e558735e4d06d33f21c4335_447","2429ebe1b70a7dc44da671065d2f1e2f_463"
"bcsF","","cellulose biosynthesis protein BcsF","10","10","1","1","1656","","","","191","191","191","4faf440b7ae03605f2bb8c219a1cbecd_428","3a4164c7505bb5d25b67cc08b6e6c176_452","1d003073a6ba14d334cd248f59261d0c_435","8c337c75870066c7edf421eabf2a3849_469","489654d668b099aba1108a156a10fb33_522","e2beb81cc53f5f2dca879fc3cbafdbb5_443","3769ff932ef4964888ed10339eca08e9_437","34b0a8d969f18b9f4b245d9e2e270fbf_8342","f73384227e558735e4d06d33f21c4335_455","2429ebe1b70a7dc44da671065d2f1e2f_471"
"WP_000282616.1","","hypothetical protein","10","10","1","1","1653","","","","188","203","200","4faf440b7ae03605f2bb8c219a1cbecd_432","3a4164c7505bb5d25b67cc08b6e6c176_456","1d003073a6ba14d334cd248f59261d0c_439","8c337c75870066c7edf421eabf2a3849_473","489654d668b099aba1108a156a10fb33_526","e2beb81cc53f5f2dca879fc3cbafdbb5_447","3769ff932ef4964888ed10339eca08e9_441","34b0a8d969f18b9f4b245d9e2e270fbf_8338","f73384227e558735e4d06d33f21c4335_459","2429ebe1b70a7dc44da671065d2f1e2f_475"
"bcsB","","cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB","10","10","1","1","1650","","","","2300","2300","2300","4faf440b7ae03605f2bb8c219a1cbecd_438","3a4164c7505bb5d25b67cc08b6e6c176_462","1d003073a6ba14d334cd248f59261d0c_445","8c337c75870066c7edf421eabf2a3849_479","489654d668b099aba1108a156a10fb33_532","e2beb81cc53f5f2dca879fc3cbafdbb5_453","3769ff932ef4964888ed10339eca08e9_447","34b0a8d969f18b9f4b245d9e2e270fbf_8332","f73384227e558735e4d06d33f21c4335_465","2429ebe1b70a7dc44da671065d2f1e2f_481"
"WP_000572565.1","","GntR family transcriptional regulator","10","10","1","1","1632","","","","719","719","719","4faf440b7ae03605f2bb8c219a1cbecd_474","3a4164c7505bb5d25b67cc08b6e6c176_494","1d003073a6ba14d334cd248f59261d0c_487","8c337c75870066c7edf421eabf2a3849_511","489654d668b099aba1108a156a10fb33_564","e2beb81cc53f5f2dca879fc3cbafdbb5_485","3769ff932ef4964888ed10339eca08e9_479","34b0a8d969f18b9f4b245d9e2e270fbf_8300","f73384227e558735e4d06d33f21c4335_497","2429ebe1b70a7dc44da671065d2f1e2f_517"
"prlC","","oligopeptidase A","10","10","1","1","1611","","","","2042","2042","2042","4faf440b7ae03605f2bb8c219a1cbecd_488","3a4164c7505bb5d25b67cc08b6e6c176_516","1d003073a6ba14d334cd248f59261d0c_503","8c337c75870066c7edf421eabf2a3849_527","489654d668b099aba1108a156a10fb33_580","e2beb81cc53f5f2dca879fc3cbafdbb5_501","3769ff932ef4964888ed10339eca08e9_495","34b0a8d969f18b9f4b245d9e2e270fbf_8284","f73384227e558735e4d06d33f21c4335_513","2429ebe1b70a7dc44da671065d2f1e2f_533"
"WP_077677850.1","","MFS transporter","10","10","1","1","5703","","","","1217","1259","1254","4faf440b7ae03605f2bb8c219a1cbecd_540","3a4164c7505bb5d25b67cc08b6e6c176_542","1d003073a6ba14d334cd248f59261d0c_529","8c337c75870066c7edf421eabf2a3849_553","489654d668b099aba1108a156a10fb33_606","e2beb81cc53f5f2dca879fc3cbafdbb5_527","3769ff932ef4964888ed10339eca08e9_521","34b0a8d969f18b9f4b245d9e2e270fbf_8258","f73384227e558735e4d06d33f21c4335_539","2429ebe1b70a7dc44da671065d2f1e2f_559"
"dcrB","","DcrB family lipoprotein","10","10","1","1","5704","","","","557","557","557","4faf440b7ae03605f2bb8c219a1cbecd_542","3a4164c7505bb5d25b67cc08b6e6c176_544","1d003073a6ba14d334cd248f59261d0c_531","8c337c75870066c7edf421eabf2a3849_555","489654d668b099aba1108a156a10fb33_608","e2beb81cc53f5f2dca879fc3cbafdbb5_529","3769ff932ef4964888ed10339eca08e9_523","34b0a8d969f18b9f4b245d9e2e270fbf_8256","f73384227e558735e4d06d33f21c4335_541","2429ebe1b70a7dc44da671065d2f1e2f_561"
"WP_111753824.1","","YjbF family lipoprotein","10","10","1","1","4475","","","","638","668","656","4faf440b7ae03605f2bb8c219a1cbecd_9403","3a4164c7505bb5d25b67cc08b6e6c176_9148","1d003073a6ba14d334cd248f59261d0c_8689","8c337c75870066c7edf421eabf2a3849_8251","489654d668b099aba1108a156a10fb33_8518","e2beb81cc53f5f2dca879fc3cbafdbb5_8594","3769ff932ef4964888ed10339eca08e9_8726","34b0a8d969f18b9f4b245d9e2e270fbf_532","f73384227e558735e4d06d33f21c4335_8376","2429ebe1b70a7dc44da671065d2f1e2f_8901"
"tusA","","sulfurtransferase TusA","10","10","1","1","5706","","","","244","245","244","4faf440b7ae03605f2bb8c219a1cbecd_546","3a4164c7505bb5d25b67cc08b6e6c176_548","1d003073a6ba14d334cd248f59261d0c_535","8c337c75870066c7edf421eabf2a3849_559","489654d668b099aba1108a156a10fb33_612","e2beb81cc53f5f2dca879fc3cbafdbb5_533","3769ff932ef4964888ed10339eca08e9_527","34b0a8d969f18b9f4b245d9e2e270fbf_8252","f73384227e558735e4d06d33f21c4335_545","2429ebe1b70a7dc44da671065d2f1e2f_565"
"ugpQ","","glycerophosphodiester phosphodiesterase","10","10","1","1","5920","","","","740","740","740","4faf440b7ae03605f2bb8c219a1cbecd_592","3a4164c7505bb5d25b67cc08b6e6c176_598","1d003073a6ba14d334cd248f59261d0c_595","8c337c75870066c7edf421eabf2a3849_609","489654d668b099aba1108a156a10fb33_660","e2beb81cc53f5f2dca879fc3cbafdbb5_587","3769ff932ef4964888ed10339eca08e9_577","34b0a8d969f18b9f4b245d9e2e270fbf_8202","f73384227e558735e4d06d33f21c4335_595","2429ebe1b70a7dc44da671065d2f1e2f_615"
"WP_000639789.1","","pirin family protein","10","10","1","1","5906","","","","695","695","695","4faf440b7ae03605f2bb8c219a1cbecd_612","3a4164c7505bb5d25b67cc08b6e6c176_616","1d003073a6ba14d334cd248f59261d0c_625","8c337c75870066c7edf421eabf2a3849_627","489654d668b099aba1108a156a10fb33_678","e2beb81cc53f5f2dca879fc3cbafdbb5_605","3769ff932ef4964888ed10339eca08e9_597","34b0a8d969f18b9f4b245d9e2e270fbf_8184","f73384227e558735e4d06d33f21c4335_613","2429ebe1b70a7dc44da671065d2f1e2f_633"
"glpD","","glycerol-3-phosphate dehydrogenase","10","10","1","1","5892","","","","1508","1508","1508","4faf440b7ae03605f2bb8c219a1cbecd_634","3a4164c7505bb5d25b67cc08b6e6c176_652","1d003073a6ba14d334cd248f59261d0c_661","8c337c75870066c7edf421eabf2a3849_653","489654d668b099aba1108a156a10fb33_706","e2beb81cc53f5f2dca879fc3cbafdbb5_641","3769ff932ef4964888ed10339eca08e9_633","34b0a8d969f18b9f4b245d9e2e270fbf_8148","f73384227e558735e4d06d33f21c4335_649","2429ebe1b70a7dc44da671065d2f1e2f_669"
"glpE","","thiosulfate sulfurtransferase GlpE","10","10","1","1","5890","","","","326","326","326","4faf440b7ae03605f2bb8c219a1cbecd_636","3a4164c7505bb5d25b67cc08b6e6c176_654","1d003073a6ba14d334cd248f59261d0c_663","8c337c75870066c7edf421eabf2a3849_655","489654d668b099aba1108a156a10fb33_708","e2beb81cc53f5f2dca879fc3cbafdbb5_643","3769ff932ef4964888ed10339eca08e9_635","34b0a8d969f18b9f4b245d9e2e270fbf_8146","f73384227e558735e4d06d33f21c4335_651","2429ebe1b70a7dc44da671065d2f1e2f_671"
"WP_000815085.1","","DeoR/GlpR family transcriptional regulator","10","10","1","1","5889","","","","758","758","758","4faf440b7ae03605f2bb8c219a1cbecd_640","3a4164c7505bb5d25b67cc08b6e6c176_658","1d003073a6ba14d334cd248f59261d0c_667","8c337c75870066c7edf421eabf2a3849_659","489654d668b099aba1108a156a10fb33_712","e2beb81cc53f5f2dca879fc3cbafdbb5_647","3769ff932ef4964888ed10339eca08e9_639","34b0a8d969f18b9f4b245d9e2e270fbf_8142","f73384227e558735e4d06d33f21c4335_655","2429ebe1b70a7dc44da671065d2f1e2f_675"
