tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,7,0.9032316302581692,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,7,0.9026900162484204,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,7,0.9108142263946558,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,7,0.9268821086838779,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,7,0.8497923812962629,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,7,0.8372449900704099,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,7,0.9202924715652644,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,7,0.8065535295179636,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,7,0.8961003791298068,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,7,0.8645964975627369,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,7,0.865138111572486,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,7,0.8971836071493049,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,7,0.8528615273515074,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,7,0.8896912800144431,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,7,0.8888788589998194,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,7,0.9018775952337968,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,7,0.9201119335620148,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,7,0.8681169886261058,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,7,0.926250225672504,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,7,0.8460913522296444,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,7,0.8406752121321538,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,7,0.9069326593247878,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,7,0.8139555876512006,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,7,0.8343563820184149,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,7,0.8242462538364326,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,7,0.8358006860444124,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,7,0.8850315599639315,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,7,0.8796212804328224,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,7,0.8515178839795612,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,7,0.8497144574691915,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,7,0.7254283137962128,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,7,0.6764352269311692,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,7,0.8418996092575894,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,7,0.6995792004809137,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,7,0.7962128043282236,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,7,0.7192666065524497,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,7,0.7326420198376916,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,7,0.828824767057409,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,CFT073,7,0.6928163510670273,S21,Snippy / S21 (CP010230.1)
Snippy,CFT073,7,0.780282536819958,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,CFT073,7,0.7314397354974451,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,7,0.8337841899609257,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,CFT073,7,0.845356176735798,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,CFT073,7,0.7646528403967539,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,CFT073,7,0.910580102194169,S88,Snippy / S88 (NC_011742.1)
Snippy,CFT073,7,0.6821460775473399,H7,Snippy / H7 (CP010171.1)
Snippy,CFT073,7,0.6800420799519086,W3110,Snippy / W3110 (NC_007779.1)
Snippy,CFT073,7,0.8704538623384429,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,7,0.6971746318004208,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,7,0.6880072137060415,C1,Snippy / C1 (CP010116.1)
Snippy,CFT073,7,0.6759843703035768,S1,Snippy / S1 (CP010226.1)
Snippy,CFT073,7,0.6647129546137661,H6,Snippy / H6 (CP010170.1)
