"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10317_2","NCTC11359_2","NCTC11698_2","NCTC13635_2","NCTC418_2","NCTC9157_2","NCTC9171_2","NCTC9667_2","NCTC9793_2","NFYY0065_2"
"WP_002892402.1","","DUF1471 domain-containing protein","10","10","1","1","873","","","","272","278","272","8777fb3be99985d899573c6a12a3dd51_7652","82cb54a66be23676d92c45561410fc22_7458","71b4f8e38d314b58d2a15397a624f579_7734","cf72a3ad6e3d2448b8ff3941fa28861f_8039","d90f2a772ef9bba7f6f75c33978b075a_8286","53c9d146af329787812b2e1790bf32a4_7646","437f59dc9dcfa09ce2d50a324ebaf4a8_7598","d00c3ca4aa2df69f978eefbbe3fb03e7_77","1304c761f7edd07127d4c6b6f249f721_5399","f8019d7ff0b2507577fd8d830299c3cc_1181"
"WP_004146399.1","","ABC transporter ATP-binding protein","10","10","1","1","1609","","","","686","761","693","8777fb3be99985d899573c6a12a3dd51_7707","82cb54a66be23676d92c45561410fc22_7513","71b4f8e38d314b58d2a15397a624f579_7789","cf72a3ad6e3d2448b8ff3941fa28861f_7986","d90f2a772ef9bba7f6f75c33978b075a_8493","53c9d146af329787812b2e1790bf32a4_7855","437f59dc9dcfa09ce2d50a324ebaf4a8_7639","d00c3ca4aa2df69f978eefbbe3fb03e7_10353","1304c761f7edd07127d4c6b6f249f721_5442","f8019d7ff0b2507577fd8d830299c3cc_1126"
"copA","","copper-exporting P-type ATPase CopA","10","10","1","1","1618","","","","2495","2555","2505","8777fb3be99985d899573c6a12a3dd51_7727","82cb54a66be23676d92c45561410fc22_7531","71b4f8e38d314b58d2a15397a624f579_7807","cf72a3ad6e3d2448b8ff3941fa28861f_7968","d90f2a772ef9bba7f6f75c33978b075a_8511","53c9d146af329787812b2e1790bf32a4_7873","437f59dc9dcfa09ce2d50a324ebaf4a8_7659","d00c3ca4aa2df69f978eefbbe3fb03e7_10333","1304c761f7edd07127d4c6b6f249f721_5460","f8019d7ff0b2507577fd8d830299c3cc_1108"
"WP_004151327.1","","TraB/GumN family protein","10","10","1","1","1619","","","","764","794","791","8777fb3be99985d899573c6a12a3dd51_7729","82cb54a66be23676d92c45561410fc22_7533","71b4f8e38d314b58d2a15397a624f579_7809","cf72a3ad6e3d2448b8ff3941fa28861f_7966","d90f2a772ef9bba7f6f75c33978b075a_8513","53c9d146af329787812b2e1790bf32a4_7875","437f59dc9dcfa09ce2d50a324ebaf4a8_7661","d00c3ca4aa2df69f978eefbbe3fb03e7_10331","1304c761f7edd07127d4c6b6f249f721_5462","f8019d7ff0b2507577fd8d830299c3cc_1106"
"acrR","","multidrug efflux transporter transcriptional repressor AcrR","10","10","1","1","1637","","","","650","680","653","8777fb3be99985d899573c6a12a3dd51_7766","82cb54a66be23676d92c45561410fc22_7570","71b4f8e38d314b58d2a15397a624f579_7850","cf72a3ad6e3d2448b8ff3941fa28861f_7928","d90f2a772ef9bba7f6f75c33978b075a_8550","53c9d146af329787812b2e1790bf32a4_7916","437f59dc9dcfa09ce2d50a324ebaf4a8_7697","d00c3ca4aa2df69f978eefbbe3fb03e7_10294","1304c761f7edd07127d4c6b6f249f721_5499","f8019d7ff0b2507577fd8d830299c3cc_1065"
"WP_004147344.1","","SmdA family multidrug ABC transporter permease/ATP-binding protein","10","10","1","1","1675","","","","1772","1777","1772","8777fb3be99985d899573c6a12a3dd51_7837","82cb54a66be23676d92c45561410fc22_7643","71b4f8e38d314b58d2a15397a624f579_7925","cf72a3ad6e3d2448b8ff3941fa28861f_7855","d90f2a772ef9bba7f6f75c33978b075a_8623","53c9d146af329787812b2e1790bf32a4_7991","437f59dc9dcfa09ce2d50a324ebaf4a8_7768","d00c3ca4aa2df69f978eefbbe3fb03e7_10223","1304c761f7edd07127d4c6b6f249f721_5572","f8019d7ff0b2507577fd8d830299c3cc_990"
"queA","","tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA","10","10","1","1","1731","","","","1043","1064","1061","8777fb3be99985d899573c6a12a3dd51_7953","82cb54a66be23676d92c45561410fc22_7753","71b4f8e38d314b58d2a15397a624f579_8037","cf72a3ad6e3d2448b8ff3941fa28861f_7739","d90f2a772ef9bba7f6f75c33978b075a_8733","53c9d146af329787812b2e1790bf32a4_8103","437f59dc9dcfa09ce2d50a324ebaf4a8_7886","d00c3ca4aa2df69f978eefbbe3fb03e7_10109","1304c761f7edd07127d4c6b6f249f721_5684","f8019d7ff0b2507577fd8d830299c3cc_878"
"group_1021","eutC","ethanolamine ammonia-lyase subunit EutC","10","10","1","1","1778","","","","752","776","773","8777fb3be99985d899573c6a12a3dd51_8053","82cb54a66be23676d92c45561410fc22_7857","71b4f8e38d314b58d2a15397a624f579_8147","cf72a3ad6e3d2448b8ff3941fa28861f_7637","d90f2a772ef9bba7f6f75c33978b075a_8837","53c9d146af329787812b2e1790bf32a4_8209","437f59dc9dcfa09ce2d50a324ebaf4a8_7988","d00c3ca4aa2df69f978eefbbe3fb03e7_10009","1304c761f7edd07127d4c6b6f249f721_5788","f8019d7ff0b2507577fd8d830299c3cc_770"
"WP_002889689.1","","amidohydrolase","10","10","1","1","1902","","","","725","770","765","8777fb3be99985d899573c6a12a3dd51_8212","82cb54a66be23676d92c45561410fc22_8043","71b4f8e38d314b58d2a15397a624f579_8370","cf72a3ad6e3d2448b8ff3941fa28861f_7460","d90f2a772ef9bba7f6f75c33978b075a_8992","53c9d146af329787812b2e1790bf32a4_8376","437f59dc9dcfa09ce2d50a324ebaf4a8_8189","d00c3ca4aa2df69f978eefbbe3fb03e7_9850","1304c761f7edd07127d4c6b6f249f721_5958","f8019d7ff0b2507577fd8d830299c3cc_601"
"hemL","","glutamate-1-semialdehyde 2,1-aminomutase","10","10","1","1","1955","","","","1181","1280","1270","8777fb3be99985d899573c6a12a3dd51_8351","82cb54a66be23676d92c45561410fc22_8180","71b4f8e38d314b58d2a15397a624f579_8507","cf72a3ad6e3d2448b8ff3941fa28861f_7317","d90f2a772ef9bba7f6f75c33978b075a_9129","53c9d146af329787812b2e1790bf32a4_8513","437f59dc9dcfa09ce2d50a324ebaf4a8_8330","d00c3ca4aa2df69f978eefbbe3fb03e7_9709","1304c761f7edd07127d4c6b6f249f721_6095","f8019d7ff0b2507577fd8d830299c3cc_464"
"panC","","pantoate--beta-alanine ligase","10","10","1","1","1984","","","","854","855","854","8777fb3be99985d899573c6a12a3dd51_8411","82cb54a66be23676d92c45561410fc22_8244","71b4f8e38d314b58d2a15397a624f579_8569","cf72a3ad6e3d2448b8ff3941fa28861f_7257","d90f2a772ef9bba7f6f75c33978b075a_9193","53c9d146af329787812b2e1790bf32a4_8575","437f59dc9dcfa09ce2d50a324ebaf4a8_8390","d00c3ca4aa2df69f978eefbbe3fb03e7_9649","1304c761f7edd07127d4c6b6f249f721_6157","f8019d7ff0b2507577fd8d830299c3cc_400"
"WP_002888808.1","","YacC family pilotin-like protein","10","10","1","1","1995","","","","257","347","338","8777fb3be99985d899573c6a12a3dd51_8431","82cb54a66be23676d92c45561410fc22_8266","71b4f8e38d314b58d2a15397a624f579_8591","cf72a3ad6e3d2448b8ff3941fa28861f_7237","d90f2a772ef9bba7f6f75c33978b075a_9215","53c9d146af329787812b2e1790bf32a4_8597","437f59dc9dcfa09ce2d50a324ebaf4a8_8410","d00c3ca4aa2df69f978eefbbe3fb03e7_9629","1304c761f7edd07127d4c6b6f249f721_6179","f8019d7ff0b2507577fd8d830299c3cc_378"
