"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10332_2","NCTC10728_2","NCTC11445_2","NCTC12903_2","NCTC13359_2","NCTC13618_2","NCTC13620_2","NCTC13715_2","PAO1_2","Pa58_2"
"WP_033973767.1","","hypothetical protein","10","10","1","1","8814","","","","1346","1352","1349","bff5be9a05af26abf8b302cd0b3f69e2_4619","f1bc4d4512a19bd29d7991c343d79c7a_10290","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5764","e1e193540533662714034fbaf73f5d6e_4618","fbf66bbada04254cb1d7db6bed85cec5_5799","8fa835bf467b60db460d3f086747dc57_4943","d1676fa9fd9af43d40bcc74e7f0aec45_4946","9a62a93745f59da1e1aa95775073ed22_8395","252ccf95a1f36013216e1b90c752981b_5802","71007f8b45df3e0a6853be2ecfd5b6f2_5303"
"fliE","","flagellar hook-basal body complex protein FliE","10","10","1","1","4782","","","","329","329","329","bff5be9a05af26abf8b302cd0b3f69e2_8044","f1bc4d4512a19bd29d7991c343d79c7a_2007","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1896","e1e193540533662714034fbaf73f5d6e_8667","fbf66bbada04254cb1d7db6bed85cec5_9972","8fa835bf467b60db460d3f086747dc57_8744","d1676fa9fd9af43d40bcc74e7f0aec45_8744","9a62a93745f59da1e1aa95775073ed22_12096","252ccf95a1f36013216e1b90c752981b_2345","71007f8b45df3e0a6853be2ecfd5b6f2_9723"
"gloB","","hydroxyacylglutathione hydrolase","10","10","1","1","784","","","","776","776","776","bff5be9a05af26abf8b302cd0b3f69e2_6533","f1bc4d4512a19bd29d7991c343d79c7a_511","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5330","e1e193540533662714034fbaf73f5d6e_7115","fbf66bbada04254cb1d7db6bed85cec5_8461","8fa835bf467b60db460d3f086747dc57_7175","d1676fa9fd9af43d40bcc74e7f0aec45_7241","9a62a93745f59da1e1aa95775073ed22_10572","252ccf95a1f36013216e1b90c752981b_3882","71007f8b45df3e0a6853be2ecfd5b6f2_7968"
"WP_003086978.1","","response regulator transcription factor","10","10","1","1","9035","","","","632","632","632","bff5be9a05af26abf8b302cd0b3f69e2_7395","f1bc4d4512a19bd29d7991c343d79c7a_1379","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2499","e1e193540533662714034fbaf73f5d6e_8241","fbf66bbada04254cb1d7db6bed85cec5_9351","8fa835bf467b60db460d3f086747dc57_8151","d1676fa9fd9af43d40bcc74e7f0aec45_8129","9a62a93745f59da1e1aa95775073ed22_11452","252ccf95a1f36013216e1b90c752981b_2968","71007f8b45df3e0a6853be2ecfd5b6f2_8980"
"WP_003106119.1","","chemotaxis protein","10","10","1","1","7654","","","","506","506","506","bff5be9a05af26abf8b302cd0b3f69e2_844","f1bc4d4512a19bd29d7991c343d79c7a_6522","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9743","e1e193540533662714034fbaf73f5d6e_865","fbf66bbada04254cb1d7db6bed85cec5_1620","8fa835bf467b60db460d3f086747dc57_874","d1676fa9fd9af43d40bcc74e7f0aec45_934","9a62a93745f59da1e1aa95775073ed22_4329","252ccf95a1f36013216e1b90c752981b_866","71007f8b45df3e0a6853be2ecfd5b6f2_964"
"WP_021205233.1","","DUF521 domain-containing protein","10","10","1","1","9207","","","","1742","1742","1742","bff5be9a05af26abf8b302cd0b3f69e2_7688","f1bc4d4512a19bd29d7991c343d79c7a_1665","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2216","e1e193540533662714034fbaf73f5d6e_8344","fbf66bbada04254cb1d7db6bed85cec5_9612","8fa835bf467b60db460d3f086747dc57_8404","d1676fa9fd9af43d40bcc74e7f0aec45_8382","9a62a93745f59da1e1aa95775073ed22_11752","252ccf95a1f36013216e1b90c752981b_2682","71007f8b45df3e0a6853be2ecfd5b6f2_9275"
"tsaE","","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","10","10","1","1","1349","","","","467","467","467","bff5be9a05af26abf8b302cd0b3f69e2_10495","f1bc4d4512a19bd29d7991c343d79c7a_4379","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11893","e1e193540533662714034fbaf73f5d6e_11644","fbf66bbada04254cb1d7db6bed85cec5_12682","8fa835bf467b60db460d3f086747dc57_11627","d1676fa9fd9af43d40bcc74e7f0aec45_11700","9a62a93745f59da1e1aa95775073ed22_2030","252ccf95a1f36013216e1b90c752981b_10700","71007f8b45df3e0a6853be2ecfd5b6f2_12481"
"WP_003130549.1","","glyoxalase/bleomycin resistance/extradiol dioxygenase family protein","10","10","1","1","9838","","","","803","803","803","bff5be9a05af26abf8b302cd0b3f69e2_3741","f1bc4d4512a19bd29d7991c343d79c7a_9391","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6627","e1e193540533662714034fbaf73f5d6e_3765","fbf66bbada04254cb1d7db6bed85cec5_4806","8fa835bf467b60db460d3f086747dc57_3989","d1676fa9fd9af43d40bcc74e7f0aec45_3976","9a62a93745f59da1e1aa95775073ed22_7238","252ccf95a1f36013216e1b90c752981b_6683","71007f8b45df3e0a6853be2ecfd5b6f2_4150"
"WP_003120199.1","","thiamine pyrophosphate-binding protein","10","10","1","1","7395","","","","1658","1658","1658","bff5be9a05af26abf8b302cd0b3f69e2_6085","f1bc4d4512a19bd29d7991c343d79c7a_11742","f57ec7ca82cfc8a0008cea8c3cc6a6e4_4880","e1e193540533662714034fbaf73f5d6e_6663","fbf66bbada04254cb1d7db6bed85cec5_7809","8fa835bf467b60db460d3f086747dc57_6725","d1676fa9fd9af43d40bcc74e7f0aec45_6783","9a62a93745f59da1e1aa95775073ed22_9904","252ccf95a1f36013216e1b90c752981b_4349","71007f8b45df3e0a6853be2ecfd5b6f2_7518"
"pxpB","","5-oxoprolinase subunit PxpB","10","10","1","1","3961","","","","677","677","677","bff5be9a05af26abf8b302cd0b3f69e2_9520","f1bc4d4512a19bd29d7991c343d79c7a_3369","f57ec7ca82cfc8a0008cea8c3cc6a6e4_150","e1e193540533662714034fbaf73f5d6e_10397","fbf66bbada04254cb1d7db6bed85cec5_11393","8fa835bf467b60db460d3f086747dc57_10666","d1676fa9fd9af43d40bcc74e7f0aec45_10468","9a62a93745f59da1e1aa95775073ed22_965","252ccf95a1f36013216e1b90c752981b_9699","71007f8b45df3e0a6853be2ecfd5b6f2_11188"
"WP_003096280.1","","DUF2388 domain-containing protein","10","10","1","1","6545","","","","329","329","329","bff5be9a05af26abf8b302cd0b3f69e2_11050","f1bc4d4512a19bd29d7991c343d79c7a_4903","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11334","e1e193540533662714034fbaf73f5d6e_12210","fbf66bbada04254cb1d7db6bed85cec5_13260","8fa835bf467b60db460d3f086747dc57_12321","d1676fa9fd9af43d40bcc74e7f0aec45_12277","9a62a93745f59da1e1aa95775073ed22_2575","252ccf95a1f36013216e1b90c752981b_11262","71007f8b45df3e0a6853be2ecfd5b6f2_13053"
"WP_003116047.1","","protease","10","10","1","1","9137","","","","1928","1970","1932","bff5be9a05af26abf8b302cd0b3f69e2_7547","f1bc4d4512a19bd29d7991c343d79c7a_1524","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2357","e1e193540533662714034fbaf73f5d6e_7927","fbf66bbada04254cb1d7db6bed85cec5_9469","8fa835bf467b60db460d3f086747dc57_8263","d1676fa9fd9af43d40bcc74e7f0aec45_8239","9a62a93745f59da1e1aa95775073ed22_11611","252ccf95a1f36013216e1b90c752981b_2827","71007f8b45df3e0a6853be2ecfd5b6f2_9134"
"WP_003109182.1","","DUF3309 domain-containing protein","10","10","1","1","1948","","","","158","158","158","bff5be9a05af26abf8b302cd0b3f69e2_3530","f1bc4d4512a19bd29d7991c343d79c7a_9170","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6848","e1e193540533662714034fbaf73f5d6e_3554","fbf66bbada04254cb1d7db6bed85cec5_4583","8fa835bf467b60db460d3f086747dc57_3768","d1676fa9fd9af43d40bcc74e7f0aec45_3753","9a62a93745f59da1e1aa95775073ed22_7015","252ccf95a1f36013216e1b90c752981b_6912","71007f8b45df3e0a6853be2ecfd5b6f2_3927"
"WP_003121119.1","","GNAT family N-acetyltransferase","10","10","1","1","1437","","","","452","452","452","bff5be9a05af26abf8b302cd0b3f69e2_10319","f1bc4d4512a19bd29d7991c343d79c7a_4176","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12069","e1e193540533662714034fbaf73f5d6e_11468","fbf66bbada04254cb1d7db6bed85cec5_12504","8fa835bf467b60db460d3f086747dc57_11449","d1676fa9fd9af43d40bcc74e7f0aec45_11522","9a62a93745f59da1e1aa95775073ed22_1850","252ccf95a1f36013216e1b90c752981b_10517","71007f8b45df3e0a6853be2ecfd5b6f2_12301"
"WP_003095218.1","","RnfH family protein","10","10","1","1","1191","","","","305","305","305","bff5be9a05af26abf8b302cd0b3f69e2_10096","f1bc4d4512a19bd29d7991c343d79c7a_3977","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12268","e1e193540533662714034fbaf73f5d6e_11269","fbf66bbada04254cb1d7db6bed85cec5_12273","8fa835bf467b60db460d3f086747dc57_11248","d1676fa9fd9af43d40bcc74e7f0aec45_11321","9a62a93745f59da1e1aa95775073ed22_1651","252ccf95a1f36013216e1b90c752981b_10309","71007f8b45df3e0a6853be2ecfd5b6f2_12102"
"WP_003146348.1","","GNAT family N-acetyltransferase","10","10","1","1","1289","","","","896","896","896","bff5be9a05af26abf8b302cd0b3f69e2_10612","f1bc4d4512a19bd29d7991c343d79c7a_4473","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11780","e1e193540533662714034fbaf73f5d6e_11759","fbf66bbada04254cb1d7db6bed85cec5_12797","8fa835bf467b60db460d3f086747dc57_11742","d1676fa9fd9af43d40bcc74e7f0aec45_11815","9a62a93745f59da1e1aa95775073ed22_2143","252ccf95a1f36013216e1b90c752981b_10816","71007f8b45df3e0a6853be2ecfd5b6f2_12594"
"WP_003120840.1","","pilus assembly protein","10","10","1","1","1680","","","","506","506","506","bff5be9a05af26abf8b302cd0b3f69e2_9079","f1bc4d4512a19bd29d7991c343d79c7a_2928","f57ec7ca82cfc8a0008cea8c3cc6a6e4_591","e1e193540533662714034fbaf73f5d6e_9956","fbf66bbada04254cb1d7db6bed85cec5_10946","8fa835bf467b60db460d3f086747dc57_10219","d1676fa9fd9af43d40bcc74e7f0aec45_10021","9a62a93745f59da1e1aa95775073ed22_524","252ccf95a1f36013216e1b90c752981b_9224","71007f8b45df3e0a6853be2ecfd5b6f2_10747"
