tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Samtools,Escherichia_coli_MSB1_1A,0.9017078012586762,C1,Samtools / C1 (CP010116.1)
Pandora illumina with denovo,CFT073,0.9117154437738751,PRG,Pandora illumina with denovo / PRG
Samtools,Escherichia_coli_MSB2_1A,0.9325538177653012,JJ1886,Samtools / JJ1886 (NC_022648.1)
Samtools,Escherichia_coli_MINF_8D,0.9048007884799412,C4,Samtools / C4 (CP010121.1)
Samtools,Escherichia_coli_MSB1_7C,0.9245705791078462,C4,Samtools / C4 (CP010121.1)
Samtools,CFT073,0.8924053830340384,UMN026,Samtools / UMN026 (CU928163.2)
Samtools,Escherichia_coli_MINF_8D,0.8971652541644461,S1,Samtools / S1 (CP010226.1)
Samtools,Escherichia_coli_MSB1_7A,0.9019494561875888,09-00049,Samtools / 09-00049 (NZ_CP015228.1)
Pandora illumina with denovo,ST38,0.8699272270885355,PRG,Pandora illumina with denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MSB1_1A,0.9123741675700788,PRG,Pandora illumina with denovo / PRG
Samtools,CFT073,0.8502761078316694,S1,Samtools / S1 (CP010226.1)
Samtools,063_STEC,0.9177712387112738,ST648,Samtools / ST648 (NZ_CP008697.1)
Samtools,Escherichia_coli_MINF_9A,0.8442825215240837,S1,Samtools / S1 (CP010226.1)
Samtools,Escherichia_coli_MSB1_6C,0.8755165885685898,Y5,Samtools / Y5 (NZ_CP013483.1)
Samtools,Escherichia_coli_MSB2_1A,0.9157604208440472,ST648,Samtools / ST648 (NZ_CP008697.1)
Samtools,Escherichia_coli_MINF_9A,0.8716969798639559,JJ1886,Samtools / JJ1886 (NC_022648.1)
Samtools,Escherichia_coli_MINF_9A,0.8697921458063888,EC958,Samtools / EC958 (NZ_HG941718.1)
Samtools,Escherichia_coli_MSB1_8G,0.8884154058079762,JJ1886,Samtools / JJ1886 (NC_022648.1)
Samtools,ST38,0.8998113488168205,UMN026,Samtools / UMN026 (CU928163.2)
Samtools,Escherichia_coli_MSB1_1A,0.9309839920030408,S21,Samtools / S21 (CP010230.1)
Samtools,Escherichia_coli_MSB1_3B,0.9201977420218014,UMN026,Samtools / UMN026 (CU928163.2)
Samtools,Escherichia_coli_MSB1_8B,0.8615621952974983,C1,Samtools / C1 (CP010116.1)
Samtools,Escherichia_coli_MSB2_1A,0.8718255185193923,MRSN346595,Samtools / MRSN346595 (NZ_CP018109.1)
Samtools,Escherichia_coli_MSB1_4I,0.8785566473507491,EC958,Samtools / EC958 (NZ_HG941718.1)
Samtools,Escherichia_coli_MSB1_8B,0.954438912835054,ECONIH1,Samtools / ECONIH1 (NZ_CP009859.1)
Pandora illumina no denovo,Escherichia_coli_MINF_8D,0.9091643602482335,PRG,Pandora illumina no denovo / PRG
Samtools,Escherichia_coli_MSB1_4E,0.8864554879315026,09-00049,Samtools / 09-00049 (NZ_CP015228.1)
Samtools,Escherichia_coli_MSB1_8G,0.9362561736345208,S21,Samtools / S21 (CP010230.1)
Samtools,Escherichia_coli_MSB1_8B,0.852827503415384,H7,Samtools / H7 (CP010171.1)
Samtools,ST38,0.8973507946572314,CE10,Samtools / CE10 (NC_017646.1)
Pandora illumina with denovo,Escherichia_coli_MINF_1A,0.9090348253564252,PRG,Pandora illumina with denovo / PRG
Samtools,Escherichia_coli_MSB1_6C,0.9009358342620069,09-00049,Samtools / 09-00049 (NZ_CP015228.1)
Samtools,Escherichia_coli_MSB1_7C,0.8602252628609252,H7,Samtools / H7 (CP010171.1)
Samtools,Escherichia_coli_MSB1_1A,0.9269573542455686,SMS-3-5,Samtools / SMS-3-5 (NC_010498.1)
Samtools,Escherichia_coli_MSB2_1A,0.9115142365124672,UMN026,Samtools / UMN026 (CU928163.2)
Samtools,Escherichia_coli_MSB1_1A,0.8918186041927718,S88,Samtools / S88 (NC_011742.1)
Samtools,Escherichia_coli_MSB1_8B,0.8874919538169462,VR50,Samtools / VR50 (NZ_CP011134.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_9D,0.9014631381106614,PRG,Pandora illumina no denovo / PRG
Samtools,Escherichia_coli_MSB1_7C,0.8638331579118697,W3110,Samtools / W3110 (NC_007779.1)
Samtools,Escherichia_coli_MSB1_4I,0.8947197492062043,MRSN346647,Samtools / MRSN346647 (CP018206.1)
Samtools,Escherichia_coli_MSB1_7A,0.8360638794072127,S1,Samtools / S1 (CP010226.1)
Samtools,Escherichia_coli_MSB1_8B,0.8515020899705856,NGF1,Samtools / NGF1 (NZ_CP016007.1)
Samtools,Escherichia_coli_MSB1_4E,0.8690915480583378,Y5,Samtools / Y5 (NZ_CP013483.1)
Samtools,Escherichia_coli_MSB1_3B,0.8513123788776059,EcRV308Chr,Samtools / EcRV308Chr (NZ_LM995446.1)
Pandora illumina no denovo,Escherichia_coli_MINF_7C,0.8932456707197779,PRG,Pandora illumina no denovo / PRG
Samtools,063_STEC,0.8648622377745966,C1,Samtools / C1 (CP010116.1)
